date,selectedRank,playerName,teamCode,gameKey,market,side,tier,month,modelLine,lineBucket,actualValue,modelCorrect,estimatedAccuracyPriorPct,priorBucket,finalScore,finalScoreBucket,matchStatus,strictProofMatch,candidateCount,sameSideCount,lineMatchCount,externalLine,externalOdds,priceBucket,externalBook,externalSource,externalSourceUrl,lineTimestampUtc,gameTimeUtc,closeLine,closeOdds,closeTimestampUtc,resultAtExternalLine,stakeUnits,profitUnits,lineClv,oddsClv,coverageTier,coverageLine,coverageOdds,coverageBook,coverageSource,coverageSourceUrl,coverageIsExternal,coverageIsExactExternal,coverageLineGap,coverageAbsLineGap,coverageSideAwareLineGap,resultAtCoverageLine,coverageStakeUnits,coverageProfitUnits
2025-10-30,1,Kel'el Ware,MIA,0022500141,REB,UNDER,S,2025-10,7.75,5-9.5,7.0,True,94.8,94+,0.890699,0.85-0.90,NO_PLAYER_MARKET_LINE,False,0,0,0,,,UNKNOWN,,,,,,,,,,,,,,INTERNAL_MODEL_LINE_ASSUMED_ODDS,7.75,-110.0,assumed,internal-model-line-assumed-odds,,False,False,0.0,0.0,0.0,WIN,1.0,0.909091
2025-10-30,2,Corey Kispert,WAS,0022500140,PTS,OVER,S,2025-10,6.5,5-9.5,8.0,True,93.7,92-94,0.88716,0.85-0.90,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,6.5,-133.5,-149 to -120,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494490&market=points,,,,,,WIN,1.0,0.749064,,,EXACT_EXTERNAL_LINE_VALID_ODDS,6.5,-133.5,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494490&market=points,True,True,0.0,0.0,0.0,WIN,1.0,0.749064
2025-10-30,3,Khris Middleton,WAS,0022500140,REB,UNDER,S,2025-10,3.5,<5,1.0,True,94.8,94+,0.812856,0.80-0.85,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,3.5,108.0,+100 to +149,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494490&market=rebounds,,,,,,WIN,1.0,1.08,,,EXACT_EXTERNAL_LINE_VALID_ODDS,3.5,108.0,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494490&market=rebounds,True,True,0.0,0.0,0.0,WIN,1.0,1.08
2025-10-30,4,LaMelo Ball,CHA,0022500138,PRA,OVER,A,2025-10,36.5,30+,37.0,True,90.16,90-92,0.899376,0.85-0.90,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,36.5,-121.5,-149 to -120,fanduel,scoresandodds,https://www.scoresandodds.com/nba/hornets-vs-magic,,,,,,WIN,1.0,0.823045,,,EXACT_EXTERNAL_LINE_VALID_ODDS,36.5,-121.5,fanduel,scoresandodds,https://www.scoresandodds.com/nba/hornets-vs-magic,True,True,0.0,0.0,0.0,WIN,1.0,0.823045
2025-10-30,5,Brandin Podziemski,GSW,0022500139,PTS,OVER,A,2025-10,9.75,5-9.5,9.0,False,90.16,90-92,0.866384,0.85-0.90,NO_EXACT_LINE_MATCH,False,2,1,0,9.5,-121.0,-149 to -120,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494510&market=points,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,9.5,-121.0,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494510&market=points,True,False,-0.25,0.25,-0.25,LOSS,1.0,-1.0
2025-10-30,6,AJ Green,MIL,0022500139,AST,UNDER,A,2025-10,2.5,<5,0.0,True,90.16,90-92,0.828066,0.80-0.85,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,2.5,-165.0,-199 to -150,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494510&market=assists,,,,,,WIN,1.0,0.606061,,,EXACT_EXTERNAL_LINE_VALID_ODDS,2.5,-165.0,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494510&market=assists,True,True,0.0,0.0,0.0,WIN,1.0,0.606061
2025-10-31,1,Jaylon Tyson,CLE,0022500022,REB,UNDER,S,2025-10,4.5,<5,3.0,True,94.8,94+,0.88202,0.85-0.90,NO_EXACT_LINE_MATCH,False,2,1,0,5.5,-111.0,-119 to -100,prizepicks,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483790&market=rebounds,,,,,,,,,,,NEAREST_EXTERNAL_LINE_VALID_ODDS,5.5,-111.0,prizepicks,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483790&market=rebounds,True,False,1.0,1.0,-1.0,WIN,1.0,0.900901
2025-10-31,2,Josh Hart,NYK,0022500023,REB,UNDER,S,2025-10,6.5,5-9.5,1.0,True,94.8,94+,0.850343,0.85-0.90,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,6.5,-113.0,-119 to -100,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483810&market=rebounds,,,,,,WIN,1.0,0.884956,,,EXACT_EXTERNAL_LINE_VALID_ODDS,6.5,-113.0,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483810&market=rebounds,True,True,0.0,0.0,0.0,WIN,1.0,0.884956
2025-10-31,3,Kris Murray,POR,0022500026,PTS,OVER,S,2025-10,5.5,5-9.5,10.0,True,93.7,92-94,0.833377,0.80-0.85,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,5.5,-130.0,-149 to -120,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483850&market=points,,,,,,WIN,1.0,0.769231,,,EXACT_EXTERNAL_LINE_VALID_ODDS,5.5,-130.0,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483850&market=points,True,True,0.0,0.0,0.0,WIN,1.0,0.769231
2025-10-31,4,Keyonte George,UTA,0022500025,AST,OVER,S,2025-10,7.5,5-9.5,9.0,True,93.7,92-94,0.818769,0.80-0.85,MATCHED_EXACT_LINE_VALID_ODDS,True,2,1,1,7.5,-105.0,-119 to -100,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483910&market=assists,,,,,,WIN,1.0,0.952381,,,EXACT_EXTERNAL_LINE_VALID_ODDS,7.5,-105.0,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483910&market=assists,True,True,0.0,0.0,0.0,WIN,1.0,0.952381
