date,samples,wins,losses,accuracyPct
2025-10-30,3,2,1,66.67
2025-10-31,5,5,0,100.0
2025-11-01,5,2,3,40.0
2025-11-02,4,4,0,100.0
2025-11-03,3,1,2,33.33
2025-11-04,4,2,2,50.0
2025-11-05,4,4,0,100.0
2025-11-06,1,1,0,100.0
2025-11-07,3,3,0,100.0
2025-11-08,3,1,2,33.33
2025-11-09,2,2,0,100.0
2025-11-10,2,1,1,50.0
2025-11-11,3,3,0,100.0
2025-11-12,3,2,1,66.67
2025-11-13,3,3,0,100.0
2025-11-14,3,2,1,66.67
2025-11-15,2,1,1,50.0
2025-11-16,3,3,0,100.0
2025-11-17,3,1,2,33.33
2025-11-18,2,2,0,100.0
2025-11-19,4,3,1,75.0
2025-11-20,3,2,1,66.67
2025-11-21,1,1,0,100.0
2025-11-22,1,1,0,100.0
2025-11-23,1,1,0,100.0
2025-11-24,3,2,1,66.67
2025-11-25,1,1,0,100.0
2025-11-26,2,2,0,100.0
2025-11-28,2,1,1,50.0
2025-11-29,2,2,0,100.0
2025-11-30,1,1,0,100.0
2025-12-01,1,1,0,100.0
2025-12-02,1,1,0,100.0
2025-12-03,2,2,0,100.0
2025-12-04,1,1,0,100.0
2025-12-05,2,1,1,50.0
2025-12-06,2,1,1,50.0
2025-12-07,3,3,0,100.0
2025-12-08,3,2,1,66.67
2025-12-09,1,1,0,100.0
2025-12-11,2,2,0,100.0
2025-12-12,2,2,0,100.0
2025-12-13,1,1,0,100.0
2025-12-14,3,1,2,33.33
2025-12-15,1,1,0,100.0
2025-12-16,2,2,0,100.0
2025-12-18,3,3,0,100.0
2025-12-20,3,2,1,66.67
2025-12-21,1,1,0,100.0
2025-12-22,3,3,0,100.0
2025-12-23,3,1,2,33.33
2025-12-25,3,3,0,100.0
2025-12-26,3,2,1,66.67
2025-12-27,2,2,0,100.0
2025-12-28,3,2,1,66.67
2025-12-29,3,3,0,100.0
2025-12-30,2,2,0,100.0
2025-12-31,3,3,0,100.0
2026-01-01,3,1,2,33.33
2026-01-02,3,2,1,66.67
2026-01-03,2,2,0,100.0
2026-01-04,1,1,0,100.0
2026-01-05,2,1,1,50.0
2026-01-06,3,3,0,100.0
2026-01-07,3,3,0,100.0
2026-01-09,3,2,1,66.67
2026-01-10,1,1,0,100.0
2026-01-11,2,2,0,100.0
2026-01-12,3,3,0,100.0
2026-01-13,3,2,1,66.67
2026-01-14,3,2,1,66.67
2026-01-15,1,0,1,0.0
2026-01-16,2,2,0,100.0
2026-01-17,1,1,0,100.0
2026-01-18,3,2,1,66.67
2026-01-19,1,1,0,100.0
2026-01-21,1,1,0,100.0
2026-01-22,1,1,0,100.0
2026-01-23,2,2,0,100.0
2026-01-24,1,1,0,100.0
2026-01-25,1,0,1,0.0
2026-01-26,2,2,0,100.0
2026-01-27,3,3,0,100.0
2026-01-28,3,1,2,33.33
2026-01-30,2,1,1,50.0
2026-01-31,1,1,0,100.0
2026-02-01,3,2,1,66.67
2026-02-02,2,2,0,100.0
2026-02-03,2,1,1,50.0
2026-02-04,2,2,0,100.0
2026-02-05,1,1,0,100.0
2026-02-07,3,2,1,66.67
2026-02-08,1,1,0,100.0
2026-02-09,3,2,1,66.67
2026-02-11,1,1,0,100.0
2026-02-12,2,1,1,50.0
2026-02-19,3,2,1,66.67
2026-02-20,2,2,0,100.0
2026-02-21,2,2,0,100.0
2026-02-22,3,3,0,100.0
2026-02-24,4,4,0,100.0
2026-02-26,3,3,0,100.0
