date,selectedRank,modelAction,tier,playerName,teamCode,gameKey,market,side,line,actualValue,actualSide,correct,projectedValue,lineGap,absLineGap,wfConfidence,metaProbCorrect,projectedMinutes,minutesVolatility,starterRateLast10,expectedMinutes,minutesLiftPct,lineupTimingConfidence,completenessScore,openingTeamSpread,openingTotal,missingCoreShare,stepUpRoleFlag,estimatedAccuracyPriorPct,baseScore,contextScore,contextAdjustment,correlationPenalty,finalScore,rejectionReason,components,riskFlags,contextFlags,contextNotes
2025-10-30,1,SELECTED,A,Myles Turner,MIL,0022500139,PRA,OVER,17.5,27.0,OVER,True,21.45,3.95,3.95,0.970474,0.75,,5.8,0.0,24.85,-0.1216,1.0,57.0,1.5,231.5,,False,90.16,0.857453,0.465,0.0,0.0,0.857453,,live_quality_router_v9;top200_accuracy_first;top200_primary,thin_context_completeness;minutes_lift_against_side,thin_context_completeness;minutes_lift_against_side,strong_lineup_timing;competitive_spread
2025-10-30,2,SELECTED,B,Bam Adebayo,MIA,0022500141,PTS,OVER,20.5,31.0,OVER,True,18.8,-1.7,1.7,0.873903,0.75,,7.86,0.0,25.96,-0.2333,1.0,67.0,5.5,233.5,,False,89.61,0.792764,0.458,0.0,0.0,0.792764,,live_quality_router_v9;top200_primary,projection_side_split;thin_context_completeness;minutes_lift_against_side,thin_context_completeness;minutes_lift_against_side,strong_lineup_timing;high_total_supports_counting_over
2025-10-30,3,SELECTED,C,CJ McCollum,WAS,0022500140,PTS,UNDER,14.5,19.0,OVER,False,18.23,3.73,3.73,0.839889,0.75,,4.96,0.0,30.51,-0.0583,1.0,54.0,15.5,229.5,,False,89.06,0.808668,0.425,0.0,0.006,0.802668,,live_quality_router_v9,projection_side_split;thin_context_completeness;blowout_spread_risk,thin_context_completeness;blowout_spread_risk,strong_lineup_timing
2025-10-31,1,SELECTED,A,Quentin Grimes,PHI,0022500021,PRA,OVER,17.5,21.0,OVER,True,26.7,9.2,9.2,0.931259,0.75,,4.62,0.0,32.96,0.1249,1.0,81.0,-4.0,221.5,,False,90.16,0.850395,0.59,0.0,0.0,0.850395,,live_quality_router_v9;top200_accuracy_first;top200_primary,,,strong_lineup_timing;minutes_lift_supports_over;competitive_spread
2025-10-31,2,SELECTED,A,Onyeka Okongwu,ATL,0022500020,REB,UNDER,9.5,9.0,UNDER,True,8.06,-1.44,1.44,0.905343,0.75,,4.95,0.0,28.41,0.0601,1.0,74.0,-1.5,229.5,,False,90.16,0.80413,0.56,0.0,0.0,0.80413,,live_quality_router_v9;top200_accuracy_first;top200_primary,,,strong_lineup_timing;competitive_spread
2025-10-31,3,SELECTED,B,Sandro Mamukelashvili,TOR,0022500022,PTS,OVER,6.5,11.0,OVER,True,7.81,1.31,1.31,0.848607,0.75,,2.21,,18.5,0.2107,1.0,74.0,8.5,234.5,,False,89.61,0.777811,0.618,0.0,0.0,0.777811,,live_quality_router_v9;top200_primary,,,strong_lineup_timing;stable_minutes;minutes_lift_supports_over;high_total_supports_counting_over
2025-10-31,4,SELECTED,C,Nikola Jokić,DEN,0022500026,PTS,UNDER,26.5,21.0,UNDER,True,22.42,-4.08,4.08,0.776719,0.75,,8.04,0.0,30.01,-0.1823,1.0,69.0,-4.5,235.5,,False,89.06,0.802297,0.465,0.0,0.006,0.796297,,live_quality_router_v9,thin_context_completeness;volatile_minutes,thin_context_completeness;volatile_minutes,strong_lineup_timing;minutes_lift_supports_under;competitive_spread
2025-10-31,5,SELECTED,C,Evan Mobley,CLE,0022500022,REB,UNDER,11.5,8.0,UNDER,True,8.25,-3.25,3.25,0.722565,0.75,,5.61,0.0,30.97,0.0013,1.0,73.0,-8.5,234.5,,False,89.06,0.78755,0.535,0.0,0.031,0.75655,,live_quality_router_v9,,,strong_lineup_timing
2025-11-01,1,SELECTED,A,Donte DiVincenzo,MIN,0022500143,PRA,OVER,23.5,25.0,OVER,True,18.56,-4.94,4.94,0.896326,0.75,,8.66,0.0,23.48,-0.1421,1.0,66.0,-4.5,234.5,,False,90.16,0.844107,0.388,0.0,0.0,0.844107,,live_quality_router_v9;top200_accuracy_first;top200_primary,projection_side_split;thin_context_completeness;volatile_minutes;minutes_lift_against_side;bench_role_context,thin_context_completeness;volatile_minutes;minutes_lift_against_side;bench_role_context,strong_lineup_timing;competitive_spread;high_total_supports_counting_over
2025-11-01,2,SELECTED,A,CJ McCollum,WAS,0022500145,PTS,OVER,15.5,13.0,UNDER,False,19.21,3.71,3.71,0.898069,0.75,,5.24,0.0,29.7,-0.0745,1.0,58.0,9.0,234.0,,False,90.16,0.82442,0.443,0.0,0.0,0.82442,,live_quality_router_v9;top200_accuracy_first;top200_primary,thin_context_completeness;blowout_spread_risk,thin_context_completeness;blowout_spread_risk,strong_lineup_timing;high_total_supports_counting_over
2025-11-01,3,SELECTED,B,LaMelo Ball,CHA,0022500143,AST,OVER,7.5,8.0,OVER,True,9.71,2.21,2.21,0.866502,0.75,,6.17,0.0,28.64,-0.1279,1.0,70.0,4.5,234.5,,False,89.61,0.805032,0.525,0.0,0.025,0.780032,,live_quality_router_v9;top200_primary,minutes_lift_against_side,minutes_lift_against_side,strong_lineup_timing;competitive_spread
