date,selectedRank,modelAction,tier,playerName,teamCode,gameKey,market,side,line,actualValue,actualSide,correct,projectedValue,lineGap,absLineGap,wfConfidence,metaProbCorrect,projectedMinutes,minutesVolatility,starterRateLast10,expectedMinutes,minutesLiftPct,lineupTimingConfidence,completenessScore,openingTeamSpread,openingTotal,missingCoreShare,stepUpRoleFlag,estimatedAccuracyPriorPct,baseScore,contextScore,contextAdjustment,correlationPenalty,finalScore,rejectionReason,components,riskFlags,contextFlags,contextNotes
2025-10-30,1,SELECTED,S,Kel'el Ware,MIA,0022500141,REB,UNDER,7.75,7.0,UNDER,True,9.62,1.87,1.87,0.969584,0.75,22.76,4.54,,22.76,0.0313,,71.0,5.5,233.5,0.0,False,94.8,0.890699,0.5,0.0,0.0,0.890699,,live_quality_router_v9;top200_premium_90;top200_accuracy_first;top200_primary,projection_side_split,,
2025-10-30,2,SELECTED,S,Corey Kispert,WAS,0022500140,PTS,OVER,6.5,8.0,OVER,True,9.62,3.12,3.12,0.940832,0.75,20.83,4.7,0.0,20.83,-0.1976,,76.0,15.5,229.5,0.0,False,93.7,0.88716,0.385,0.0,0.0,0.88716,,live_quality_router_v9;top200_premium_90,low_projected_minutes;minutes_lift_against_side;blowout_spread_risk;bench_role_context,minutes_lift_against_side;blowout_spread_risk;bench_role_context,
2025-10-30,3,SELECTED,S,Khris Middleton,WAS,0022500140,REB,UNDER,3.5,1.0,UNDER,True,5.4,1.9,1.9,0.955369,0.75,22.71,6.08,0.0,22.71,-0.0772,,76.0,15.5,229.5,0.0,False,94.8,0.888856,0.42,0.0,0.076,0.812856,,live_quality_router_v9;top200_premium_90;top200_accuracy_first;top200_primary,projection_side_split;blowout_spread_risk;bench_role_context,blowout_spread_risk;bench_role_context,
2025-10-30,4,SELECTED,A,LaMelo Ball,CHA,0022500138,PRA,OVER,36.5,37.0,OVER,True,42.49,5.99,5.99,0.977359,0.75,28.41,5.92,0.0,28.41,-0.1341,,73.0,3.5,238.5,0.0,False,90.16,0.899376,0.508,0.0,0.0,0.899376,,live_quality_router_v9;top200_accuracy_first;top200_primary,minutes_lift_against_side,minutes_lift_against_side,competitive_spread;high_total_supports_counting_over
2025-10-30,5,SELECTED,A,Brandin Podziemski,GSW,0022500139,PTS,OVER,9.75,9.0,UNDER,False,12.18,2.43,2.43,0.939438,0.75,25.43,5.69,,25.43,-0.0856,,69.0,-1.5,231.5,0.0,False,90.16,0.872384,0.465,0.0,0.006,0.866384,,live_quality_router_v9;top200_accuracy_first;top200_primary,thin_context_completeness,thin_context_completeness,competitive_spread
2025-10-30,6,SELECTED,A,AJ Green,MIL,0022500139,AST,UNDER,2.5,0.0,UNDER,True,1.12,-1.38,1.38,0.98332,0.75,25.9,7.59,0.0,25.9,0.385,,70.0,1.5,231.5,0.0,False,90.16,0.853066,0.49,0.0,0.025,0.828066,,live_quality_router_v9;top200_accuracy_first;top200_primary,minutes_lift_against_side,minutes_lift_against_side,competitive_spread
2025-10-31,1,SELECTED,S,Jaylon Tyson,CLE,0022500022,REB,UNDER,4.5,3.0,UNDER,True,2.94,-1.56,1.56,0.979148,0.75,21.48,5.13,0.0,21.48,0.8842,1.0,72.0,-8.5,234.5,0.0,False,94.8,0.88202,0.47,0.0,0.0,0.88202,,live_quality_router_v9;top200_premium_90;top200_accuracy_first;top200_primary,low_projected_minutes;minutes_lift_against_side;bench_role_context,minutes_lift_against_side;bench_role_context,strong_lineup_timing
2025-10-31,2,SELECTED,S,Josh Hart,NYK,0022500023,REB,UNDER,6.5,1.0,UNDER,True,8.16,1.66,1.66,0.955479,0.75,28.03,9.69,0.0,28.03,-0.2585,1.0,76.0,-2.5,235.5,0.0,False,94.8,0.861343,0.525,0.0,0.006,0.855343,,live_quality_router_v9;top200_premium_90;top200_accuracy_first;top200_primary,projection_side_split;volatile_minutes,volatile_minutes,strong_lineup_timing;minutes_lift_supports_under;competitive_spread
2025-10-31,3,SELECTED,S,Kris Murray,POR,0022500026,PTS,OVER,5.5,10.0,OVER,True,6.31,0.81,0.81,0.939168,0.75,23.78,5.54,0.0,23.78,0.291,,73.0,4.5,235.5,0.0,False,93.7,0.833377,0.543,0.0,0.0,0.833377,,live_quality_router_v9;top200_premium_90,bench_role_context,bench_role_context,minutes_lift_supports_over;competitive_spread;high_total_supports_counting_over
2025-10-31,4,SELECTED,S,Keyonte George,UTA,0022500025,AST,OVER,7.5,9.0,OVER,True,7.03,-0.47,0.47,0.823845,0.75,32.91,7.18,0.0,32.91,0.1088,,71.0,4.5,230.5,0.0,False,93.7,0.818769,0.555,0.0,0.0,0.818769,,live_quality_router_v9;top200_premium_90,projection_side_split,,minutes_lift_supports_over;competitive_spread
