selected_rank,candidate_id,slate_date,player,team,opponent,matchup_key,game_time_et,market,side,line,sportsbook_count,projected_value,line_gap,abs_line_gap,wf_confidence,meta_prob_correct,projected_minutes,minutes_volatility,starter_rate_last10,lineup_status,availability_status,rotation_rank,minutes_trend,data_completeness_score,stake_level,team_recent_win_pct,opponent_recent_win_pct,market_synergy_boost,market_synergy_drag,estimated_accuracy_prior_pct,tier,model_action,base_score,context_score,context_adjustment,correlation_penalty,final_score,risk_flags,context_flags,premium_pockets
1,3323895cda2f1884822c,2026-05-09,Marcus Smart,LAL,OKC,OKC@LAL,"May 9, 8:30 PM",AST,UNDER,3.5,10,5.35,1.85,1.85,0.719388,0.62764,34.13,5.76,,EXPECTED,,5,1.58,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,83.28,B,SELECTED,0.801437,0.565,0,0,0.801437,projection_side_split; recent_form_mismatch,recent_form_mismatch,
,fb60cb2b85d741995918,2026-05-09,Isaiah Joe,OKC,LAL,OKC@LAL,"May 9, 8:30 PM",PTS,OVER,3.5,4,5.72,2.22,2.22,0.854921,0.814117,11.66,4.63,,EXPECTED,,11,-5.41,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,82.31,B,CANDIDATE,0.76215,0.44,-0.025,0.031,0.73115,low_projected_minutes; wide_minutes_range; minutes_trend_against_side; recent_form_mismatch; high_stakes_bench_role,wide_minutes_range; minutes_trend_against_side; recent_form_mismatch; high_stakes_bench_role,
2,f222c52f004bfe199659,2026-05-09,Cade Cunningham,DET,CLE,DET@CLE,"May 9, 3:00 PM",PTS,OVER,26.5,11,24.92,-1.58,1.58,0.660586,0.545144,41.95,5.92,,CONFIRMED,,1,2.19,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,82.73,B,SELECTED,0.759463,0.61,0,0,0.759463,projection_side_split; recent_form_mismatch,recent_form_mismatch,
,219a67ec2680f174455d,2026-05-09,Jarrett Allen,CLE,DET,DET@CLE,"May 9, 3:00 PM",PTS,UNDER,11.5,11,12.71,1.21,1.21,0.673007,0.549607,28.91,4.3,,CONFIRMED,,4,-0.22,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,83.28,B,CANDIDATE,0.756614,0.585,0,0.031,0.725614,projection_side_split; recent_form_mismatch,recent_form_mismatch,
,f104177028b1b622e419,2026-05-09,Donovan Mitchell,CLE,DET,DET@CLE,"May 9, 3:00 PM",PTS,OVER,26.5,11,25.14,-1.36,1.36,0.65497,0.571817,36.59,2.85,,CONFIRMED,,2,0.65,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,82.73,B,CANDIDATE,0.75632,0.62,0,0.031,0.72532,projection_side_split; recent_form_mismatch,recent_form_mismatch,
,d39519bbde7727741cfb,2026-05-09,Chet Holmgren,OKC,LAL,OKC@LAL,"May 9, 8:30 PM",PRA,UNDER,27.5,11,29.38,1.88,1.88,0.735161,0.717372,32.41,5.36,,EXPECTED,,2,4.85,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,,C,COVERAGE,0.755244,0.54,0,0.025,0.730244,projection_side_split; minutes_trend_against_side; recent_form_mismatch,minutes_trend_against_side; recent_form_mismatch,
,50d06f2cfdaca2b72ed2,2026-05-09,Ajay Mitchell,OKC,LAL,OKC@LAL,"May 9, 8:30 PM",AST,UNDER,3.5,11,4.63,1.13,1.13,0.71894,0.632035,31.57,5.68,,EXPECTED,,3,5.07,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,83.28,B,CANDIDATE,0.753721,0.5,-0.025,0.031,0.722721,projection_side_split; wide_minutes_range; minutes_trend_against_side; recent_form_mismatch,wide_minutes_range; minutes_trend_against_side; recent_form_mismatch,
,a8001ffc320a06d4d873,2026-05-09,Deandre Ayton,LAL,OKC,OKC@LAL,"May 9, 8:30 PM",RA,OVER,9.5,8,11.78,2.28,2.28,0.727036,0.737325,29.7,4.15,,EXPECTED,,7,-2.21,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,,C,COVERAGE,0.752725,0.54,0,0.07,0.682725,minutes_trend_against_side; recent_form_mismatch,minutes_trend_against_side; recent_form_mismatch,
,06e4ae45206529330713,2026-05-09,Jarrett Allen,CLE,DET,DET@CLE,"May 9, 3:00 PM",RA,UNDER,8.5,10,10.42,1.92,1.92,0.734251,0.711024,28.91,4.3,,CONFIRMED,,4,-0.22,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,,C,COVERAGE,0.749425,0.585,0,0.025,0.724425,projection_side_split; auxiliary_side_sample_risk; recent_form_mismatch,recent_form_mismatch,
,1667f82d4631948294b3,2026-05-09,Tobias Harris,DET,CLE,DET@CLE,"May 9, 3:00 PM",PA,UNDER,20.5,10,18.3,-2.2,2.2,0.701647,0.589114,36.86,4.81,,CONFIRMED,,2,2.77,100,PLAYOFF_HIGH_LEVERAGE,1,0,6.76,0,,C,COVERAGE,0.742439,0.525,0,0.07,0.672439,minutes_trend_against_side; teammate_synergy_against_side; recent_form_mismatch,minutes_trend_against_side; teammate_synergy_against_side; recent_form_mismatch,
