date,rule,cardSize,selectedLegsOnDay,usedLegsOnDay,unusedLegsOnDay,cardIndex,card_hit,legA_correct,legA_line,legA_market,legA_player,legA_rank,legA_side,legA_team,legB_correct,legB_line,legB_market,legB_player,legB_rank,legB_side,legB_team,legC_correct,legC_line,legC_market,legC_player,legC_rank,legC_side,legC_team
2025-10-30,rank_pair_cards_all_but_odd_v1,2,5,4,1,1,True,True,33.5,PTS,Shai Gilgeous-Alexander,1,UNDER,OKC,True,36.5,PRA,LaMelo Ball,2,OVER,CHA,,,,,,,
2025-10-30,rank_pair_cards_all_but_odd_v1,2,5,4,1,2,False,True,7.75,REB,Kel'el Ware,3,UNDER,MIA,False,9.75,PTS,Brandin Podziemski,4,OVER,GSW,,,,,,,
2025-10-31,rank_pair_cards_all_but_odd_v1,2,5,4,1,1,True,True,17.5,PTS,VJ Edgecombe,1,UNDER,PHI,True,17.5,PTS,Scottie Barnes,2,UNDER,TOR,,,,,,,
2025-10-31,rank_pair_cards_all_but_odd_v1,2,5,4,1,2,True,True,22.5,PRA,Toumani Camara,3,UNDER,POR,True,11.5,REB,Karl-Anthony Towns,4,UNDER,NYK,,,,,,,
2025-11-01,rank_pair_cards_all_but_odd_v1,2,5,4,1,1,True,True,15.5,PTS,CJ McCollum,1,UNDER,WAS,True,31.5,PRA,Payton Pritchard,2,UNDER,BOS,,,,,,,
2025-11-01,rank_pair_cards_all_but_odd_v1,2,5,4,1,2,True,True,0.5,AST,Nique Clifford,3,UNDER,SAC,True,16.5,PTS,Cooper Flagg,4,UNDER,DAL,,,,,,,
2025-11-02,rank_pair_cards_all_but_odd_v1,2,6,6,0,1,True,True,7.5,PTS,Saddiq Bey,1,UNDER,NOP,True,28.5,PRA,Nickeil Alexander-Walker,2,UNDER,ATL,,,,,,,
2025-11-02,rank_pair_cards_all_but_odd_v1,2,6,6,0,2,True,True,28.0,PTS,Victor Wembanyama,3,UNDER,SAS,True,6.5,AST,Davion Mitchell,4,OVER,MIA,,,,,,,
2025-11-02,rank_pair_cards_all_but_odd_v1,2,6,6,0,3,True,True,2.5,REB,Tre Jones,5,UNDER,CHI,True,0.5,THREES,Scottie Barnes,6,OVER,TOR,,,,,,,
2025-11-03,rank_pair_cards_all_but_odd_v1,2,6,6,0,1,True,True,27.5,PRA,Payton Pritchard,1,UNDER,BOS,True,19.5,PTS,Shaedon Sharpe,2,OVER,POR,,,,,,,
2025-11-03,rank_pair_cards_all_but_odd_v1,2,6,6,0,2,True,True,27.0,PTS,Cade Cunningham,3,OVER,DET,True,12.5,REB,Karl-Anthony Towns,4,OVER,NYK,,,,,,,
2025-11-03,rank_pair_cards_all_but_odd_v1,2,6,6,0,3,True,True,5.25,AST,Ryan Rollins,5,OVER,MIL,True,2.5,REB,Nique Clifford,6,UNDER,SAC,,,,,,,
2025-11-04,rank_pair_cards_all_but_odd_v1,2,5,4,1,1,True,True,15.5,PTS,VJ Edgecombe,1,UNDER,PHI,True,15.5,PRA,Grayson Allen,2,OVER,PHX,,,,,,,
2025-11-04,rank_pair_cards_all_but_odd_v1,2,5,4,1,2,True,True,8.5,REB,Isaiah Hartenstein,3,UNDER,OKC,True,19.5,PTS,RJ Barrett,4,OVER,TOR,,,,,,,
2025-11-05,rank_pair_cards_all_but_odd_v1,2,6,6,0,1,True,True,17.5,PTS,Cooper Flagg,1,OVER,DAL,True,28.5,PRA,Mikal Bridges,2,UNDER,NYK,,,,,,,
2025-11-05,rank_pair_cards_all_but_odd_v1,2,6,6,0,2,True,True,35.5,PTS,Luka Dončić,3,UNDER,LAL,True,4.5,REB,VJ Edgecombe,4,UNDER,PHI,,,,,,,
2025-11-05,rank_pair_cards_all_but_odd_v1,2,6,6,0,3,True,True,2.5,AST,Pelle Larsson,5,OVER,MIA,True,6.5,AST,Pascal Siakam,6,OVER,IND,,,,,,,
2025-11-06,rank_pair_cards_all_but_odd_v1,2,2,2,0,1,True,True,28.0,PTS,Devin Booker,1,UNDER,PHX,True,9.5,PRA,Brook Lopez,2,UNDER,LAC,,,,,,,
