date,rule,selectedLegsOnDay,comboIndex,legA_rank,legA_player,legA_team,legA_market,legA_side,legA_line,legA_correct,legB_rank,legB_player,legB_team,legB_market,legB_side,legB_line,legB_correct,legC_rank,legC_player,legC_team,legC_market,legC_side,legC_line,legC_correct,combo_hit
2025-10-30,daily_top6_under_else_top3_triplets_v1,3,1,1,Shai Gilgeous-Alexander,OKC,PTS,UNDER,33.5,True,3,Kel'el Ware,MIA,REB,UNDER,7.75,True,5,Khris Middleton,WAS,REB,UNDER,3.5,True,True
2025-10-31,daily_top6_under_else_top3_triplets_v1,4,1,1,VJ Edgecombe,PHI,PTS,UNDER,17.5,True,2,Scottie Barnes,TOR,PTS,UNDER,17.5,True,3,Toumani Camara,POR,PRA,UNDER,22.5,True,True
2025-10-31,daily_top6_under_else_top3_triplets_v1,4,2,1,VJ Edgecombe,PHI,PTS,UNDER,17.5,True,2,Scottie Barnes,TOR,PTS,UNDER,17.5,True,4,Karl-Anthony Towns,NYK,REB,UNDER,11.5,True,True
2025-10-31,daily_top6_under_else_top3_triplets_v1,4,3,1,VJ Edgecombe,PHI,PTS,UNDER,17.5,True,3,Toumani Camara,POR,PRA,UNDER,22.5,True,4,Karl-Anthony Towns,NYK,REB,UNDER,11.5,True,True
2025-10-31,daily_top6_under_else_top3_triplets_v1,4,4,2,Scottie Barnes,TOR,PTS,UNDER,17.5,True,3,Toumani Camara,POR,PRA,UNDER,22.5,True,4,Karl-Anthony Towns,NYK,REB,UNDER,11.5,True,True
2025-11-01,daily_top6_under_else_top3_triplets_v1,4,1,1,CJ McCollum,WAS,PTS,UNDER,15.5,True,2,Payton Pritchard,BOS,PRA,UNDER,31.5,True,3,Nique Clifford,SAC,AST,UNDER,0.5,True,True
2025-11-01,daily_top6_under_else_top3_triplets_v1,4,2,1,CJ McCollum,WAS,PTS,UNDER,15.5,True,2,Payton Pritchard,BOS,PRA,UNDER,31.5,True,4,Cooper Flagg,DAL,PTS,UNDER,16.5,True,True
2025-11-01,daily_top6_under_else_top3_triplets_v1,4,3,1,CJ McCollum,WAS,PTS,UNDER,15.5,True,3,Nique Clifford,SAC,AST,UNDER,0.5,True,4,Cooper Flagg,DAL,PTS,UNDER,16.5,True,True
2025-11-01,daily_top6_under_else_top3_triplets_v1,4,4,2,Payton Pritchard,BOS,PRA,UNDER,31.5,True,3,Nique Clifford,SAC,AST,UNDER,0.5,True,4,Cooper Flagg,DAL,PTS,UNDER,16.5,True,True
2025-11-02,daily_top6_under_else_top3_triplets_v1,4,1,1,Saddiq Bey,NOP,PTS,UNDER,7.5,True,2,Nickeil Alexander-Walker,ATL,PRA,UNDER,28.5,True,3,Victor Wembanyama,SAS,PTS,UNDER,28.0,True,True
2025-11-02,daily_top6_under_else_top3_triplets_v1,4,2,1,Saddiq Bey,NOP,PTS,UNDER,7.5,True,2,Nickeil Alexander-Walker,ATL,PRA,UNDER,28.5,True,5,Tre Jones,CHI,REB,UNDER,2.5,True,True
2025-11-02,daily_top6_under_else_top3_triplets_v1,4,3,1,Saddiq Bey,NOP,PTS,UNDER,7.5,True,3,Victor Wembanyama,SAS,PTS,UNDER,28.0,True,5,Tre Jones,CHI,REB,UNDER,2.5,True,True
2025-11-02,daily_top6_under_else_top3_triplets_v1,4,4,2,Nickeil Alexander-Walker,ATL,PRA,UNDER,28.5,True,3,Victor Wembanyama,SAS,PTS,UNDER,28.0,True,5,Tre Jones,CHI,REB,UNDER,2.5,True,True
2025-11-03,daily_top6_under_else_top3_triplets_v1,3,1,1,Payton Pritchard,BOS,PRA,UNDER,27.5,True,2,Shaedon Sharpe,POR,PTS,OVER,19.5,True,3,Cade Cunningham,DET,PTS,OVER,27.0,True,True
2025-11-04,daily_top6_under_else_top3_triplets_v1,3,1,1,VJ Edgecombe,PHI,PTS,UNDER,15.5,True,3,Isaiah Hartenstein,OKC,REB,UNDER,8.5,True,5,Nikola Vučević,CHI,REB,UNDER,10.5,True,True
2025-11-05,daily_top6_under_else_top3_triplets_v1,3,1,2,Mikal Bridges,NYK,PRA,UNDER,28.5,True,3,Luka Dončić,LAL,PTS,UNDER,35.5,True,4,VJ Edgecombe,PHI,REB,UNDER,4.5,True,True
2025-11-07,daily_top6_under_else_top3_triplets_v1,3,1,1,Anthony Edwards,MIN,PTS,OVER,26.5,True,2,Josh Giddey,CHI,PRA,OVER,31.5,True,3,Scottie Barnes,TOR,PTS,UNDER,18.5,True,True
2025-11-08,daily_top6_under_else_top3_triplets_v1,3,1,1,Scottie Barnes,TOR,PTS,UNDER,18.5,True,2,Evan Mobley,CLE,PRA,UNDER,37.5,True,3,Harrison Barnes,SAS,PTS,OVER,10.5,True,True
