date,rule,cardSize,playerTabPicksOnDay,usedLegsOnDay,unusedLegsOnDay,cardIndex,card_hit,eligibleLegsOnDay,legA_correct,legA_line,legA_market,legA_player,legA_score,legA_side,legA_team,legB_correct,legB_line,legB_market,legB_player,legB_score,legB_side,legB_team,legC_correct,legC_line,legC_market,legC_player,legC_score,legC_side,legC_team,legD_correct,legD_line,legD_market,legD_player,legD_score,legD_side,legD_team,legE_correct,legE_line,legE_market,legE_player,legE_score,legE_side,legE_team,legF_correct,legF_line,legF_market,legF_player,legF_score,legF_side,legF_team
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,1,True,58,True,36.5,PRA,LaMelo Ball,0.899376,OVER,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,2,True,58,True,7.75,REB,Kel'el Ware,0.890699,UNDER,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,3,True,58,True,6.5,PTS,Corey Kispert,0.88716,OVER,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,4,False,58,False,9.75,PTS,Brandin Podziemski,0.866384,OVER,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,5,True,58,True,8.5,PA,Harrison Barnes,0.865352,OVER,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,6,True,58,True,12.5,RA,Stephon Castle,0.85885,OVER,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,7,True,58,True,14.5,PA,Dylan Harper,0.857992,OVER,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,8,False,58,False,16.5,PRA,Keldon Johnson,0.845993,OVER,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,9,True,58,True,33.5,PTS,Shai Gilgeous-Alexander,0.844513,UNDER,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,10,True,58,True,29.5,PA,Victor Wembanyama,0.842952,OVER,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,11,True,58,True,19.5,PTS,Desmond Bane,0.838951,UNDER,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,12,True,58,True,7.5,PA,Luguentz Dort,0.836057,OVER,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,13,True,58,True,16.5,PA,Devin Vassell,0.83384,OVER,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,14,True,58,True,11.5,PA,Isaiah Hartenstein,0.828811,OVER,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,15,True,58,True,25.5,PRA,Franz Wagner,0.828087,OVER,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,16,True,58,True,2.5,AST,AJ Green,0.828066,UNDER,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,17,True,58,True,36.5,PRA,Paolo Banchero,0.821284,OVER,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,18,True,58,True,32.5,PR,Bam Adebayo,0.815967,OVER,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,19,True,58,True,3.5,REB,Khris Middleton,0.812856,UNDER,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,20,True,58,True,11.5,PA,Aaron Wiggins,0.8107,UNDER,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,21,True,58,True,6.75,RA,Pelle Larsson,0.809891,UNDER,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,player_tab_best_market_singles_90_v1,1,58,58,0,22,True,58,True,17.75,PA,Miles Bridges,0.808926,UNDER,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
