gameDateEt,market,line,overLine,underLine,overPrice,underPrice,playerId,externalPlayerId,playerName,matchup,sportsbookOver,sportsbookUnder,source,sourceUrl
2026-03-09,PTS,18.75,18.5,19.5,-124,-115.5,cmm6n0lln0017dx10zzmm7rdc,1626157,karl anthony towns,Knicks @ Clippers,bet365,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10575030&market=points
2026-03-09,PTS,13.5,13.5,13.5,-125,-107,cmm6n0lr6001bdx10kfdxrch6,1628969,mikal bridges,Knicks @ Clippers,fanatics,betmgm,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10575030&market=points
2026-03-09,PTS,24.5,23.5,24.5,-118.5,-116,cmm6n0ltz001ddx10zi8sgnao,1628973,jalen brunson,Knicks @ Clippers,fanatics,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10575030&market=points
2026-03-09,PTS,10.5,10.5,10.5,-127,-112,cmm6n0m2d001jdx107cs3k2aa,1628404,josh hart,Knicks @ Clippers,fanatics,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10575030&market=points
2026-03-09,PTS,8.5,8.5,9.5,-130.5,-114,cmm6n0mao001pdx10exyygcoq,1629013,landry shamet,Knicks @ Clippers,bet365,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10575030&market=points
2026-03-09,PTS,4.5,4.5,4.5,-138.5,-8,cmm6n0mlt001xdx10ji5tvxvc,1642885,mohamed diawara,Knicks @ Clippers,bet365,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10575030&market=points
2026-03-09,PTS,15.5,15.5,16.5,-117,-115.5,cmm6n0mzt0027dx10yajknuq1,1628384,og anunoby,Knicks @ Clippers,bet365,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10575030&market=points
2026-03-09,PTS,9.5,8.5,9.5,-120.5,-127.5,cmm6n0n8a002ddx108sj2w7et,1631230,dominick barlow,76ers @ Cavaliers,fanatics,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10575070&market=points
2026-03-09,PTS,7.5,7.5,8.5,-122,-121.5,cmm6n0nb1002fdx10fkdh0zqm,1641737,adem bona,76ers @ Cavaliers,fanatics,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10575070&market=points
2026-03-09,PTS,9.5,9.5,9.5,-118.5,-119.5,cmm6n0nme002ndx10kw74pws1,1631133,jabari walker,76ers @ Cavaliers,riverscasino,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/10575070&market=points
