gameDateEt,market,line,overLine,underLine,overPrice,underPrice,playerId,externalPlayerId,playerName,matchup,sportsbookOver,sportsbookUnder,source,sourceUrl
2025-10-23,AST,2.5,2.5,3.5,126,-164,cmm6n10js00bvdx10o70lt5vk,1629661,cameron johnson,Nuggets @ Warriors,draftkings,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=assists
2025-10-23,AST,2.5,2.5,3.5,-165,121.5,cmm6n10mk00bxdx102sv5re55,203932,aaron gordon,Nuggets @ Warriors,draftkings,riverscasino,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=assists
2025-10-23,AST,8.5,8.5,9.5,-137,104,cmm6n10pc00bzdx10pvcq9zq9,203999,nikola jokic,Nuggets @ Warriors,draftkings,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=assists
2025-10-23,AST,2.5,2.5,2.5,100,-131,cmm6n10s900c1dx10nagh727x,1631128,christian braun,Nuggets @ Warriors,draftkings,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=assists
2025-10-23,AST,5.5,5,5.5,115,-150,cmm6n10v100c3dx10r8qqlu2w,1627750,jamal murray,Nuggets @ Warriors,prizepicks,riverscasino,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=assists
2025-10-23,AST,0.5,0.5,0.5,105,-135,cmm6n10xr00c5dx105s5u7omw,1631212,peyton watson,Nuggets @ Warriors,bet365,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=assists
2025-10-23,AST,1.5,1.5,1.5,-155,125,cmm6n113a00c9dx10b0hiifkd,1628971,bruce brown,Nuggets @ Warriors,bet365,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=assists
2025-10-23,AST,1.5,1.5,1.5,-123.5,-128.5,cmm6n118r00cddx106oi7yjlo,202685,jonas valanciunas,Nuggets @ Warriors,bet365,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=assists
2025-10-23,AST,1.5,1.5,1.5,-161,6.5,cmm6n15bz00f9dx10i8vxzbyb,1630598,aaron wiggins,Thunder @ Pacers,underdog,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483710&market=assists
2025-10-23,AST,2.5,2.5,2.5,-5,-130,cmm6n15hl00fddx10nav2raqf,1631119,jaylin williams,Thunder @ Pacers,hardrock,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483710&market=assists
