gameDateEt,market,line,overLine,underLine,overPrice,underPrice,playerId,externalPlayerId,playerName,matchup,sportsbookOver,sportsbookUnder,source,sourceUrl
2025-10-23,PR,18.5,18.5,18.5,-116.5,-116.5,cmm6n15bz00f9dx10i8vxzbyb,1630598,aaron wiggins,Thunder @ Pacers,fanatics,underdog,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,PR,13.5,13.5,13.5,-125,-120,cmm6n15hl00fddx10nav2raqf,1631119,jaylin williams,Thunder @ Pacers,hardrock,fanatics,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,PR,14.5,14.5,14.5,-105,-130,cmm6n169c00fxdx10vvx2qr96,1629652,luguentz dort,Thunder @ Pacers,bet365,caesars,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,PR,37.5,37.5,37.5,-117.5,-116.5,cmm6n16c200fzdx108xbwhssb,1628983,shai gilgeous alexander,Thunder @ Pacers,hardrock,draftkings,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,PR,28.5,28.5,28.5,-118.5,-122.5,cmm6n16ho00g3dx10jft10kjy,1631096,chet holmgren,Thunder @ Pacers,bet365,draftkings,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,PR,17.5,17.5,17.5,-120,-114,cmm6n1p7y00thdx10x8ugv1m5,1630174,aaron nesmith,Thunder @ Pacers,draftkings,bet365,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,PR,27.5,27.5,27.5,-115,-119,cmm6n1pao00tjdx10gu4pb8qg,1627783,pascal siakam,Thunder @ Pacers,fanduel,hardrock,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,PR,17.5,17.5,17.5,-115,-125,cmm6n1pj000tpdx10wtjkdm7d,1629614,andrew nembhard,Thunder @ Pacers,draftkings,bet365,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,PR,14.5,14.5,14.5,-110,-120,cmm6n1prk00tvdx10okanm8eo,1641716,jarace walker,Thunder @ Pacers,hardrock,draftkings,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,PR,11.5,11.5,11.5,-120,-110,cmm6n1px800tzdx103oa28yui,1642277,johnny furphy,Thunder @ Pacers,fanatics,draftkings,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,PR,10.5,10.5,10.5,-120,-120,cmm6n1pzy00u1dx10yigqfwya,1630643,jay huff,Thunder @ Pacers,fanduel,hardrock,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-24,PR,7.5,7.5,7.5,-130,-114,cmm6n0osf003hdx10zuejbdms,1629020,jarred vanderbilt,Timberwolves @ Lakers,fanatics,fanduel,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,PR,13.5,13.5,13.5,-127,-110,cmm6n0ov8003jdx10t89rixua,1629060,rui hachimura,Timberwolves @ Lakers,bet365,betmgm,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,PR,18,18,18,-112,-118,cmm6n0oxz003ldx10lnxnvkh7,1629028,deandre ayton,Timberwolves @ Lakers,betmgm,caesars,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,PR,9.5,9.5,9.5,-113,-125,cmm6n0p0q003ndx104vk16uir,1631222,jake laravia,Timberwolves @ Lakers,prizepicks,bet365,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,PR,26.5,26.5,26.5,-111.5,-121,cmm6n0p3i003pdx105aygapj3,1630559,austin reaves,Timberwolves @ Lakers,prizepicks,bet365,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,PR,42,42,42,-125,-113,cmm6n0psd0047dx10gd2j56s3,1629029,luka doncic,Timberwolves @ Lakers,draftkings,caesars,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,PR,11.5,11.5,11.5,-115,-118,cmm6n0q69004hdx10b7ttzb6p,203935,marcus smart,Timberwolves @ Lakers,fanduel,bet365,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,PR,26.5,26.5,26.5,-122.5,-114.5,cmm6n0qej004ndx10r5h5o9zd,1628415,dillon brooks,Suns @ Clippers,fanduel,bet365,scoresandodds,https://www.scoresandodds.com/nba/clippers-vs-suns
2025-10-24,PR,8,8,8,-117.5,-113,cmm6n0qhd004pdx10m4hv458r,1642346,ryan dunn,Suns @ Clippers,fanduel,bet365,scoresandodds,https://www.scoresandodds.com/nba/clippers-vs-suns
2025-10-24,PR,9.5,9.5,9.5,-130,-116,cmm6n0qk6004rdx10awr0q9oy,1642345,oso ighodaro,Suns @ Clippers,draftkings,bet365,scoresandodds,https://www.scoresandodds.com/nba/clippers-vs-suns
2025-10-24,PR,21.5,21.5,21.5,-119,-113.5,cmm6n0qmx004tdx106go0pp3n,1628960,grayson allen,Suns @ Clippers,bet365,fanduel,scoresandodds,https://www.scoresandodds.com/nba/clippers-vs-suns
2025-10-24,PR,18.5,18.5,18.5,-118,-114,cmm6n0qsf004xdx10gv8u82x4,1631221,collin gillespie,Suns @ Clippers,bet365,fanduel,scoresandodds,https://www.scoresandodds.com/nba/clippers-vs-suns
2025-10-24,PR,13.5,13.5,13.5,-125,-105,cmm6n0qv6004zdx10u7qg4xb1,1626220,royce o neale,Suns @ Clippers,bet365,sleeper,scoresandodds,https://www.scoresandodds.com/nba/clippers-vs-suns
2025-10-24,PR,13.5,13.5,13.5,-110,-125,cmm6n0rby005bdx10o00vbm7o,1630692,jordan goodwin,Suns @ Clippers,hardrock,bet365,scoresandodds,https://www.scoresandodds.com/nba/clippers-vs-suns
2025-10-24,PR,18.5,18.5,18.5,-124,-115,cmm6n0ry6005rdx104kiynalr,1631109,mark williams,Suns @ Clippers,hardrock,bet365,scoresandodds,https://www.scoresandodds.com/nba/clippers-vs-suns
2025-10-24,PR,18.5,18.5,18.5,-120.5,-111,cmm6n0s10005tdx108sv2w69j,1630180,saddiq bey,Spurs @ Pelicans,bet365,underdog,scoresandodds,https://www.scoresandodds.com/nba/pelicans-vs-spurs
2025-10-24,PR,25.5,25.5,25.5,-120.5,-115,cmm6n0s3q005vdx10c5xotxmp,1629627,zion williamson,Spurs @ Pelicans,bet365,fanduel,scoresandodds,https://www.scoresandodds.com/nba/pelicans-vs-spurs
2025-10-24,PR,13.5,13.5,13.5,-117.5,-117.5,cmm6n0sew0063dx10t832pagq,1642847,jeremiah fears,Spurs @ Pelicans,fanatics,draftkings,scoresandodds,https://www.scoresandodds.com/nba/pelicans-vs-spurs
2025-10-24,PR,10.5,10.5,10.5,-120,-110,cmm6n0tfd006rdx1012ssqsvw,1630529,herbert jones,Spurs @ Pelicans,bet365,draftkings,scoresandodds,https://www.scoresandodds.com/nba/pelicans-vs-spurs
2025-10-24,PR,17.5,17.5,17.5,-121,-120,cmm6n0tkw006vdx10m43b9zdj,1642852,derik queen,Spurs @ Pelicans,fanatics,bet365,scoresandodds,https://www.scoresandodds.com/nba/pelicans-vs-spurs
2025-10-24,PR,10.5,10.5,10.5,-105.5,-125,cmm6n0w1v008ndx10k4dabi60,1629611,terance mann,Cavaliers @ Nets,fanduel,bet365,scoresandodds,https://www.scoresandodds.com/nba/cavaliers-vs-nets
2025-10-24,PR,18.5,18.5,18.5,-113,-125,cmm6n0w7d008rdx10m33w6ja3,1629651,nic claxton,Cavaliers @ Nets,draftkings,fanduel,scoresandodds,https://www.scoresandodds.com/nba/cavaliers-vs-nets
2025-10-24,PR,16.5,16.5,16.5,-120,-110,cmm6n0wa4008tdx10jhpfi638,1630560,cam thomas,Bucks @ Raptors,caesars,prizepicks,scoresandodds,https://www.scoresandodds.com/nba/bucks-vs-raptors
2025-10-24,PR,21.5,21.5,21.5,-121.5,-122.5,cmm6n0wny0093dx105p91kl2w,1630549,day ron sharpe,Cavaliers @ Nets,hardrock,draftkings,scoresandodds,https://www.scoresandodds.com/nba/cavaliers-vs-nets
2025-10-24,PR,16.5,16.5,16.5,-115,-116,cmm6n0wqp0095dx105z440hc9,1641730,noah clowney,Cavaliers @ Nets,betmgm,fanduel,scoresandodds,https://www.scoresandodds.com/nba/cavaliers-vs-nets
2025-10-24,PR,20.5,20.5,20.5,-115,-119,cmm6n0xtk009xdx10npw0ava0,203952,andrew wiggins,Heat @ Grizzlies,draftkings,bet365,scoresandodds,https://www.scoresandodds.com/nba/grizzlies-vs-heat
2025-10-24,PR,30,30,30,-125,-110,cmm6n0xz500a1dx10zdwdqdew,1628389,bam adebayo,Heat @ Grizzlies,fanduel,underdog,scoresandodds,https://www.scoresandodds.com/nba/grizzlies-vs-heat
2025-10-24,PR,23.5,23.5,23.5,-125,-113,cmm6n0y2200a3dx10iv58cjf0,1626181,norman powell,Heat @ Grizzlies,fanduel,draftkings,scoresandodds,https://www.scoresandodds.com/nba/grizzlies-vs-heat
2025-10-24,PR,15.5,15.5,15.5,-117,-117.5,cmm6n0yjr00afdx10ymgpl0h9,1642276,kel el ware,Heat @ Grizzlies,fanatics,hardrock,scoresandodds,https://www.scoresandodds.com/nba/grizzlies-vs-heat
2025-10-24,PR,17.5,17.5,17.5,-125,-113,cmm6n120i00cxdx10n3uz6kd3,1630183,jaden mcdaniels,Timberwolves @ Lakers,fanduel,bet365,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,PR,16.5,16.5,16.5,-125,-107,cmm6n123c00czdx10fvdumqx6,1629675,naz reid,Timberwolves @ Lakers,fanduel,fanatics,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,PR,21.5,21.5,21.5,-115,-121.5,cmm6n126200d1dx107ddq4mzt,203497,rudy gobert,Timberwolves @ Lakers,fanduel,bet365,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,PR,14,14,14,-122,-115,cmm6n128t00d3dx10pongurc3,1628978,donte divincenzo,Timberwolves @ Lakers,fanduel,bet365,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,PR,6.5,6.5,6.5,-112,-112,cmm6n12ee00d7dx10i7azwvfa,1630538,bones hyland,Timberwolves @ Lakers,bet365,bet365,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,PR,33.75,33.75,33.75,-119.5,-120,cmm6n13ek00dxdx10a85oxmw7,1630162,anthony edwards,Timberwolves @ Lakers,fanduel,bet365,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,PR,25.5,25.5,25.5,-113,-122.5,cmm6n13k200e1dx10b4ij7rwb,203944,julius randle,Timberwolves @ Lakers,fanatics,caesars,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,PR,11.5,11.5,11.5,-115,-118,cmm6n16yh00gfdx10tjwsux85,1630541,moses moody,Warriors @ Trail Blazers,fanatics,draftkings,scoresandodds,https://www.scoresandodds.com/nba/trail-blazers-vs-warriors
2025-10-24,PR,15.5,15.5,15.5,-106,-125,cmm6n174100gjdx10zr5uaz9p,203110,draymond green,Warriors @ Trail Blazers,fanatics,draftkings,scoresandodds,https://www.scoresandodds.com/nba/trail-blazers-vs-warriors
2025-10-24,PR,12.5,12.5,12.5,-117.5,-117,cmm6n176s00gldx100vmchldl,1641764,brandin podziemski,Warriors @ Trail Blazers,fanatics,bet365,scoresandodds,https://www.scoresandodds.com/nba/trail-blazers-vs-warriors
2025-10-24,PR,32.5,32.5,32.5,-120,-119,cmm6n179i00gndx10ms0rlam0,201939,stephen curry,Warriors @ Trail Blazers,fanduel,caesars,scoresandodds,https://www.scoresandodds.com/nba/trail-blazers-vs-warriors
2025-10-24,PR,10.5,10.5,10.5,-127,-115,cmm6n17q000gzdx10pw88vqv8,1642366,quinten post,Warriors @ Trail Blazers,fanduel,hardrock,scoresandodds,https://www.scoresandodds.com/nba/trail-blazers-vs-warriors
2025-10-24,PR,6.5,6.5,6.5,-120,-130,cmm6n17ss00h1dx10bd5tdobr,1630611,gui santos,Warriors @ Trail Blazers,fanatics,bet365,scoresandodds,https://www.scoresandodds.com/nba/trail-blazers-vs-warriors
2025-10-24,PR,5.5,5.5,5.5,-130,-115,cmm6n17yc00h5dx10u8l0q5lo,1642954,will richard,Warriors @ Trail Blazers,fanatics,bet365,scoresandodds,https://www.scoresandodds.com/nba/trail-blazers-vs-warriors
2025-10-24,PR,12.5,12.5,12.5,-118,-123,cmm6n18kk00hldx10qma8i5m9,1631260,aj green,Bucks @ Raptors,bet365,fanduel,scoresandodds,https://www.scoresandodds.com/nba/bucks-vs-raptors
2025-10-24,PR,17.5,17.5,17.5,-120,-120,cmm6n18ne00hndx10b7dscv0f,1628398,kyle kuzma,Bucks @ Raptors,fanduel,hardrock,scoresandodds,https://www.scoresandodds.com/nba/bucks-vs-raptors
2025-10-24,PR,16.5,16.5,16.5,-115,-125,cmm6n18q600hpdx104f0uuc5a,1626167,myles turner,Bucks @ Raptors,fanatics,bet365,scoresandodds,https://www.scoresandodds.com/nba/bucks-vs-raptors
2025-10-24,PR,17.5,17.5,17.5,-120,-108,cmm6n191900hxdx108ofm67jm,1626171,bobby portis,Bucks @ Raptors,fanduel,hardrock,scoresandodds,https://www.scoresandodds.com/nba/bucks-vs-raptors
2025-10-24,PR,22.5,22.5,22.5,-114,-119,cmm6n199o00i3dx10kbqbqkno,1631157,ryan rollins,Bucks @ Raptors,fanatics,hardrock,scoresandodds,https://www.scoresandodds.com/nba/bucks-vs-raptors
2025-10-24,PR,13.5,13.5,13.5,-111,-119,cmm6n1a4900ipdx1070kjx8ni,1631106,tari eason,Pistons @ Rockets,fanduel,bet365,scoresandodds,https://www.scoresandodds.com/nba/pistons-vs-rockets
2025-10-24,PR,28.5,28.5,28.5,-120.5,-121,cmm6n1a9q00itdx10k7tbwwnw,1630578,alperen sengun,Pistons @ Rockets,draftkings,bet365,scoresandodds,https://www.scoresandodds.com/nba/pistons-vs-rockets
2025-10-24,PR,23.5,23.5,23.5,-122,-113.5,cmm6n1aci00ivdx10rp1xdaol,1641708,amen thompson,Pistons @ Rockets,bet365,fanduel,scoresandodds,https://www.scoresandodds.com/nba/pistons-vs-rockets
2025-10-24,PR,13.5,13.5,13.5,-118,-117.5,cmm6n1afc00ixdx10uy81nr1g,1642263,reed sheppard,Pistons @ Rockets,bet365,caesars,scoresandodds,https://www.scoresandodds.com/nba/pistons-vs-rockets
2025-10-24,PR,8.5,8.5,8.5,-119,-117.5,cmm6n1anp00j3dx10o6du03yu,1629006,josh okogie,Pistons @ Rockets,betmgm,draftkings,scoresandodds,https://www.scoresandodds.com/nba/pistons-vs-rockets
2025-10-24,PR,29.5,29.5,29.5,-124.5,-115,cmm6n1b7c00jhdx1030gogc7z,201142,kevin durant,Pistons @ Rockets,fanduel,underdog,scoresandodds,https://www.scoresandodds.com/nba/pistons-vs-rockets
2025-10-24,PR,12.5,12.5,12.5,-122,-110,cmm6n1c1x00k3dx10zgfgevda,1628379,luke kennard,Timberwolves @ Lakers,hardrock,bet365,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,PR,15.5,15.5,15.5,-127,-105,cmm6n1cx300kpdx10dcv8hzuv,1642377,jaylen wells,Heat @ Grizzlies,bet365,fanduel,scoresandodds,https://www.scoresandodds.com/nba/grizzlies-vs-heat
2025-10-24,PR,19.5,19.5,19.5,-126,-116.5,cmm6n1czt00krdx10w06fgdef,1630583,santi aldama,Heat @ Grizzlies,fanatics,fanduel,scoresandodds,https://www.scoresandodds.com/nba/grizzlies-vs-heat
2025-10-24,PR,15.5,15.5,15.5,-121,-112,cmm6n1dop00l9dx10ekdt89a0,1642907,cedric coward,Heat @ Grizzlies,fanatics,betmgm,scoresandodds,https://www.scoresandodds.com/nba/grizzlies-vs-heat
2025-10-24,PR,17.5,17.5,17.5,-123,-115,cmm6n1dri00lbdx10sxi183xp,1641713,gg jackson,Heat @ Grizzlies,bet365,betmgm,scoresandodds,https://www.scoresandodds.com/nba/grizzlies-vs-heat
2025-10-24,PR,12.5,12.5,12.5,-121.5,-118.5,cmm6n1dub00lddx101tbutaee,1642285,cam spencer,Heat @ Grizzlies,draftkings,bet365,scoresandodds,https://www.scoresandodds.com/nba/grizzlies-vs-heat
2025-10-24,PR,15.5,15.5,15.5,-110,-125,cmm6n1ej800lvdx10hm05esrf,1641709,ausar thompson,Pistons @ Rockets,prizepicks,fanduel,scoresandodds,https://www.scoresandodds.com/nba/pistons-vs-rockets
