gameDateEt,market,line,overLine,underLine,overPrice,underPrice,playerId,externalPlayerId,playerName,matchup,sportsbookOver,sportsbookUnder,source,sourceUrl
2025-10-23,RA,6.5,6.5,6.5,-137,100,cmm6n15bz00f9dx10i8vxzbyb,1630598,aaron wiggins,Thunder @ Pacers,fanatics,hardrock,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,RA,10,10,10,-137,-120.5,cmm6n15hl00fddx10nav2raqf,1631119,jaylin williams,Thunder @ Pacers,bet365,hardrock,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,RA,5.5,5.5,5.5,-122.5,-105.5,cmm6n169c00fxdx10vvx2qr96,1629652,luguentz dort,Thunder @ Pacers,fanatics,bet365,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,RA,11.5,11.5,11.5,-115,-122,cmm6n16c200fzdx108xbwhssb,1628983,shai gilgeous alexander,Thunder @ Pacers,hardrock,draftkings,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,RA,11.5,11.5,11.5,-118.5,-123.5,cmm6n16ho00g3dx10jft10kjy,1631096,chet holmgren,Thunder @ Pacers,fanatics,draftkings,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,RA,7.5,7.5,7.5,-0.5,-135,cmm6n1p7y00thdx10x8ugv1m5,1630174,aaron nesmith,Thunder @ Pacers,draftkings,bet365,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,RA,9.5,9.5,9.5,-125,-110,cmm6n1pao00tjdx10gu4pb8qg,1627783,pascal siakam,Thunder @ Pacers,bet365,hardrock,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,RA,9.5,9.5,9.5,-114.5,-133.5,cmm6n1pj000tpdx10wtjkdm7d,1629614,andrew nembhard,Thunder @ Pacers,draftkings,betmgm,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,RA,6.5,6.5,6.5,-109,-122,cmm6n1prk00tvdx10okanm8eo,1641716,jarace walker,Thunder @ Pacers,prizepicks,fanatics,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,RA,5.5,5.5,5.5,-145,115,cmm6n1px800tzdx103oa28yui,1642277,johnny furphy,Thunder @ Pacers,bet365,fanatics,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-23,RA,4.5,4.5,4.5,101.5,-133.5,cmm6n1pzy00u1dx10yigqfwya,1630643,jay huff,Thunder @ Pacers,fanatics,bet365,scoresandodds,https://www.scoresandodds.com/nba/pacers-vs-thunder
2025-10-24,RA,5.5,5.5,5.5,-104,-122,cmm6n0osf003hdx10zuejbdms,1629020,jarred vanderbilt,Timberwolves @ Lakers,fanduel,fanduel,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,RA,4.5,4.5,4.5,-135,105,cmm6n0ov8003jdx10t89rixua,1629060,rui hachimura,Timberwolves @ Lakers,fanduel,betmgm,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,RA,8.5,8.5,8.5,-110,-125,cmm6n0oxz003ldx10lnxnvkh7,1629028,deandre ayton,Timberwolves @ Lakers,underdog,fanduel,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,RA,3.5,3.5,3.5,-137,-122,cmm6n0p0q003ndx104vk16uir,1631222,jake laravia,Timberwolves @ Lakers,prizepicks,fanduel,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,RA,9.5,9.5,9.5,105,-137,cmm6n0p3i003pdx105aygapj3,1630559,austin reaves,Timberwolves @ Lakers,hardrock,bet365,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,RA,17.5,17.5,17.5,-119.5,-130,cmm6n0psd0047dx10gd2j56s3,1629029,luka doncic,Timberwolves @ Lakers,bet365,draftkings,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,RA,5.5,5.5,5.5,-130.5,-105,cmm6n0q69004hdx10b7ttzb6p,203935,marcus smart,Timberwolves @ Lakers,bet365,prizepicks,scoresandodds,https://www.scoresandodds.com/nba/lakers-vs-timberwolves
2025-10-24,RA,6.5,6.5,6.5,103.5,-144,cmm6n0qej004ndx10r5h5o9zd,1628415,dillon brooks,Suns @ Clippers,prizepicks,bet365,scoresandodds,https://www.scoresandodds.com/nba/clippers-vs-suns
2025-10-24,RA,4.5,4.5,4.5,-120,-9,cmm6n0qhd004pdx10m4hv458r,1642346,ryan dunn,Suns @ Clippers,fanatics,bet365,scoresandodds,https://www.scoresandodds.com/nba/clippers-vs-suns
2025-10-24,RA,6.5,6.5,6.5,-124.5,-124.5,cmm6n0qk6004rdx10awr0q9oy,1642345,oso ighodaro,Suns @ Clippers,draftkings,bet365,scoresandodds,https://www.scoresandodds.com/nba/clippers-vs-suns
2025-10-24,RA,7.5,7.5,7.5,-110.5,-127.5,cmm6n0qmx004tdx106go0pp3n,1628960,grayson allen,Suns @ Clippers,fanduel,betmgm,scoresandodds,https://www.scoresandodds.com/nba/clippers-vs-suns
2025-10-24,RA,8.5,8.5,8.5,-133,-1,cmm6n0qsf004xdx10gv8u82x4,1631221,collin gillespie,Suns @ Clippers,fanduel,draftkings,scoresandodds,https://www.scoresandodds.com/nba/clippers-vs-suns
2025-10-24,RA,7.5,7.5,7.5,-127.5,-109.5,cmm6n0qv6004zdx10u7qg4xb1,1626220,royce o neale,Suns @ Clippers,fanduel,bet365,scoresandodds,https://www.scoresandodds.com/nba/clippers-vs-suns
2025-10-24,RA,7.5,7.5,7.5,102,-140,cmm6n0rby005bdx10o00vbm7o,1630692,jordan goodwin,Suns @ Clippers,draftkings,bet365,scoresandodds,https://www.scoresandodds.com/nba/clippers-vs-suns
2025-10-24,RA,9.5,9.5,9.5,-124.5,-115.5,cmm6n0ry6005rdx104kiynalr,1631109,mark williams,Suns @ Clippers,fanatics,bet365,scoresandodds,https://www.scoresandodds.com/nba/clippers-vs-suns
2025-10-24,RA,6.5,6.5,6.5,-126,-115,cmm6n0s10005tdx108sv2w69j,1630180,saddiq bey,Spurs @ Pelicans,bet365,draftkings,scoresandodds,https://www.scoresandodds.com/nba/pelicans-vs-spurs
