gameDateEt,market,line,overLine,underLine,overPrice,underPrice,playerId,externalPlayerId,playerName,matchup,sportsbookOver,sportsbookUnder,source,sourceUrl
2025-10-23,REB,4.5,3.5,4.5,107,-139,cmm6n10js00bvdx10o70lt5vk,1629661,cameron johnson,Nuggets @ Warriors,underdog,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=rebounds
2025-10-23,REB,5.5,4.5,5.5,-124.5,-125,cmm6n10mk00bxdx102sv5re55,203932,aaron gordon,Nuggets @ Warriors,hardrock,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=rebounds
2025-10-23,REB,12.5,11.5,12.5,-126,-127,cmm6n10pc00bzdx10pvcq9zq9,203999,nikola jokic,Nuggets @ Warriors,hardrock,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=rebounds
2025-10-23,REB,4.5,4.5,4.5,-133.5,-115,cmm6n10s900c1dx10nagh727x,1631128,christian braun,Nuggets @ Warriors,bet365,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=rebounds
2025-10-23,REB,3.5,3.5,3.5,-121,-110,cmm6n10v100c3dx10r8qqlu2w,1627750,jamal murray,Nuggets @ Warriors,hardrock,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=rebounds
2025-10-23,REB,2.5,2.5,2.5,-110,-130,cmm6n10xr00c5dx105s5u7omw,1631212,peyton watson,Nuggets @ Warriors,bet365,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=rebounds
2025-10-23,REB,2.5,2.5,2.5,-128.5,-110,cmm6n113a00c9dx10b0hiifkd,1628971,bruce brown,Nuggets @ Warriors,bet365,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=rebounds
2025-10-23,REB,5.5,5.5,5.5,-105,-135,cmm6n118r00cddx106oi7yjlo,202685,jonas valanciunas,Nuggets @ Warriors,draftkings,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=rebounds
2025-10-23,REB,3.5,3.5,3.5,-136.5,105,cmm6n15bz00f9dx10i8vxzbyb,1630598,aaron wiggins,Thunder @ Pacers,draftkings,riverscasino,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483710&market=rebounds
2025-10-23,REB,4.5,4.5,4.5,-25,-12.5,cmm6n15hl00fddx10nav2raqf,1631119,jaylin williams,Thunder @ Pacers,bet365,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483710&market=rebounds
2025-10-23,REB,4.5,4,4.5,120,-150,cmm6n169c00fxdx10vvx2qr96,1629652,luguentz dort,Thunder @ Pacers,prizepicks,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483710&market=rebounds
