gameDateEt,market,line,overLine,underLine,overPrice,underPrice,playerId,externalPlayerId,playerName,matchup,sportsbookOver,sportsbookUnder,source,sourceUrl
2025-10-23,THREES,2.5,2.5,2.5,-105,-125,cmm6n10js00bvdx10o70lt5vk,1629661,cameron johnson,DEN @ GSW,betmgm,draftkings,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/361983?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-10-23,THREES,1.5,1.5,1.5,132.5,-180.5,cmm6n10mk00bxdx102sv5re55,203932,aaron gordon,DEN @ GSW,draftkings,fanduel,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/361983?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-10-23,THREES,1.5,1.5,1.5,-112,-116,cmm6n10pc00bzdx10pvcq9zq9,203999,nikola jokic,DEN @ GSW,betmgm,draftkings,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/361983?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-10-23,THREES,1.5,1.5,1.5,152.5,-209.5,cmm6n10s900c1dx10nagh727x,1631128,christian braun,DEN @ GSW,fanduel,draftkings,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/361983?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-10-23,THREES,2.5,2.5,2.5,124.5,-166,cmm6n10v100c3dx10r8qqlu2w,1627750,jamal murray,DEN @ GSW,betmgm,draftkings,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/361983?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-10-23,THREES,0.5,0.5,0.5,145,-198.5,cmm6n113a00c9dx10b0hiifkd,1628971,bruce brown,DEN @ GSW,betmgm,caesars,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/361983?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-10-23,THREES,1.5,1.5,1.5,-182.5,135,cmm6n15bz00f9dx10i8vxzbyb,1630598,aaron wiggins,OKC @ IND,betmgm,draftkings,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/361982?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-10-23,THREES,2.5,2.5,2.5,132,-178,cmm6n169c00fxdx10vvx2qr96,1629652,luguentz dort,OKC @ IND,betmgm,draftkings,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/361982?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-10-23,THREES,1.5,1.5,1.5,-142.5,105,cmm6n16c200fzdx108xbwhssb,1628983,shai gilgeous alexander,OKC @ IND,fanduel,draftkings,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/361982?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-10-23,THREES,1.5,1.5,1.5,-111.5,-118.5,cmm6n16ho00g3dx10jft10kjy,1631096,chet holmgren,OKC @ IND,fanduel,betmgm,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/361982?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
