gameDateEt,market,line,overLine,underLine,overPrice,underPrice,playerId,externalPlayerId,playerName,matchup,sportsbookOver,sportsbookUnder,source,sourceUrl
2025-10-23,AST,8.5,8.5,9.5,-137,104,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Warriors,draftkings,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=assists&filter=Nikola%20Jokic
2025-10-23,PTS,27.5,27.5,28.5,-116.5,-121.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Warriors,draftkings,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=points&filter=Nikola%20Jokic
2025-10-23,REB,12.5,11.5,12.5,-126,-127,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Warriors,hardrock,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=rebounds&filter=Nikola%20Jokic
2025-10-23,THREES,1.5,1.5,1.5,-112,-116,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,DEN @ GSW,betmgm,draftkings,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/361983?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-10-25,AST,9.5,8.5,9.5,100,-137,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Suns @ Nuggets,riverscasino,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494030&market=assists&filter=Nikola%20Jokic
2025-10-25,PTS,27.5,27.5,28.5,-122,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Suns @ Nuggets,draftkings,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494030&market=points&filter=Nikola%20Jokic
2025-10-25,REB,11.75,11.5,12.5,-133.5,-134.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Suns @ Nuggets,bet365,riverscasino,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494030&market=rebounds&filter=Nikola%20Jokic
2025-10-25,THREES,1.5,1.5,1.5,-143.5,110,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,PHX @ DEN,draftkings,fanduel,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/362152?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-10-27,AST,9.5,8.5,9.5,-120,-137,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Timberwolves,fanduel,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483730&market=assists&filter=Nikola%20Jokic
2025-10-27,PA,39.5,39.5,39.5,-119,-114,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Timberwolves,betmgm,bet365,scoresandodds-game-page,https://www.scoresandodds.com/nba/nuggets-vs-timberwolves
