gameDateEt,market,line,overLine,underLine,overPrice,underPrice,playerId,externalPlayerId,playerName,matchup,sportsbookOver,sportsbookUnder,source,sourceUrl
2025-10-23,PTS,27.5,27.5,28.5,-116.5,-121.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Warriors,draftkings,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483720&market=points&filter=Nikola%20Jokic
2025-10-25,PTS,27.5,27.5,28.5,-122,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Suns @ Nuggets,draftkings,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494030&market=points&filter=Nikola%20Jokic
2025-10-27,PTS,26.5,25.5,29.5,-117,-122,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Timberwolves,bet365,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483730&market=points&filter=Nikola%20Jokic
2025-10-29,PTS,26.5,26.5,29.5,-108,-125,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Pelicans @ Nuggets,betmgm,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494370&market=points&filter=Nikola%20Jokic
2025-10-31,PTS,26.5,26.5,26.5,-114,-120,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Trail Blazers,hardrock,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483850&market=points&filter=Nikola%20Jokic
2025-11-03,PTS,24.5,24.5,30.5,-121,-116.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Kings @ Nuggets,fanduel,fanatics,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494740&market=points&filter=Nikola%20Jokic
2025-11-05,PTS,24.5,24.5,24.5,-120,-111,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Heat @ Nuggets,draftkings,riverscasino,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494810&market=points&filter=Nikola%20Jokic
2025-11-07,PTS,25.75,25.5,26.5,-123.5,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Warriors @ Nuggets,bet365,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8483990&market=points&filter=Nikola%20Jokic
2025-11-08,PTS,29.5,26.5,30.5,-115,-122,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Pacers @ Nuggets,fanatics,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8494960&market=points&filter=Nikola%20Jokic
2025-11-11,PTS,26.5,26.5,27.5,-118.5,-114,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Kings,fanduel,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8495140&market=points&filter=Nikola%20Jokic
2025-11-12,PTS,24.5,24.5,26.5,-115,-120,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Clippers,fanatics,underdog,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8495240&market=points&filter=Nikola%20Jokic
2025-11-15,PTS,27.5,27.5,27.5,-120,-116.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Timberwolves,fanduel,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8495280&market=points&filter=Nikola%20Jokic
2025-11-17,PTS,27.5,25.5,27.5,-120,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Bulls @ Nuggets,fanatics,riverscasino,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8495580&market=points&filter=Nikola%20Jokic
2025-11-19,PTS,28.5,27.5,29.5,-119,-122.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Pelicans,fanatics,hardrock,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8495500&market=points&filter=Nikola%20Jokic
2025-11-21,PTS,28.5,24.5,28.5,-112.5,-124,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Rockets,fanatics,draftkings,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8484160&market=points&filter=Nikola%20Jokic
2025-11-22,PTS,29.5,28.5,30.5,-122,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Kings @ Nuggets,fanatics,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8495730&market=points&filter=Nikola%20Jokic
2025-11-24,PTS,30.5,30.5,31.5,-125,-115,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Nuggets @ Grizzlies,riverscasino,bet365,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8495840&market=points&filter=Nikola%20Jokic
2025-11-28,PTS,30.5,30.5,31.5,-113,-120,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,Spurs @ Nuggets,hardrock,riverscasino,scoresandodds,https://rga51lus77.execute-api.us-east-1.amazonaws.com/prod/market-comparison?event=nba/8485290&market=points&filter=Nikola%20Jokic
