gameDateEt,market,line,overLine,underLine,overPrice,underPrice,playerId,externalPlayerId,playerName,matchup,sportsbookOver,sportsbookUnder,source,sourceUrl
2025-10-23,THREES,1.5,1.5,1.5,-112,-116,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,DEN @ GSW,betmgm,draftkings,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/361983?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-10-25,THREES,1.5,1.5,1.5,-143.5,110,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,PHX @ DEN,draftkings,fanduel,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/362152?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-10-27,THREES,1.5,1.5,1.5,-137.5,106.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,DEN @ MIN,fanduel,betmgm,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/361985?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-10-29,THREES,1.5,1.5,1.5,-116.5,-112.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,NOP @ DEN,draftkings,betmgm,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/362183?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-10-31,THREES,1.5,1.5,1.5,-131,-1,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,DEN @ POR,betmgm,fanduel,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/362044?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-11-03,THREES,1.5,1.5,1.5,109,-144.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,SAC @ DEN,fanduel,betmgm,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/362210?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-11-05,THREES,1.5,1.5,1.5,-121.5,-109,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,MIA @ DEN,betmgm,fanduel,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/362226?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-11-07,THREES,1.5,1.5,1.5,-141,105.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,GSW @ DEN,betmgm,fanduel,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/362056?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-11-08,THREES,1.5,1.5,1.5,-125.5,-7.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,IND @ DEN,fanduel,draftkings,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/362237?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-11-11,THREES,1.5,1.5,1.5,-119,-111.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,DEN @ SAC,draftkings,fanduel,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/362260?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-11-12,THREES,1.5,1.5,1.5,105,-139.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,DEN @ LAC,fanduel,draftkings,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/362272?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-11-15,THREES,1.5,1.5,1.5,-114,-116,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,DEN @ MIN,betmgm,fanduel,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/362279?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-11-17,THREES,1.5,1.5,1.5,-135.5,102,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,CHI @ DEN,caesars,fanduel,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/362296?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-11-19,THREES,1.5,1.5,1.5,-152,115.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,DEN @ NOP,draftkings,betmgm,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/362307?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-11-21,THREES,1.5,1.5,1.5,-150.5,113,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,DEN @ HOU,fanduel,betmgm,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/362072?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
2025-11-22,THREES,1.5,1.5,1.5,-175.5,133.5,cmm6n10pc00bzdx10pvcq9zq9,203999,Nikola Jokic,SAC @ DEN,betmgm,fanduel,covers-player-props,https://www.covers.com/sport/player-props/matchup/nba/362322?propEvent=NBA_GAME_PLAYER_3_POINTERS_MADE&countryCode=US&stateProv=NY&isLeagueVersion=false&isTeamVersion=true
