gameDateEt,playerName,team,opponent,minutes,points,rebounds,assists,threes
2025-10-02,Adem Bona,PHI,NYK,19,8.3,4.1,2.1,0
2025-10-02,Alex Len,NYK,PHI,12,10.4,4.1,0,0
2025-10-02,Andre Drummond,PHI,NYK,10,4.1,6.2,0,0
2025-10-02,Ariel Hukporti,NYK,PHI,12,12.4,12.4,0,0
2025-10-02,Dominick Barlow,PHI,NYK,42,12.4,14.4,4.1,0
2025-10-02,Eric Gordon,PHI,NYK,19,4.1,0,2.1,0
2025-10-02,Garrison Mathews,NYK,PHI,13,13,2.1,4.1,6.2
2025-10-02,Guerschon Yabusele,NYK,PHI,17,0,8.3,2.1,0
2025-10-02,Hunter Sallis,PHI,NYK,32,11.5,6.2,2.1,0
2025-10-02,Jabari Walker,PHI,NYK,29,13,10.4,0,0
2025-10-02,Jalen Brunson,NYK,PHI,24,12.4,0,8.3,0
2025-10-02,Johni Broome,PHI,NYK,20,10.4,8.3,0,0
2025-10-02,Jordan Clarkson,NYK,PHI,22,13,2.1,0,0
2025-10-02,Josh Hart,NYK,PHI,10,4.1,6.2,2.1,0
2025-10-02,Justin Edwards,PHI,NYK,23,0,8.3,0,0
2025-10-02,Karl-Anthony Towns,NYK,PHI,24,15.8,10.4,2.1,0
2025-10-02,Kelly Oubre Jr.,PHI,NYK,32,11.5,8.3,6.2,2.1
2025-10-02,Kennedy Chandler,PHI,NYK,29,14.4,2.1,4.1,2.1
2025-10-02,Kevin McCullar Jr.,NYK,PHI,17,4.1,10.4,2.1,0
2025-10-02,Landry Shamet,NYK,PHI,23,4.1,0,4.1,0
2025-10-02,Malcolm Brogdon,NYK,PHI,17,6.2,2.1,4.1,2.1
2025-10-02,Malcolm Hill,PHI,NYK,8,4.1,0,0,0
2025-10-02,Matt Ryan,NYK,PHI,12,2.1,2.1,2.1,0
2025-10-02,Mikal Bridges,NYK,PHI,24,14.4,2.1,0,4.1
2025-10-02,Miles McBride,NYK,PHI,30,17.3,10.4,4.1,4.1
2025-10-02,Mitchell Robinson,NYK,PHI,26,10.1,23,2.1,0
2025-10-02,Mohamed Diawara,NYK,PHI,14,0,6.2,0,0
2025-10-02,Pacome Dadiet,NYK,PHI,22,8.3,4.1,0,0
2025-10-02,Trey Jemison,NYK,PHI,10,8.3,4.1,0,0
2025-10-02,Tyler Kolek,NYK,PHI,16,12.4,0,2.1,0
2025-10-02,Tyrese Maxey,PHI,NYK,33,20.1,8.3,8.3,0
2025-10-02,VJ Edgecombe,PHI,NYK,43,20.1,12.4,6.2,2.1
2025-10-03,Anton Watson,LAL,PHX,12,0,1.8,3.5,0
2025-10-03,Austin Reaves,LAL,PHX,26,26.5,5.3,3.5,1.8
2025-10-03,Bronny James Jr.,LAL,PHX,30,10.6,8.8,3.5,1.8
2025-10-03,Christian Koloko,LAL,PHX,12,0,8.8,0,0
2025-10-03,Collin Gillespie,PHX,LAL,24,10.6,5.3,7,1.8
2025-10-03,Dalton Knecht,LAL,PHX,33,10.5,10.5,0,1.8
2025-10-03,David Duke Jr.,PHX,LAL,12,0,5.3,3.5,0
2025-10-03,Deandre Ayton,LAL,PHX,23,1.8,10.6,1.8,0
2025-10-03,Devin Booker,PHX,LAL,33,31.8,3.5,12.3,3.5
2025-10-03,Dillon Brooks,PHX,LAL,33,13.2,3.5,5.3,5.3
2025-10-03,Grayson Allen,PHX,LAL,29,17.2,3.5,3.5,5.3
2025-10-03,Jake LaRavia,LAL,PHX,25,12.3,8.8,1.8,1.8
2025-10-03,Jared Butler,PHX,LAL,20,15.9,3.5,1.8,0
2025-10-03,Jarred Vanderbilt,LAL,PHX,26,1.8,3.5,0,0
2025-10-03,Jaxson Hayes,LAL,PHX,21,12.3,8.8,1.8,0
2025-10-03,Jordan Goodwin,PHX,LAL,12,0,1.8,1.8,0
2025-10-03,Khaman Maluach,PHX,LAL,12,7,10.5,0,0
2025-10-03,Nate Williams,LAL,PHX,23,0,3.5,0,0
2025-10-03,Nick Richards,PHX,LAL,15,11.9,5.3,1.8,0
2025-10-03,Nick Smith Jr.,LAL,PHX,24,10.5,1.8,1.8,0
2025-10-03,Nigel Hayes-Davis,PHX,LAL,24,5.3,10.5,1.8,1.8
2025-10-03,Oso Ighodaro,PHX,LAL,34,8.8,11.9,3.5,0
2025-10-03,Rasheer Fleming,PHX,LAL,16,3.5,0,0,0
2025-10-03,RJ Davis,LAL,PHX,24,18.5,0,0,1.8
2025-10-03,Royce O'Neale,PHX,LAL,17,11.9,5.3,3.5,5.3
2025-10-03,Rui Hachimura,LAL,PHX,30,14.6,5.3,0,1.8
2025-10-03,Ryan Dunn,PHX,LAL,28,7,10.6,5.3,0
2025-10-04,Aaron Gordon,DEN,MIN,23,21.5,7.1,2.4,2.4
2025-10-04,Adem Bona,PHI,NYK,25,4.7,2.4,0,0
2025-10-04,Alex Morales,ORL,MIA,28,13.8,14.1,7.1,2.4
2025-10-04,Alize Johnson,MIN,DEN,11,0,2.4,0,0
2025-10-04,Andre Drummond,PHI,NYK,25,10.7,16.9,2.4,2.4
2025-10-04,Andrew Wiggins,MIA,ORL,18,16.9,0,4.7,4.7
2025-10-04,Anthony Black,ORL,MIA,32,11.8,7.1,7.1,2.4
2025-10-04,Ariel Hukporti,NYK,PHI,14,11.8,7.1,2.4,0
2025-10-04,Bam Adebayo,MIA,ORL,18,10.7,11.8,2.4,0
2025-10-04,Bones Hyland,MIN,DEN,34,27.6,7.1,7.1,7.1
2025-10-04,Bruce Brown,DEN,MIN,23,4.7,2.4,4.7,0
2025-10-04,Cameron Johnson,DEN,MIN,21,4.7,0,2.4,0
2025-10-04,Christian Braun,DEN,MIN,23,10.7,7.1,0,2.4
2025-10-04,Colin Castleton,ORL,MIA,12,11.8,9.4,0,0
2025-10-04,Curtis Jones,DEN,MIN,18,0,2.4,9.4,0
2025-10-04,Dain Dainja,MIA,ORL,11,9.4,2.4,0,0
2025-10-04,DaRon Holmes II,DEN,MIN,12,11.8,2.4,4.7,2.4
2025-10-04,Desmond Bane,ORL,MIA,20,13.8,14.1,7.1,2.4
2025-10-04,Dominick Barlow,PHI,NYK,45,14.1,4.7,0,2.4
2025-10-04,Donte DiVincenzo,MIN,DEN,18,12.3,2.4,14.1,4.7
2025-10-04,Dru Smith,MIA,ORL,15,10.7,2.4,0,2.4
2025-10-04,Enrique Freeman,MIN,DEN,12,13.8,4.7,0,4.7
2025-10-04,Ethan Thompson,MIA,ORL,40,11.8,7.1,14.1,2.4
2025-10-04,Garrison Mathews,NYK,PHI,20,14.1,0,2.4,2.4
2025-10-04,Goga Bitadze,ORL,MIA,25,14.1,12.3,0,2.4
2025-10-04,Guerschon Yabusele,NYK,PHI,23,7.1,4.7,4.7,2.4
2025-10-04,Hunter Tyson,DEN,MIN,23,13.8,7.1,0,7.1
2025-10-04,Jabari Walker,PHI,NYK,29,15.4,4.7,4.7,0
2025-10-04,Jaden McDaniels,MIN,DEN,18,13.8,4.7,2.4,2.4
2025-10-04,Jahmir Young,MIA,ORL,26,10.7,2.4,9.4,2.4
2025-10-04,Jaime Jaquez Jr.,MIA,ORL,31,14.1,9.4,7.1,2.4
2025-10-04,Jalen Brunson,NYK,PHI,25,21.5,2.4,4.7,2.4
2025-10-04,Jalen Pickett,DEN,MIN,21,20,7.1,9.4,7.1
2025-10-04,Jamal Cain,ORL,MIA,25,15.4,4.7,2.4,0
2025-10-04,Jamal Murray,DEN,MIN,25,18.4,2.4,11.8,2.4
2025-10-04,Jase Richardson,ORL,MIA,37,20,9.4,4.7,7.1
2025-10-04,Jaylen Clark,MIN,DEN,31,4.7,4.7,0,0
2025-10-04,Jett Howard,ORL,MIA,28,15.4,4.7,4.7,4.7
2025-10-04,Joan Beringer,MIN,DEN,34,21.5,9.4,0,0
2025-10-04,Joe Ingles,MIN,DEN,25,7.1,0,9.4,2.4
2025-10-04,Johni Broome,PHI,NYK,23,14.1,9.4,0,0
2025-10-04,Johnny Juzang,MIN,DEN,29,24.6,14.1,0,7.1
2025-10-04,Jonas Valanciunas,DEN,MIN,20,14.1,2.4,4.7,0
2025-10-04,Jonathan Isaac,ORL,MIA,21,9.4,9.4,0,0
