playerName,team,games,points,rebounds,assists,threes,pointsPerGame,reboundsPerGame,assistsPerGame,threesPerGame
Donovan Mitchell,CLE,60,1572.3,263.99999999999994,347.3,225.99999999999997,26.21,4.4,5.79,3.77
Tyrese Maxey,PHI,61,1549.7,246.80000000000004,358.49999999999994,215.00000000000006,25.4,4.05,5.88,3.52
Luka Doncic,LAL,48,1515.6000000000004,350.8999999999999,384.40000000000003,212.30000000000007,31.58,7.31,8.01,4.42
Shai Gilgeous-Alexander,OKC,52,1515.4999999999995,230.89999999999998,310.2999999999999,96.7,29.14,4.44,5.97,1.86
Jaylen Brown,BOS,57,1485.0000000000002,375.59999999999997,266.1,125.30000000000003,26.05,6.59,4.67,2.2
Anthony Edwards,MIN,53,1458.8,288.9000000000001,219.60000000000008,194.1,27.52,5.45,4.14,3.66
Jalen Brunson,NYK,59,1391.8999999999999,207.50000000000003,350.5999999999999,161.6,23.59,3.52,5.94,2.74
Kevin Durant,HOU,58,1331.6999999999998,285.6000000000001,235.60000000000008,142.7,22.96,4.92,4.06,2.46
Cade Cunningham,DET,55,1281.3,310,491.29999999999995,144.39999999999998,23.3,5.64,8.93,2.63
Jamal Murray,DEN,58,1277.1000000000001,253.50000000000006,393.3999999999999,170.10000000000002,22.02,4.37,6.78,2.93
Pascal Siakam,IND,56,1272.2,375.3999999999999,241.70000000000002,114.90000000000002,22.72,6.7,4.32,2.05
Nikola Jokic,DEN,46,1245.0000000000002,505.09999999999997,402.6000000000001,100.60000000000001,27.07,10.98,8.75,2.19
Desmond Bane,ORL,61,1218.5000000000002,306.09999999999997,273.6000000000001,160.4,19.98,5.02,4.49,2.63
Julius Randle,MIN,62,1216.3,390.8,343.8,108.49999999999999,19.62,6.3,5.55,1.75
Michael Porter Jr.,BKN,49,1192.4000000000005,361.1,185.39999999999998,203.19999999999996,24.33,7.37,3.78,4.15
Trey Murphy III,NOP,53,1182.8999999999999,335.7,221.7,215.20000000000005,22.32,6.33,4.18,4.06
Brandon Ingram,TOR,62,1153.1999999999998,318.2000000000001,257.00000000000006,106.29999999999997,18.6,5.13,4.15,1.71
Kawhi Leonard,LAC,47,1150.3999999999999,259.8999999999999,167,136.70000000000002,24.48,5.53,3.55,2.91
James Harden,LAC,53,1149.8,261,389.3,172.7,21.69,4.92,7.35,3.26
Norman Powell,MIA,55,1127,190.89999999999998,170.89999999999998,165.3,20.49,3.47,3.11,3.01
Paolo Banchero,ORL,51,1096.4999999999998,439.2,275.1000000000001,84.39999999999998,21.5,8.61,5.39,1.65
CJ McCollum,WAS,58,1093.4999999999998,251.70000000000002,240.5,199.90000000000003,18.85,4.34,4.15,3.45
Stephen Curry,GSW,43,1088.4000000000003,165.00000000000003,198.4,197.60000000000005,25.31,3.84,4.61,4.6
Jalen Johnson,ATL,57,1087.8000000000002,484.4,368.9999999999999,85.5,19.08,8.5,6.47,1.5
