gameDateEt,market,playerName,line,overPrice,underPrice,projectedValue,actualValue,predictedSide,playerPredictedSide,universalPredictedSide,chosenSource,actualSide,correct,expectedMinutes,actualMinutes,minutesVolatility,starterRateLast10,lineGap,priceLean,favoredSide
2025-10-24,PTS,Cade Cunningham,25.5,-115,-120,21.89,21,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.17,39.295,6.95,0,-3.61,-0.0106,UNDER
2025-10-26,PTS,Cade Cunningham,27.5,-115,-116.5,22.7,25,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.5,37.732,7.28,0,-4.8,-0.0032,UNDER
2025-10-27,PTS,Cade Cunningham,26.5,-117,-115,23.88,12,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.47,28.787,7.26,0,-2.62,0.0043,OVER
2025-10-29,PTS,Cade Cunningham,25.5,-120,-115,24.56,30,OVER,OVER,OVER,PLAYER,OVER,true,30.55,35.75,7.23,0,-0.94,0.0106,OVER
2025-11-01,PTS,Cade Cunningham,25.5,-119.5,-111.5,24.93,21,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.83,37.32,7.37,0,-0.57,0.0172,OVER
2025-11-03,PTS,Cade Cunningham,27,-118,-116.5,24.63,33,OVER,OVER,OVER,PLAYER,OVER,true,31.06,38.867,7.54,0,-2.37,0.0032,OVER
2025-11-05,PTS,Cade Cunningham,27.5,-120,-123,26.22,31,OVER,OVER,OVER,PLAYER,OVER,true,31.34,36.93,7.77,,-1.28,-0.0061,UNDER
2025-11-07,PTS,Cade Cunningham,25.5,-115,-122,26.15,34,OVER,OVER,OVER,PLAYER,OVER,true,33.14,32.733,6.7,,0.65,-0.0147,UNDER
2025-11-09,PTS,Cade Cunningham,27.5,-117.5,-115,27.36,26,OVER,OVER,OVER,PLAYER,UNDER,false,34.57,40.618,4.63,,-0.14,0.0053,OVER
2025-11-10,PTS,Cade Cunningham,28.5,-117.5,-115,27.43,46,OVER,OVER,UNDER,PLAYER,OVER,true,36.23,44.575,3.34,,-1.07,0.0053,OVER
2025-11-18,PTS,Cade Cunningham,24.5,-115,-122,28.04,25,OVER,OVER,UNDER,PLAYER,OVER,true,37.26,33.822,4.08,,3.54,-0.0147,UNDER
