gameDateEt,market,playerName,line,overPrice,underPrice,projectedValue,actualValue,predictedSide,playerPredictedSide,universalPredictedSide,chosenSource,actualSide,correct,expectedMinutes,actualMinutes,minutesVolatility,starterRateLast10,lineGap,priceLean,favoredSide
2025-10-24,PTS,Donovan Mitchell,27.5,-125,-109,23.8,35,OVER,OVER,OVER,PLAYER,OVER,true,31.24,34.867,5.75,0,-3.7,0.034,OVER
2025-10-26,PTS,Donovan Mitchell,27.5,-124,-115,24.16,24,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.23,33.4,5.74,0,-3.34,0.0187,OVER
2025-10-27,PTS,Donovan Mitchell,26.5,-124,-112,25.28,35,UNDER,UNDER,OVER,PLAYER,OVER,false,30.97,29.483,5.57,0,-1.22,0.0253,OVER
2025-10-29,PTS,Donovan Mitchell,28,-117.5,-115,25.21,15,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.21,31.933,5.2,0,-2.79,0.0053,OVER
2025-11-02,PTS,Donovan Mitchell,25.5,-115,-115,24.53,37,OVER,OVER,OVER,PLAYER,OVER,true,30.41,35.947,5.23,0,-0.97,0,NEUTRAL
2025-11-05,PTS,Donovan Mitchell,26.5,-118,-117.5,25.51,46,OVER,OVER,OVER,PLAYER,OVER,true,30.6,35.058,5.39,0,-0.99,0.0011,OVER
2025-11-07,PTS,Donovan Mitchell,26.5,-120,-113,27.06,24,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.81,25.617,5.51,,0.56,0.0149,OVER
2025-11-08,PTS,Donovan Mitchell,27.5,-122,-115,27.27,29,OVER,OVER,OVER,PLAYER,OVER,true,31.6,35.35,3.9,,-0.23,0.0147,OVER
2025-11-10,PTS,Donovan Mitchell,26.5,-110,-120,26.43,28,OVER,OVER,OVER,PLAYER,OVER,true,32.61,40.92,3.42,,-0.07,-0.0216,UNDER
2025-11-13,PTS,Donovan Mitchell,26.5,-119.5,-126,26.57,31,OVER,OVER,OVER,PLAYER,OVER,true,33.85,35.683,3.92,,0.07,-0.0131,UNDER
2025-11-15,PTS,Donovan Mitchell,28.5,-135,-110,28.52,30,OVER,OVER,OVER,PLAYER,OVER,true,33.83,32.932,3.91,,0.02,0.0507,OVER
2025-11-17,PTS,Donovan Mitchell,28.5,-121.5,-117,28.19,37,OVER,OVER,OVER,PLAYER,OVER,true,33.63,35.75,3.91,,-0.31,0.0094,OVER
