gameDateEt,market,playerName,line,overPrice,underPrice,projectedValue,actualValue,predictedSide,playerPredictedSide,universalPredictedSide,chosenSource,actualSide,correct,expectedMinutes,actualMinutes,minutesVolatility,starterRateLast10,lineGap,priceLean,favoredSide
2025-10-24,PTS,Giannis Antetokounmpo,30.5,-117.5,-121,26.68,31,OVER,OVER,OVER,PLAYER,OVER,true,32.31,37.6,6.97,0,-3.82,-0.0073,UNDER
2025-10-26,PTS,Giannis Antetokounmpo,31.5,-120,-115,28.7,40,OVER,OVER,OVER,PLAYER,OVER,true,33.07,33.305,7.09,0,-2.8,0.0106,OVER
2025-10-28,PTS,Giannis Antetokounmpo,30.5,-115,-119.5,28.61,37,OVER,OVER,OVER,PLAYER,OVER,true,32.8,33.167,7.03,0,-1.89,-0.0095,UNDER
2025-11-01,PTS,Giannis Antetokounmpo,31.5,-110.5,-126.5,29.38,26,UNDER,UNDER,OVER,PLAYER,UNDER,true,32.22,32.183,6.73,0,-2.12,-0.0336,UNDER
2025-11-03,PTS,Giannis Antetokounmpo,31.5,-115,-115,29.2,33,OVER,OVER,OVER,PLAYER,OVER,true,31.13,31.733,5.7,0,-2.3,0,NEUTRAL
2025-11-04,PTS,Giannis Antetokounmpo,28.5,-119,-122.5,30.06,22,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.51,23.717,5.23,0,1.56,-0.0072,UNDER
2025-11-07,PTS,Giannis Antetokounmpo,32.5,-122,-117.5,29.4,41,OVER,OVER,OVER,PLAYER,OVER,true,30.28,37.283,5.47,0,-3.1,0.0093,OVER
2025-11-09,PTS,Giannis Antetokounmpo,29.5,-120,-123,29.86,37,OVER,OVER,OVER,PLAYER,OVER,true,30.21,35.633,5.37,,0.36,-0.0061,UNDER
2025-11-10,PTS,Giannis Antetokounmpo,30.5,-117,-115,30.67,30,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.62,37.383,4.7,,0.17,0.0043,OVER
2025-11-14,PTS,Giannis Antetokounmpo,32.5,-125,-120,32.23,25,UNDER,UNDER,OVER,PLAYER,UNDER,true,32.88,40.385,4.39,,-0.27,0.0101,OVER
2025-11-15,PTS,Giannis Antetokounmpo,30.5,-125,-112,31.3,32,OVER,OVER,OVER,PLAYER,OVER,true,34.24,31.583,4.4,,0.8,0.0273,OVER
2025-11-28,PTS,Giannis Antetokounmpo,28.5,-114,-127.5,28.13,30,OVER,OVER,OVER,PLAYER,OVER,true,31.61,28.083,7.55,,-0.37,-0.0277,UNDER
2025-11-29,PTS,Giannis Antetokounmpo,27.5,-117,-115,28.59,29,OVER,OVER,OVER,PLAYER,OVER,true,31.1,18.983,7.6,,1.09,0.0043,OVER
2025-12-01,PTS,Giannis Antetokounmpo,31,-115,-117.5,27.62,26,OVER,OVER,OVER,PLAYER,UNDER,false,29.78,31.593,8.4,,-3.38,-0.0053,UNDER
2025-12-27,PTS,Giannis Antetokounmpo,24.5,-114,-118,25.67,29,OVER,OVER,OVER,PLAYER,OVER,true,27.69,24.697,11.58,,1.17,-0.0086,UNDER
2025-12-29,PTS,Giannis Antetokounmpo,26.5,-122.5,-125,25.16,24,UNDER,UNDER,OVER,PLAYER,UNDER,true,26.43,25.283,11.15,,-1.34,-0.005,UNDER
2025-12-31,PTS,Giannis Antetokounmpo,27.5,-112.5,-127,24.81,33,OVER,OVER,OVER,PLAYER,OVER,true,25.4,28.417,10.72,,-2.69,-0.0301,UNDER
2026-01-02,PTS,Giannis Antetokounmpo,28.5,-120,-117.5,26.16,30,OVER,OVER,OVER,PLAYER,OVER,true,24.5,29.833,10.03,,-2.34,0.0052,OVER
2026-01-04,PTS,Giannis Antetokounmpo,29.5,-115,-125,26.53,37,OVER,OVER,OVER,PLAYER,OVER,true,23.45,31.617,8.78,,-2.97,-0.0207,UNDER
2026-01-07,PTS,Giannis Antetokounmpo,29.5,-132,-121,29.49,34,OVER,OVER,OVER,PLAYER,OVER,true,23.45,30.933,8.79,,-0.01,0.0215,OVER
2026-01-09,PTS,Giannis Antetokounmpo,30.5,-125,-120,29.59,21,UNDER,UNDER,OVER,PLAYER,UNDER,true,25.24,30.802,8.29,,-0.91,0.0101,OVER
2026-01-11,PTS,Giannis Antetokounmpo,29.5,-115,-125,28.58,31,OVER,OVER,OVER,PLAYER,OVER,true,25.52,33,8.42,,-0.92,-0.0207,UNDER
2026-01-13,PTS,Giannis Antetokounmpo,31.5,-118,-116,29.33,25,OVER,OVER,OVER,PLAYER,UNDER,false,26.92,30.983,8.38,,-2.17,0.0042,OVER
2026-01-15,PTS,Giannis Antetokounmpo,28.5,-120,-125,28.59,21,UNDER,UNDER,OVER,PLAYER,UNDER,true,26.86,22,8.35,,0.09,-0.0101,UNDER
2026-01-19,PTS,Giannis Antetokounmpo,30.5,-115,-120,28.5,21,UNDER,UNDER,OVER,PLAYER,UNDER,true,28.76,29.617,3.4,,-2,-0.0106,UNDER
2026-01-21,PTS,Giannis Antetokounmpo,27.5,-119,-125,27.36,19,UNDER,UNDER,OVER,PLAYER,UNDER,true,29.25,31.483,3.12,,-0.14,-0.0122,UNDER
2026-01-23,PTS,Giannis Antetokounmpo,30.5,-124,-110,27.79,22,UNDER,UNDER,UNDER,PLAYER,UNDER,true,29.87,32.163,2.88,,-2.71,0.0298,OVER
2026-03-02,PTS,Giannis Antetokounmpo,20.5,-125,-120,26.97,19,UNDER,UNDER,UNDER,PLAYER,UNDER,true,30.24,25.483,2.91,,6.47,0.0101,OVER
2026-03-04,PTS,Giannis Antetokounmpo,25.5,-119.5,-127.5,26.12,24,UNDER,UNDER,UNDER,PLAYER,UNDER,true,29.81,26.217,3.24,1,0.62,-0.016,UNDER
2026-03-07,PTS,Giannis Antetokounmpo,25.5,-121,-120,26.81,27,OVER,OVER,UNDER,PLAYER,OVER,true,29.27,27.033,3.34,1,1.31,0.0021,OVER
2025-10-24,REB,Giannis Antetokounmpo,11.5,-127.5,-116.5,10.89,20,UNDER,UNDER,OVER,PLAYER,OVER,false,32.31,37.6,6.97,0,-0.61,0.0223,OVER
2025-10-26,REB,Giannis Antetokounmpo,12.5,-110,-125,11.8,14,OVER,OVER,OVER,PLAYER,OVER,true,33.07,33.305,7.09,0,-0.7,-0.0317,UNDER
2025-10-28,REB,Giannis Antetokounmpo,11.5,-120,-119,11.91,8,UNDER,UNDER,UNDER,PLAYER,UNDER,true,32.8,33.167,7.03,0,0.41,0.0021,OVER
2025-11-01,REB,Giannis Antetokounmpo,11.5,-115,-128.5,11.58,11,UNDER,UNDER,OVER,PLAYER,UNDER,true,32.22,32.183,6.73,0,0.08,-0.0275,UNDER
2025-11-03,REB,Giannis Antetokounmpo,12,-130,-130,11.79,13,OVER,OVER,UNDER,PLAYER,OVER,true,31.13,31.733,5.7,0,-0.21,0,NEUTRAL
2025-11-04,REB,Giannis Antetokounmpo,11.5,-133.5,-104.5,12.09,8,UNDER,UNDER,UNDER,PLAYER,UNDER,true,30.51,23.717,5.23,0,0.59,0.0607,OVER
