gameDateEt,market,playerName,line,overPrice,underPrice,projectedValue,actualValue,predictedSide,playerPredictedSide,universalPredictedSide,chosenSource,actualSide,correct,expectedMinutes,actualMinutes,minutesVolatility,starterRateLast10,lineGap,priceLean,favoredSide
2025-10-24,PTS,Jaylen Brown,24,-122.5,-114,18.87,23,UNDER,UNDER,OVER,PLAYER,UNDER,true,24.45,35.462,7.42,0,-5.13,0.0179,OVER
2025-10-26,PTS,Jaylen Brown,23.5,-115,-124,17.74,41,OVER,OVER,OVER,PLAYER,OVER,true,25.19,35.483,8.09,0,-5.76,-0.0187,UNDER
2025-10-27,PTS,Jaylen Brown,23.5,-115,-124,21.63,15,OVER,OVER,OVER,PLAYER,UNDER,false,25.74,24.317,8.57,0,-1.87,-0.0187,UNDER
2025-10-29,PTS,Jaylen Brown,23.5,-115,-115,21.21,30,OVER,OVER,OVER,PLAYER,OVER,true,25.27,31.833,8.5,0,-2.29,0,NEUTRAL
2025-10-31,PTS,Jaylen Brown,23.5,-112,-133.5,22.57,32,OVER,OVER,OVER,PLAYER,OVER,true,25.66,31.733,8.7,0,-0.93,-0.0434,UNDER
2025-11-01,PTS,Jaylen Brown,23.5,-120,-120,22.97,12,OVER,OVER,OVER,PLAYER,UNDER,false,26.63,21.717,8.78,0,-0.53,0,NEUTRAL
2025-11-03,PTS,Jaylen Brown,24.5,-110,-125,22.58,36,OVER,OVER,OVER,PLAYER,OVER,true,26.6,37.6,8.8,,-1.92,-0.0317,UNDER
2025-11-05,PTS,Jaylen Brown,24.5,-120,-115,24.21,35,OVER,OVER,OVER,PLAYER,OVER,true,28.32,25.883,9.09,,-0.29,0.0106,OVER
2025-11-07,PTS,Jaylen Brown,25.5,-120,-118,24.07,32,OVER,OVER,OVER,PLAYER,OVER,true,28.74,36.49,8.87,,-1.43,0.0042,OVER
2025-11-09,PTS,Jaylen Brown,25.5,-120,-116,25.5,27,OVER,OVER,OVER,PLAYER,OVER,true,31.68,33.6,5.43,,0,0.0084,OVER
2025-11-11,PTS,Jaylen Brown,27,-118,-130,24.91,24,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.41,35.167,5.26,,-2.09,-0.0239,UNDER
2025-11-12,PTS,Jaylen Brown,26.5,-120,-115,25.72,19,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.38,25.3,5.24,,-0.78,0.0106,OVER
2025-11-16,PTS,Jaylen Brown,26.5,-120,-119,24.03,33,OVER,OVER,OVER,PLAYER,OVER,true,30.36,38.617,5.33,,-2.47,0.0021,OVER
2025-11-18,PTS,Jaylen Brown,26.5,-125,-115,25.41,29,OVER,OVER,OVER,PLAYER,OVER,true,31.79,31.992,5.44,,-1.09,0.0207,OVER
2025-11-21,PTS,Jaylen Brown,26.5,-120,-115,25.71,26,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.81,31.65,5.44,,-0.79,0.0106,OVER
2025-11-23,PTS,Jaylen Brown,26.5,-118,-122,25.05,35,OVER,OVER,OVER,PLAYER,OVER,true,31.8,37.433,5.44,,-1.45,-0.0083,UNDER
2025-11-26,PTS,Jaylen Brown,27.5,-115,-125,25.35,33,OVER,OVER,OVER,PLAYER,OVER,true,33.37,34.217,4.48,,-2.15,-0.0207,UNDER
2025-11-29,PTS,Jaylen Brown,26.5,-120.5,-115,26.84,41,OVER,OVER,OVER,PLAYER,OVER,true,33.03,39.35,4.27,,0.34,0.0116,OVER
2025-11-30,PTS,Jaylen Brown,29.5,-115,-115,27.84,19,UNDER,UNDER,OVER,PLAYER,UNDER,true,34.38,37.667,3.92,,-1.66,0,NEUTRAL
2025-12-02,PTS,Jaylen Brown,27.5,-121,-116.5,27.39,42,OVER,OVER,OVER,PLAYER,OVER,true,34.5,39.927,3.99,,-0.11,0.0094,OVER
