gameDateEt,market,playerName,line,overPrice,underPrice,projectedValue,actualValue,predictedSide,playerPredictedSide,universalPredictedSide,chosenSource,actualSide,correct,expectedMinutes,actualMinutes,minutesVolatility,starterRateLast10,lineGap,priceLean,favoredSide
2026-03-06,PTS,Jayson Tatum,14.5,-120,-117,26.26,15,OVER,OVER,UNDER,PLAYER,OVER,true,35.3,27.167,5.35,0,11.76,0.0063,OVER
2026-03-08,PTS,Jayson Tatum,18.5,-126.5,-125,26.02,20,OVER,OVER,OVER,PLAYER,OVER,true,34.42,27.04,5.86,0.1,7.52,0.0029,OVER
2026-03-06,REB,Jayson Tatum,4.5,-105,-137,8.43,12,OVER,OVER,OVER,PLAYER,OVER,true,35.3,27.167,5.35,0,3.93,-0.0659,UNDER
2026-03-08,REB,Jayson Tatum,7.5,-125,-137,8.7,3,UNDER,UNDER,OVER,PLAYER,UNDER,true,34.42,27.04,5.86,0.1,1.2,-0.0225,UNDER
2026-03-06,AST,Jayson Tatum,3.5,107.5,-140.5,6.08,7,OVER,OVER,OVER,PLAYER,OVER,true,35.3,27.167,5.35,0,2.58,-0.1023,UNDER
2026-03-08,AST,Jayson Tatum,4.5,-137,-100,6.18,2,UNDER,UNDER,OVER,PLAYER,UNDER,true,34.42,27.04,5.86,0.1,1.68,0.0781,OVER
2026-03-06,THREES,Jayson Tatum,2.5,135,-181.5,2.81,3,OVER,OVER,UNDER,PLAYER,OVER,true,35.3,27.167,5.35,0,0.31,-0.2192,UNDER
2026-03-08,THREES,Jayson Tatum,2.5,-115,-113.5,3.19,2,UNDER,UNDER,UNDER,PLAYER,UNDER,true,34.42,27.04,5.86,0.1,0.69,0.0033,OVER
2026-03-06,PRA,Jayson Tatum,22.5,-120,-120,41.14,34,OVER,OVER,OVER,PLAYER,OVER,true,35.3,27.167,5.35,0,18.64,0,NEUTRAL
2026-03-08,PRA,Jayson Tatum,30.5,-120,-118,41.06,25,UNDER,UNDER,OVER,PLAYER,UNDER,true,34.42,27.04,5.86,0.1,10.56,0.0042,OVER
2026-03-06,PA,Jayson Tatum,17.5,-120,-115,32.5,22,OVER,OVER,OVER,PLAYER,OVER,true,35.3,27.167,5.35,0,15,0.0106,OVER
2026-03-08,PA,Jayson Tatum,23.5,-119.5,-117.5,32.18,22,UNDER,UNDER,OVER,PLAYER,UNDER,true,34.42,27.04,5.86,0.1,8.68,0.0042,OVER
2026-03-06,PR,Jayson Tatum,19.5,-124,-121,34.89,27,OVER,OVER,UNDER,PLAYER,OVER,true,35.3,27.167,5.35,0,15.39,0.0061,OVER
2026-03-08,PR,Jayson Tatum,25.5,-119,-117.5,34.9,23,UNDER,UNDER,UNDER,PLAYER,UNDER,true,34.42,27.04,5.86,0.1,9.4,0.0031,OVER
2026-03-06,RA,Jayson Tatum,7.5,-121,-110,14.9,19,OVER,OVER,OVER,PLAYER,OVER,true,35.3,27.167,5.35,0,7.4,0.0237,OVER
2026-03-08,RA,Jayson Tatum,12.5,-117,-122.5,14.95,5,UNDER,UNDER,OVER,PLAYER,UNDER,true,34.42,27.04,5.86,0.1,2.45,-0.0114,UNDER
