gameDateEt,market,playerName,line,overPrice,underPrice,projectedValue,actualValue,predictedSide,playerPredictedSide,universalPredictedSide,chosenSource,actualSide,correct,expectedMinutes,actualMinutes,minutesVolatility,starterRateLast10,lineGap,priceLean,favoredSide
2025-10-24,PTS,Kawhi Leonard,21.5,-122,-120,21.03,27,OVER,OVER,OVER,PLAYER,OVER,true,30.72,32.717,9.45,0,-0.47,0.0041,OVER
2025-10-26,PTS,Kawhi Leonard,22.5,-115,-115,21.33,30,OVER,OVER,OVER,PLAYER,OVER,true,30.19,35.3,9.17,0,-1.17,0,NEUTRAL
2025-10-28,PTS,Kawhi Leonard,23.5,-117,-122,22.38,18,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.32,30.717,9.03,0,-1.12,-0.0104,UNDER
2025-10-31,PTS,Kawhi Leonard,23.5,-122.5,-115,22.64,34,OVER,OVER,OVER,PLAYER,OVER,true,31.9,36.233,8.79,0,-0.86,0.0157,OVER
2025-11-03,PTS,Kawhi Leonard,22.5,-119,-122,22.76,27,OVER,OVER,OVER,PLAYER,OVER,true,31.72,37.15,8.68,0,0.26,-0.0062,UNDER
2025-11-23,PTS,Kawhi Leonard,17.5,-125,-111,23.31,20,OVER,OVER,OVER,PLAYER,OVER,true,31.23,26.417,8.22,0,5.81,0.0295,OVER
2025-11-25,PTS,Kawhi Leonard,20.5,-110,-120,22.58,19,UNDER,UNDER,OVER,PLAYER,UNDER,true,29.18,27.633,6.38,,2.08,-0.0216,UNDER
2025-11-28,PTS,Kawhi Leonard,20.5,-127.5,-108.5,22.26,39,OVER,OVER,OVER,PLAYER,OVER,true,30.16,28.517,5.21,,1.76,0.0401,OVER
2025-11-29,PTS,Kawhi Leonard,21.5,-118.5,-117.5,23.68,30,OVER,OVER,OVER,PLAYER,OVER,true,31.1,28.8,3.79,,2.18,0.0021,OVER
2025-12-01,PTS,Kawhi Leonard,22.5,-116.5,-116,24.57,36,OVER,OVER,OVER,PLAYER,OVER,true,31.26,30.417,3.65,,2.07,0.0011,OVER
2025-12-03,PTS,Kawhi Leonard,23.5,-120,-115,25.77,21,OVER,OVER,OVER,PLAYER,UNDER,false,31.39,35.417,3.59,,2.27,0.0106,OVER
2025-12-05,PTS,Kawhi Leonard,25.5,-119,-121,24.94,24,OVER,OVER,OVER,PLAYER,UNDER,false,31.66,34.695,3.78,,-0.56,-0.0041,UNDER
2025-12-06,PTS,Kawhi Leonard,23.5,-125,-113.5,24.32,20,OVER,OVER,OVER,PLAYER,UNDER,false,31.6,31.367,3.72,,0.82,0.0239,OVER
2025-12-11,PTS,Kawhi Leonard,22.5,-129,-125,23.42,24,OVER,OVER,OVER,PLAYER,OVER,true,31.66,40.8,3.71,,0.92,0.0078,OVER
2025-12-15,PTS,Kawhi Leonard,26,-117,-115,24.52,21,OVER,OVER,OVER,PLAYER,UNDER,false,32.12,36.65,4.45,,-1.48,0.0043,OVER
2025-12-18,PTS,Kawhi Leonard,22.5,-122.5,-130,23.66,22,UNDER,UNDER,OVER,PLAYER,UNDER,true,32.07,32.15,4.4,,1.16,-0.0147,UNDER
2025-12-20,PTS,Kawhi Leonard,25.5,-123,-119,24.64,32,OVER,OVER,OVER,PLAYER,OVER,true,32.64,41.883,3.98,,-0.86,0.0082,OVER
2025-12-23,PTS,Kawhi Leonard,25.5,-120,-122.5,24.53,41,OVER,OVER,OVER,PLAYER,OVER,true,34.07,36.833,4.45,,-0.97,-0.0051,UNDER
2025-12-26,PTS,Kawhi Leonard,27.5,-116.5,-116.5,25.75,28,OVER,OVER,UNDER,PLAYER,OVER,true,34.9,41.038,4.1,,-1.75,0,NEUTRAL
2025-12-28,PTS,Kawhi Leonard,28.5,-120,-115,26.45,55,OVER,OVER,UNDER,PLAYER,OVER,true,36.13,38.63,3.92,,-2.05,0.0106,OVER
2025-12-30,PTS,Kawhi Leonard,29.5,-122,-119.5,29.15,33,OVER,OVER,UNDER,PLAYER,OVER,true,36.95,32.667,3.47,,-0.35,0.0051,OVER
2026-01-01,PTS,Kawhi Leonard,29.5,-122,-116,29.68,45,OVER,OVER,UNDER,PLAYER,OVER,true,36.67,39.217,3.68,,0.18,0.0125,OVER
2026-01-03,PTS,Kawhi Leonard,28.5,-117,-120,31.8,22,OVER,OVER,UNDER,PLAYER,UNDER,false,37.12,34.483,3.69,,3.3,-0.0063,UNDER
2026-01-05,PTS,Kawhi Leonard,30.5,-117.5,-124,29.25,24,UNDER,UNDER,UNDER,PLAYER,UNDER,true,37.44,38.117,3.3,,-1.25,-0.0133,UNDER
2026-01-07,PTS,Kawhi Leonard,27.5,-115,-120,28.17,25,UNDER,UNDER,UNDER,PLAYER,UNDER,true,37.17,36.267,3.12,,0.67,-0.0106,UNDER
2026-01-09,PTS,Kawhi Leonard,26.5,-117,-123.5,26.68,26,UNDER,UNDER,UNDER,PLAYER,UNDER,true,37.13,28.367,3.13,,0.18,-0.0134,UNDER
2026-01-10,PTS,Kawhi Leonard,25.5,-115,-122,26.42,26,UNDER,UNDER,UNDER,PLAYER,OVER,false,36.75,30.9,3.85,,0.92,-0.0147,UNDER
2026-01-12,PTS,Kawhi Leonard,24.5,-115,-115,26.31,35,OVER,OVER,UNDER,PLAYER,OVER,true,35.65,30.592,3.8,,1.81,0,NEUTRAL
2026-01-14,PTS,Kawhi Leonard,27.5,-123.5,-122,26.33,33,OVER,OVER,UNDER,PLAYER,OVER,true,35.03,30.167,4.06,,-1.17,0.003,OVER
2026-01-22,PTS,Kawhi Leonard,24.5,-115,-125,26.47,24,UNDER,UNDER,OVER,PLAYER,UNDER,true,33.94,25.933,3.75,,1.97,-0.0207,UNDER
2026-01-25,PTS,Kawhi Leonard,23.5,-117,-125,25.65,28,OVER,OVER,OVER,PLAYER,OVER,true,32.67,25.283,4.08,,2.15,-0.0164,UNDER
2026-01-27,PTS,Kawhi Leonard,25.5,-111,-120,25.31,21,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.93,27.65,4.64,,-0.19,-0.0194,UNDER
2026-01-30,PTS,Kawhi Leonard,23.5,-114,-119,24.29,21,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.78,31.133,4.09,,0.79,-0.0107,UNDER
2026-02-01,PTS,Kawhi Leonard,25.5,-120,-115,25.21,25,OVER,OVER,OVER,PLAYER,UNDER,false,30.44,29.95,3.91,,-0.29,0.0106,OVER
2026-02-02,PTS,Kawhi Leonard,25.5,-122,-123,24.5,29,OVER,OVER,UNDER,PLAYER,OVER,true,29.62,30.867,2.95,,-1,-0.002,UNDER
2026-02-04,PTS,Kawhi Leonard,28.5,-121,-121.5,25.09,25,UNDER,UNDER,UNDER,PLAYER,UNDER,true,29.08,26.633,2.04,,-3.41,-0.001,UNDER
2026-02-06,PTS,Kawhi Leonard,28.5,-117.5,-122.5,25.19,31,OVER,OVER,UNDER,PLAYER,OVER,true,28.91,35.683,2.17,,-3.31,-0.0103,UNDER
2026-02-08,PTS,Kawhi Leonard,29.5,-117.5,-121,25.71,41,OVER,OVER,UNDER,PLAYER,OVER,true,29.39,33.533,2.94,,-3.79,-0.0073,UNDER
2026-02-10,PTS,Kawhi Leonard,28.5,-117,-123.5,27.07,24,UNDER,UNDER,OVER,PLAYER,UNDER,true,29.68,31.483,3.19,,-1.43,-0.0134,UNDER
2026-02-11,PTS,Kawhi Leonard,26.5,-127,-110,27.08,27,OVER,OVER,OVER,PLAYER,OVER,true,29.82,32.6,3.23,,0.58,0.0357,OVER
2026-02-19,PTS,Kawhi Leonard,27.5,-118,-115,24.99,23,UNDER,UNDER,OVER,PLAYER,UNDER,true,28.73,32.867,5.32,,-2.51,0.0064,OVER
2026-02-20,PTS,Kawhi Leonard,27.5,-119,-122.5,24.95,31,OVER,OVER,OVER,PLAYER,OVER,true,29.32,30.877,5.07,,-2.55,-0.0072,UNDER
2026-02-22,PTS,Kawhi Leonard,29.5,-125.5,-114,25.94,37,OVER,OVER,OVER,PLAYER,OVER,true,29.53,32.917,4.88,,-3.56,0.0238,OVER
2026-03-01,PTS,Kawhi Leonard,28.5,-120,-124,27.03,23,OVER,OVER,OVER,PLAYER,UNDER,false,29.87,29.35,4.98,,-1.47,-0.0081,UNDER
2026-03-02,PTS,Kawhi Leonard,26.5,-120,-112.5,27.07,23,OVER,OVER,OVER,PLAYER,UNDER,false,29.6,28.933,4.87,1,0.57,0.016,OVER
2026-03-04,PTS,Kawhi Leonard,27.5,-125,-120,26.59,29,OVER,OVER,UNDER,PLAYER,OVER,true,29.32,23.433,4.86,1,-0.91,0.0101,OVER
2026-03-06,PTS,Kawhi Leonard,27,-117,-118,25.1,30,OVER,OVER,UNDER,PLAYER,OVER,true,28.83,37.167,5.24,1,-1.9,-0.0021,UNDER
2026-03-07,PTS,Kawhi Leonard,26.5,-126,-115.5,26.53,28,OVER,OVER,OVER,PLAYER,OVER,true,29.09,27.917,5.57,1,0.03,0.0216,OVER
2026-03-09,PTS,Kawhi Leonard,26.25,-116,-123.5,26.13,29,OVER,OVER,OVER,PLAYER,OVER,true,29.28,35.062,5.24,1,-0.12,-0.0155,UNDER
2025-10-24,REB,Kawhi Leonard,5.5,-130,100,5.54,5,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.72,32.717,9.45,0,0.04,0.0652,OVER
2025-10-26,REB,Kawhi Leonard,5.5,-143.5,107.5,5.2,10,OVER,OVER,OVER,PLAYER,OVER,true,30.19,35.3,9.17,0,-0.3,0.1074,OVER
2025-10-28,REB,Kawhi Leonard,5.5,-117,-130,5.34,6,OVER,OVER,UNDER,PLAYER,OVER,true,31.32,30.717,9.03,0,-0.16,-0.026,UNDER
2025-10-31,REB,Kawhi Leonard,5.5,-140,105,5.85,5,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.9,36.233,8.79,0,0.35,0.0955,OVER
2025-11-03,REB,Kawhi Leonard,5.5,-105,-129,5.26,4,UNDER,UNDER,UNDER,PLAYER,UNDER,true,31.72,37.15,8.68,0,-0.24,-0.0511,UNDER
2025-11-23,REB,Kawhi Leonard,4.5,102,-131,5.45,3,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.23,26.417,8.22,0,0.95,-0.0721,UNDER
2025-11-25,REB,Kawhi Leonard,4.5,-109.5,-123.5,5.37,5,OVER,OVER,OVER,PLAYER,OVER,true,29.18,27.633,6.38,,0.87,-0.0299,UNDER
2025-11-28,REB,Kawhi Leonard,4.5,-121,-115,5.46,3,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.16,28.517,5.21,,0.96,0.0126,OVER
