gameDateEt,market,playerName,line,overPrice,underPrice,projectedValue,actualValue,predictedSide,playerPredictedSide,universalPredictedSide,chosenSource,actualSide,correct,expectedMinutes,actualMinutes,minutesVolatility,starterRateLast10,lineGap,priceLean,favoredSide
2025-10-24,PTS,Kevin Durant,25.5,-123,-110,25.86,37,OVER,OVER,OVER,PLAYER,OVER,true,32.47,28.137,7.99,0,0.36,0.0278,OVER
2025-10-27,PTS,Kevin Durant,25.5,-110,-122,25.29,19,UNDER,UNDER,OVER,PLAYER,UNDER,true,32.28,24.797,7.75,0,-0.21,-0.0257,UNDER
2025-10-29,PTS,Kevin Durant,25.5,-112.5,-120,25.23,31,OVER,OVER,OVER,PLAYER,OVER,true,30.98,36.75,7.86,0,-0.27,-0.016,UNDER
2025-11-01,PTS,Kevin Durant,25.5,-120,-115,25.91,26,OVER,OVER,OVER,PLAYER,OVER,true,31.29,29.555,7.66,0,0.41,0.0106,OVER
2025-11-03,PTS,Kevin Durant,26.5,-115,-115,25.92,21,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.84,38.395,7.3,0,-0.58,0,NEUTRAL
2025-11-05,PTS,Kevin Durant,25.5,-122,-125,24.39,11,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.78,34.45,7.43,0,-1.11,-0.006,UNDER
2025-11-07,PTS,Kevin Durant,24.5,-117,-115,22.39,24,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.96,36.55,7.19,0,-2.11,0.0043,OVER
2025-11-09,PTS,Kevin Durant,25.5,-124,-122,23.59,31,OVER,OVER,OVER,PLAYER,OVER,true,32.72,37.35,6.88,,-1.91,0.004,OVER
2025-11-12,PTS,Kevin Durant,24.5,-115,-120,24.34,23,UNDER,UNDER,OVER,PLAYER,UNDER,true,34.11,30.862,6.24,,-0.16,-0.0106,UNDER
2025-11-14,PTS,Kevin Durant,25.5,-122.5,-113,24.75,30,OVER,OVER,OVER,PLAYER,OVER,true,34.39,35.72,6.02,,-0.75,0.02,OVER
2025-11-16,PTS,Kevin Durant,25.5,-112,-120,25.25,35,OVER,OVER,OVER,PLAYER,OVER,true,33.26,45.083,4.37,,-0.25,-0.0172,UNDER
2025-11-19,PTS,Kevin Durant,26.5,-117.5,-121,26.32,20,UNDER,UNDER,UNDER,PLAYER,UNDER,true,34.95,36.517,5.25,,-0.18,-0.0073,UNDER
2025-11-21,PTS,Kevin Durant,26.5,-105,-125,25.45,13,UNDER,UNDER,UNDER,PLAYER,UNDER,true,36.12,35.25,4.02,,-1.05,-0.0434,UNDER
2025-11-30,PTS,Kevin Durant,25.5,-115,-120,23.92,25,UNDER,UNDER,UNDER,PLAYER,UNDER,true,35.97,29.85,4.02,,-1.58,-0.0106,UNDER
2025-12-01,PTS,Kevin Durant,25.5,-112.5,-122.5,23.93,32,OVER,OVER,UNDER,PLAYER,OVER,true,36,40.333,3.97,,-1.57,-0.0212,UNDER
2025-12-03,PTS,Kevin Durant,25.5,-113.5,-122.5,25.02,24,UNDER,UNDER,UNDER,PLAYER,UNDER,true,36.2,31.817,4.13,,-0.48,-0.0189,UNDER
2025-12-05,PTS,Kevin Durant,26.5,-125,-121.5,24.02,28,OVER,OVER,UNDER,PLAYER,OVER,true,35.93,32.363,4.31,,-2.48,0.007,OVER
2025-12-06,PTS,Kevin Durant,26.5,-115,-120,24.97,27,OVER,OVER,UNDER,PLAYER,OVER,true,35.51,31.267,4.43,,-1.53,-0.0106,UNDER
2025-12-11,PTS,Kevin Durant,25.5,-120,-117.5,24.62,16,OVER,OVER,UNDER,PLAYER,UNDER,false,34.91,36.717,4.56,,-0.88,0.0052,OVER
2025-12-15,PTS,Kevin Durant,24.5,-122.5,-128,23.16,25,OVER,OVER,UNDER,PLAYER,OVER,true,35.49,44.067,4.37,,-1.34,-0.0108,UNDER
2025-12-18,PTS,Kevin Durant,24.5,-115,-122,23.45,32,OVER,OVER,UNDER,PLAYER,OVER,true,36.33,42.683,5.08,,-1.05,-0.0147,UNDER
2025-12-20,PTS,Kevin Durant,24.5,-126,-114,25.78,31,OVER,OVER,UNDER,PLAYER,OVER,true,36.09,39.533,4.7,,1.28,0.0248,OVER
