gameDateEt,market,playerName,line,overPrice,underPrice,projectedValue,actualValue,predictedSide,actualSide,correct,expectedMinutes,actualMinutes,minutesVolatility,starterRateLast10,lineGap,priceLean,favoredSide
2025-10-24,PTS,Luka Dončić,32,-115,-125,31.1,49,UNDER,OVER,false,34.48,34.91,5.13,0,-0.9,-0.0207,UNDER
2025-10-31,PTS,Luka Dončić,31.5,-122,-120,32.69,44,UNDER,OVER,false,34.17,38.825,5,0,1.19,0.0041,OVER
2025-11-02,PTS,Luka Dončić,34.5,-117.5,-117.5,35.3,29,UNDER,UNDER,true,34.26,38.328,5.07,0,0.8,0,NEUTRAL
2025-11-05,PTS,Luka Dončić,35.5,-120,-113.5,34.92,35,UNDER,UNDER,true,34.49,41.615,5.19,0,-0.58,0.0138,OVER
2025-11-08,PTS,Luka Dončić,35.5,-120,-115,34.54,22,UNDER,UNDER,true,34.95,26.65,5.59,0,-0.96,0.0106,OVER
2025-11-10,PTS,Luka Dončić,33.5,-117.5,-118.5,32.43,38,UNDER,OVER,false,34.51,38.417,6.03,0,-1.07,-0.0021,UNDER
2025-11-12,PTS,Luka Dončić,31.5,-119.5,-120,33.08,19,UNDER,UNDER,true,34.56,32.817,6.05,0,1.58,-0.001,UNDER
2025-11-14,PTS,Luka Dončić,33.5,-122,-121,31.72,24,UNDER,UNDER,true,34.74,40.217,5.97,,-1.78,0.002,OVER
2025-11-15,PTS,Luka Dončić,32.5,-120,-115,32.25,41,OVER,OVER,true,36.52,38.217,4.49,,-0.25,0.0106,OVER
2025-11-18,PTS,Luka Dončić,30.5,-122,-115,31.54,37,OVER,OVER,true,37.1,34.228,4.3,,1.04,0.0147,OVER
2025-11-23,PTS,Luka Dončić,32,-120,-119,32.43,33,OVER,OVER,true,36.42,40.167,4.17,,0.43,0.0021,OVER
2025-11-25,PTS,Luka Dončić,32.5,-125,-115,32.9,43,OVER,OVER,true,36.95,38.267,4.27,,0.4,0.0207,OVER
2025-11-28,PTS,Luka Dončić,33.5,-119,-115,33.52,35,OVER,OVER,true,36.89,40.3,4.25,,0.02,0.0085,OVER
2025-11-30,PTS,Luka Dončić,34.5,-115,-125,33.58,34,UNDER,UNDER,true,37.09,35.067,4.36,,-0.92,-0.0207,UNDER
2025-12-01,PTS,Luka Dončić,32.5,-121,-115,33.38,38,OVER,OVER,true,36.43,31.55,4.11,,0.88,0.0126,OVER
2025-12-07,PTS,Luka Dončić,32.5,-122,-120,33.69,31,UNDER,UNDER,true,36.92,38.95,3.08,,1.19,0.0041,OVER
2025-12-10,PTS,Luka Dončić,33.5,-116.5,-122.5,33.26,35,OVER,OVER,true,36.98,40.933,3.11,,-0.24,-0.0125,UNDER
2025-12-14,PTS,Luka Dončić,34.5,-124,-119.5,34.2,29,UNDER,UNDER,true,37.79,38.195,2.98,,-0.3,0.0092,OVER
2025-12-18,PTS,Luka Dončić,36.5,-112.5,-121.5,33.14,45,OVER,OVER,true,37.59,39.555,2.87,,-3.36,-0.0191,UNDER
2025-12-20,PTS,Luka Dončić,35.5,-137,-119,34.72,12,UNDER,UNDER,true,37.72,19.567,2.93,,-0.78,0.0347,OVER
2025-12-25,PTS,Luka Dončić,32.5,-115,-122.5,31.68,25,UNDER,UNDER,true,36.26,33.917,6.18,,-0.82,-0.0157,UNDER
2025-12-28,PTS,Luka Dončić,34.5,-125,-108,31.57,34,UNDER,UNDER,true,35.63,32.733,6.06,,-2.93,0.0363,OVER
2025-12-30,PTS,Luka Dončić,34.5,-128.5,-115.5,31.1,30,UNDER,UNDER,true,35.08,35.733,6.05,,-3.4,0.0264,OVER
2026-01-02,PTS,Luka Dončić,35.5,-116,-121,30.67,34,UNDER,UNDER,true,34.62,37.55,5.81,,-4.83,-0.0105,UNDER
2026-01-04,PTS,Luka Dončić,34.5,-117.5,-120,30.99,36,OVER,OVER,true,34.87,38.883,5.87,,-3.51,-0.0052,UNDER
2026-01-06,PTS,Luka Dončić,34,-115,-120.5,32.15,30,UNDER,UNDER,true,35.6,37.483,5.87,,-1.85,-0.0116,UNDER
2026-01-07,PTS,Luka Dončić,36.5,-123,-115,33.02,38,OVER,OVER,true,35.46,38.332,5.8,,-3.48,0.0167,OVER
