gameDateEt,matchupKey,bookPtsLine,lineSource,projectedPts,predictedSide,actualPts,actualSide,correct,openingTeamSpread,openingTotal,ptsSideConfidence,ptsOverScore,ptsUnderScore,ptsMinutesRisk,lineupTimingConfidence,ptsQualifiedBet
2025-10-25,PHX@DEN,27.5,csv,21.37,UNDER,14,UNDER,true,-12.5,234.5,90,-22.661,20.898,0.353,1,true
2025-10-27,DEN@MIN,26.5,csv,18.16,UNDER,25,UNDER,true,1.5,221.5,88,-28.148,25.564,0.555,1,true
2025-10-29,NOP@DEN,26.5,csv,19.95,UNDER,21,UNDER,true,-10.5,237.5,88,-24.615,21.923,0.625,1,true
2025-10-31,DEN@POR,26.5,csv,20.51,UNDER,21,UNDER,true,-4.5,235.5,88,-22.413,20.535,0.933,1,false
2025-11-03,SAC@DEN,24.5,csv,20.17,OVER,34,OVER,true,-11.5,237,90,-16.665,15.928,0.814,1,false
2025-11-05,MIA@DEN,24.5,csv,21.92,OVER,33,OVER,true,-9,241.5,90,-7.936,8.78,0.584,1,false
2025-11-07,GSW@DEN,25.8,csv,24.18,OVER,26,OVER,true,-5.5,234.5,90,-3.938,5.502,0.309,1,true
2025-11-08,IND@DEN,29.5,csv,26.74,UNDER,32,OVER,false,-11.5,233.5,88,-9.665,10.685,0.905,1,false
2025-11-11,DEN@SAC,26.5,csv,26.64,OVER,35,OVER,true,-6.5,237.5,73.21,1.046,1.453,0.425,1,false
2025-11-12,DEN@LAC,24.5,csv,26.24,UNDER,55,OVER,false,-2.5,226.5,90,6.538,-2.615,0.78,1,false
2025-11-15,DEN@MIN,27.5,csv,31.16,OVER,27,UNDER,false,1.5,234.5,89.5,16.152,-10.323,0.163,1,true
2025-11-17,CHI@DEN,27.5,csv,30.4,OVER,36,OVER,true,-10.5,242.5,90,10.99,-6.172,0.539,1,false
2025-11-19,DEN@NOP,28.5,csv,31.53,UNDER,28,UNDER,true,-13.5,233,90,10.736,-5.585,0.705,1,false
2025-11-21,DEN@HOU,28.5,csv,30.73,OVER,34,OVER,true,2.5,233.75,90,10.166,-5.508,0.066,1,true
2025-11-22,SAC@DEN,29.5,csv,32.69,OVER,44,OVER,true,-13.25,237,90,12.341,-7.006,0.744,1,false
2025-11-24,DEN@MEM,30.5,csv,33.38,UNDER,17,UNDER,true,-7.5,233.25,90,10.104,-5.735,0.214,1,true
2025-11-28,SAS@DEN,30.5,csv,30.28,UNDER,21,UNDER,true,-10.5,236.5,64.2,1.242,1.835,0.398,1,false
2025-11-29,DEN@PHX,29.5,csv,28.11,UNDER,26,UNDER,true,-5.5,233.5,90,-1.646,4.276,0.363,1,false
2025-12-01,DAL@DEN,29.5,csv,27.22,UNDER,29,UNDER,true,-10.5,234.5,88,-5.522,7.648,0.487,1,true
2025-12-03,DEN@IND,29.5,csv,27.17,OVER,24,UNDER,false,-7.5,235.5,90,-4.935,7.127,0.235,1,false
2025-12-05,DEN@ATL,29.5,csv,25.86,OVER,40,OVER,true,-8.5,236.5,90,-7.551,9.391,0.21,1,false
2025-12-07,DEN@CHA,29.5,csv,26.04,UNDER,28,UNDER,true,-10.5,234.5,88,-4.701,7.543,0.372,1,true
2025-12-11,DEN@SAC,29.5,csv,29.16,OVER,36,OVER,true,-9,239.5,84.4,2.239,1.506,0.18,1,false
2025-12-15,HOU@DEN,28.5,csv,32.42,OVER,39,OVER,true,-1.5,233.5,89.5,14.376,-8.767,0.078,1,true
2025-12-18,ORL@DEN,30.5,csv,31.97,UNDER,23,UNDER,true,-7.5,232.5,90,5.748,-1.554,0.241,1,false
2025-12-20,HOU@DEN,29.5,csv,31.17,OVER,25,UNDER,false,-1.5,237,89.2,7.137,-3.217,0.214,1,true
2025-12-22,UTA@DEN,30.5,csv,29.68,UNDER,14,UNDER,true,-15.5,245.5,89.2,-2.931,5.633,0.808,1,false
2025-12-23,DEN@DAL,29.5,csv,25.42,UNDER,29,UNDER,true,-6.5,237.5,88,-10.938,11.937,0.906,1,false
2025-12-25,MIN@DEN,29.5,csv,26.26,OVER,56,OVER,true,-4.75,230.5,89.99,-6.616,8.348,0.652,1,false
2025-12-27,DEN@ORL,29.5,csv,29.99,OVER,34,OVER,true,-4.5,236.75,89.2,5.608,-1.394,0.413,1,false
2025-12-29,DEN@MIA,30.5,csv,31.69,UNDER,21,UNDER,true,-4.25,244.75,89.2,9.165,-3.942,0.272,1,false
2026-01-30,LAC@DEN,21.5,csv,27.15,OVER,31,OVER,true,5.5,210.5,88,21.911,-14.354,0.528,1,true
2026-02-01,OKC@DEN,24.5,csv,29.13,OVER,16,UNDER,false,4.5,228.5,88,16.531,-9.902,0.955,1,false
2026-02-03,DEN@DET,24.5,csv,27.86,OVER,24,UNDER,false,6.25,224.5,88,8.994,-4.343,0.881,1,false
2026-02-04,DEN@NYK,23.5,csv,24.65,OVER,30,OVER,true,4.5,226.5,88,5.51,-0.98,0.98,1,false
2026-02-07,DEN@CHI,28,csv,24.5,UNDER,22,UNDER,true,-4.5,229,88,-8.272,10.216,0.445,1,true
2026-02-09,CLE@DEN,28.5,csv,24.89,UNDER,22,UNDER,true,1.5,233.5,88,-6.416,8.579,0.414,1,true
2026-02-11,MEM@DEN,26.5,csv,25.11,UNDER,26,UNDER,true,-13.5,236,89.2,-2.113,5.609,0.992,1,false
2026-02-19,DEN@LAC,26.5,csv,24.86,UNDER,22,UNDER,true,-3.5,225.5,88,-0.788,4.404,0.594,1,true
2026-02-20,DEN@POR,29.5,csv,26.22,OVER,32,OVER,true,-3.5,238.25,90,-6.034,8.772,0.709,1,false
2026-02-22,DEN@GSW,27.5,csv,26.97,OVER,35,OVER,true,-5,231.5,72.33,1.652,2.113,0.602,1,false
2026-02-25,BOS@DEN,27.5,csv,27.68,OVER,30,OVER,true,-3.75,229,87.51,3.687,0.348,0.34,1,false
2026-02-27,DEN@OKC,26.5,csv,27.26,UNDER,23,UNDER,true,8.5,230.5,90,5.347,-1.012,0.421,1,false
2026-03-01,MIN@DEN,29.5,csv,28.1,UNDER,35,OVER,false,-2.25,238.5,83.14,0.445,3.194,0.392,1,false
2026-03-02,DEN@UTA,28,csv,29.02,UNDER,22,UNDER,true,-11,243,90,5.208,-0.624,0.823,1,false
2026-03-05,LAL@DEN,28.5,csv,29.91,UNDER,28,UNDER,true,-4.5,238.5,90,4.484,-0.624,0.314,1,false
2026-03-06,NYK@DEN,26.5,csv,26.39,OVER,38,OVER,true,-1,231.25,71.2,2.64,1.222,0.608,1,false
2026-03-09,DEN@OKC,26.5,csv,28.4,OVER,32,OVER,true,7.5,231.5,88,5.265,-1.388,0.57,1,true
