gameDateEt,market,playerName,line,overPrice,underPrice,projectedValue,actualValue,predictedSide,playerPredictedSide,universalPredictedSide,chosenSource,actualSide,correct,expectedMinutes,actualMinutes,minutesVolatility,starterRateLast10,lineGap,priceLean,favoredSide
2025-10-23,PTS,Nikola Jokić,27.5,-116.5,-121.5,22.92,21,UNDER,UNDER,OVER,PLAYER,UNDER,true,32.46,40.833,10.47,0,-4.58,-0.0104,UNDER
2025-10-25,PTS,Nikola Jokić,27.5,-122,-115,22.56,14,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.24,32.033,8.54,0,-4.94,0.0147,OVER
2025-10-27,PTS,Nikola Jokić,26.5,-117,-122,22.46,25,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.74,36.13,8.33,0,-4.04,-0.0104,UNDER
2025-10-29,PTS,Nikola Jokić,26.5,-108,-125,23.37,21,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.46,27.55,8.08,0,-3.13,-0.0363,UNDER
2025-10-31,PTS,Nikola Jokić,26.5,-114,-120,23.77,21,UNDER,UNDER,OVER,PLAYER,UNDER,true,29.41,37.05,7.71,0,-2.73,-0.0127,UNDER
2025-11-03,PTS,Nikola Jokić,24.5,-121,-116.5,24.65,34,OVER,OVER,OVER,PLAYER,OVER,true,29.02,36.015,7.19,0,0.15,0.0094,OVER
2025-11-05,PTS,Nikola Jokić,24.5,-120,-111,25.18,33,OVER,OVER,OVER,PLAYER,OVER,true,29.52,36.578,7.48,,0.68,0.0194,OVER
2025-11-07,PTS,Nikola Jokić,25.75,-123.5,-115,27.17,26,OVER,OVER,OVER,PLAYER,OVER,true,31.3,28.267,6.8,,1.42,0.0177,OVER
2025-11-08,PTS,Nikola Jokić,29.5,-115,-122,26.3,32,UNDER,UNDER,OVER,PLAYER,OVER,false,32.06,31.723,5.94,,-3.2,-0.0147,UNDER
2025-11-11,PTS,Nikola Jokić,26.5,-118.5,-114,26.93,35,OVER,OVER,OVER,PLAYER,OVER,true,33.01,32.783,4.97,,0.43,0.0096,OVER
2025-11-12,PTS,Nikola Jokić,24.5,-115,-120,26.7,55,UNDER,UNDER,OVER,PLAYER,OVER,false,33.9,33.567,3.95,,2.2,-0.0106,UNDER
2025-11-15,PTS,Nikola Jokić,27.5,-120,-116.5,29.19,27,UNDER,UNDER,OVER,PLAYER,UNDER,true,33.17,37.168,3.21,,1.69,0.0073,OVER
2025-11-17,PTS,Nikola Jokić,27.5,-120,-115,29.44,36,OVER,OVER,OVER,PLAYER,OVER,true,33.68,38.625,3.39,,1.94,0.0106,OVER
2025-11-19,PTS,Nikola Jokić,28.5,-119,-122.5,31.01,28,UNDER,UNDER,OVER,PLAYER,UNDER,true,33.93,34.433,3.64,,2.51,-0.0072,UNDER
2025-11-21,PTS,Nikola Jokić,28.5,-112.5,-124,29.47,34,UNDER,UNDER,UNDER,PLAYER,OVER,false,34.62,39.333,2.96,,0.97,-0.0242,UNDER
2025-11-22,PTS,Nikola Jokić,29.5,-122,-115,30.58,44,OVER,OVER,UNDER,PLAYER,OVER,true,34.85,36.59,3.21,,1.08,0.0147,OVER
2025-11-24,PTS,Nikola Jokić,30.5,-125,-115,31.44,17,UNDER,UNDER,UNDER,PLAYER,UNDER,true,34.91,33.717,3.24,,0.94,0.0207,OVER
2025-11-28,PTS,Nikola Jokić,30.5,-113,-120,30.17,21,UNDER,UNDER,OVER,PLAYER,UNDER,true,34.62,36.017,3.2,,-0.33,-0.0149,UNDER
2025-11-29,PTS,Nikola Jokić,29.5,-120,-115,29.88,26,UNDER,UNDER,UNDER,PLAYER,UNDER,true,35.4,31.4,2.41,,0.38,0.0106,OVER
2025-12-01,PTS,Nikola Jokić,29.5,-119,-120,28.56,29,UNDER,UNDER,OVER,PLAYER,UNDER,true,35.36,37,2.46,,-0.94,-0.0021,UNDER
2025-12-03,PTS,Nikola Jokić,29.5,-122.5,-115,28.92,24,OVER,OVER,UNDER,PLAYER,UNDER,false,35.79,35.283,2.35,,-0.58,0.0157,OVER
2025-12-05,PTS,Nikola Jokić,29.5,-124,-120,28.82,40,OVER,OVER,UNDER,PLAYER,OVER,true,35.96,35.605,2.24,,-0.68,0.0081,OVER
2025-12-07,PTS,Nikola Jokić,29.5,-116,-120,28.98,28,UNDER,UNDER,OVER,PLAYER,UNDER,true,35.8,34.833,2.2,,-0.52,-0.0084,UNDER
