gameDateEt,market,playerName,line,overPrice,underPrice,projectedValue,actualValue,predictedSide,playerPredictedSide,universalPredictedSide,chosenSource,actualSide,correct,expectedMinutes,actualMinutes,minutesVolatility,starterRateLast10,lineGap,priceLean,favoredSide
2025-10-23,PTS,Shai Gilgeous-Alexander,32.5,-115,-120,27.8,55,OVER,OVER,OVER,PLAYER,OVER,true,29.93,45.35,8.76,0,-4.7,-0.0106,UNDER
2025-10-25,PTS,Shai Gilgeous-Alexander,33.5,-119.5,-117.5,29.81,30,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.37,28.733,9.92,0,-3.69,0.0042,OVER
2025-10-27,PTS,Shai Gilgeous-Alexander,32.5,-115,-115,31.68,23,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.54,35.467,9.85,0,-0.82,0,NEUTRAL
2025-10-28,PTS,Shai Gilgeous-Alexander,33.5,-117.5,-114,32.62,31,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.59,35.783,9.87,0,-0.88,0.0075,OVER
2025-10-30,PTS,Shai Gilgeous-Alexander,33.5,-115,-115,32.09,31,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.67,29.033,9.9,0,-1.41,0,NEUTRAL
2025-11-02,PTS,Shai Gilgeous-Alexander,31.5,-117.5,-115,31.01,30,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.57,29.983,9.92,0,-0.49,0.0053,OVER
2025-11-04,PTS,Shai Gilgeous-Alexander,30.5,-118,-115,30.66,30,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.87,29.05,9.76,,0.16,0.0064,OVER
2025-11-05,PTS,Shai Gilgeous-Alexander,32.5,-118,-115,31.05,35,OVER,OVER,OVER,PLAYER,OVER,true,31.8,37.543,9.07,,-1.45,0.0064,OVER
2025-11-07,PTS,Shai Gilgeous-Alexander,31.5,-121,-114,31.74,30,UNDER,UNDER,OVER,PLAYER,UNDER,true,33.62,29.45,8.17,,0.24,0.0148,OVER
2025-11-09,PTS,Shai Gilgeous-Alexander,31.5,-118,-115,30.73,35,OVER,OVER,OVER,PLAYER,OVER,true,34.76,35.322,6.55,,-0.77,0.0064,OVER
2025-11-11,PTS,Shai Gilgeous-Alexander,31.5,-115,-115,31.46,28,UNDER,UNDER,OVER,PLAYER,UNDER,true,33.57,28.49,5.1,,-0.04,0,NEUTRAL
