gameDateEt,market,playerName,line,overPrice,underPrice,projectedValue,actualValue,predictedSide,playerPredictedSide,universalPredictedSide,chosenSource,actualSide,correct,expectedMinutes,actualMinutes,minutesVolatility,starterRateLast10,lineGap,priceLean,favoredSide
2025-10-23,PTS,Stephen Curry,25.5,-118,-119,20.92,42,OVER,OVER,OVER,PLAYER,OVER,true,27.99,36.967,7.44,0,-4.58,-0.0021,UNDER
2025-10-24,PTS,Stephen Curry,23.5,-116.5,-122.5,23.35,35,OVER,OVER,OVER,PLAYER,OVER,true,28.39,27.303,7.8,0,-0.15,-0.0125,UNDER
2025-10-27,PTS,Stephen Curry,26.5,-115,-115,24.87,16,UNDER,UNDER,OVER,PLAYER,UNDER,true,28.52,29.702,7.77,0,-1.63,0,NEUTRAL
2025-10-28,PTS,Stephen Curry,24.5,-111,-120,24.07,19,UNDER,UNDER,OVER,PLAYER,UNDER,true,27.79,25.528,7.26,0,-0.43,-0.0194,UNDER
2025-10-30,PTS,Stephen Curry,25.5,-123.5,-118.5,24.26,27,OVER,OVER,OVER,PLAYER,OVER,true,27.64,34.943,7.29,0,-1.24,0.0102,OVER
2025-11-01,PTS,Stephen Curry,25.5,-119,-113.5,24.56,24,UNDER,UNDER,OVER,PLAYER,UNDER,true,27.33,29.117,6.9,,-0.94,0.0118,OVER
2025-11-04,PTS,Stephen Curry,25.5,-115,-115,23.97,28,UNDER,UNDER,OVER,PLAYER,OVER,false,28.75,33.533,5.53,,-1.53,0,NEUTRAL
2025-11-11,PTS,Stephen Curry,23.5,-118,-117,24.34,11,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.53,19.987,3.56,,0.84,0.0021,OVER
2025-11-12,PTS,Stephen Curry,24.5,-120,-115,24.23,46,OVER,OVER,OVER,PLAYER,OVER,true,29.87,33.528,4.67,,-0.27,0.0106,OVER
2025-11-14,PTS,Stephen Curry,26.5,-127.5,-112.5,25.32,49,OVER,OVER,OVER,PLAYER,OVER,true,30.27,36.05,4.79,,-1.18,0.031,OVER
2025-11-16,PTS,Stephen Curry,27.5,-115,-115,25.5,9,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.67,28.117,5.08,,-2,0,NEUTRAL
2025-11-18,PTS,Stephen Curry,27.5,-115,-120,24.9,34,OVER,OVER,OVER,PLAYER,OVER,true,29.78,34.218,4.66,,-2.6,-0.0106,UNDER
2025-11-21,PTS,Stephen Curry,28.5,-125,-119,25.53,38,OVER,OVER,OVER,PLAYER,OVER,true,30.47,33.65,4.76,,-2.97,0.0122,OVER
2025-11-24,PTS,Stephen Curry,28.5,-116,-120,26.94,31,OVER,OVER,OVER,PLAYER,OVER,true,30.87,29.033,4.84,,-1.56,-0.0084,UNDER
2025-11-26,PTS,Stephen Curry,26.5,-122.5,-120,27.04,14,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.22,32.753,4.56,,0.54,0.0051,OVER
2025-12-12,PTS,Stephen Curry,25.5,-126.5,-120.5,26,39,OVER,OVER,OVER,PLAYER,OVER,true,31,32.217,4.42,,0.5,0.012,OVER
2025-12-14,PTS,Stephen Curry,27.5,-125,-116,27.59,48,OVER,OVER,OVER,PLAYER,OVER,true,31.31,35.43,4.39,,0.09,0.0185,OVER
2025-12-18,PTS,Stephen Curry,27.5,-115,-115,28.12,15,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.5,33.245,4.52,,0.62,0,NEUTRAL
2025-12-20,PTS,Stephen Curry,27.5,-120,-115,27.68,28,OVER,OVER,UNDER,PLAYER,OVER,true,32.82,35.098,2.4,,0.18,0.0106,OVER
2025-12-22,PTS,Stephen Curry,28.5,-121,-115,28.75,26,UNDER,UNDER,UNDER,PLAYER,UNDER,true,32.98,31.147,2.49,,0.25,0.0126,OVER
2025-12-25,PTS,Stephen Curry,29.5,-120,-115,28.19,23,UNDER,UNDER,UNDER,PLAYER,UNDER,true,32.49,32.883,2.31,,-1.31,0.0106,OVER
2025-12-28,PTS,Stephen Curry,28.5,-120,-113,27.9,39,OVER,OVER,UNDER,PLAYER,OVER,true,32.97,41.143,1.79,,-0.6,0.0149,OVER
2025-12-29,PTS,Stephen Curry,26.5,-115,-120,28.25,27,OVER,OVER,OVER,PLAYER,OVER,true,33.66,28.6,3.04,,1.75,-0.0106,UNDER
2025-12-31,PTS,Stephen Curry,28.5,-121,-117.5,28.28,26,UNDER,UNDER,OVER,PLAYER,UNDER,true,33.16,33.112,3.4,,-0.22,0.0073,OVER
2026-01-03,PTS,Stephen Curry,29.5,-120,-120,27.8,31,OVER,OVER,OVER,PLAYER,OVER,true,33.56,34.27,3.11,,-1.7,0,NEUTRAL
2026-01-05,PTS,Stephen Curry,27.5,-115,-121,27.28,27,UNDER,UNDER,OVER,PLAYER,UNDER,true,33.71,33.555,3.11,,-0.22,-0.0126,UNDER
2026-01-07,PTS,Stephen Curry,28.5,-123,-125,27.92,31,OVER,OVER,OVER,PLAYER,OVER,true,33.85,34.088,3.07,,-0.58,-0.004,UNDER
2026-01-09,PTS,Stephen Curry,28.5,-120,-122.5,27.11,27,UNDER,UNDER,OVER,PLAYER,UNDER,true,33.71,31.9,3.03,,-1.39,-0.0051,UNDER
2026-01-11,PTS,Stephen Curry,28.5,-120,-120,27.38,31,OVER,OVER,OVER,PLAYER,OVER,true,33.58,32.567,3.07,,-1.12,0,NEUTRAL
2026-01-13,PTS,Stephen Curry,28.5,-110,-123,27.58,7,UNDER,UNDER,OVER,PLAYER,UNDER,true,33.33,24.51,3.04,,-0.92,-0.0278,UNDER
2026-01-15,PTS,Stephen Curry,28.5,-117,-125,25.28,27,UNDER,UNDER,OVER,PLAYER,UNDER,true,32.66,33.85,4.01,,-3.22,-0.0164,UNDER
2026-01-17,PTS,Stephen Curry,28.5,-110,-122,25.57,14,UNDER,UNDER,OVER,PLAYER,UNDER,true,32.76,29.583,4.03,,-2.93,-0.0257,UNDER
2026-01-19,PTS,Stephen Curry,27.5,-118,-121,23.27,19,UNDER,UNDER,UNDER,PLAYER,UNDER,true,31.6,27.803,2.98,,-4.23,-0.0062,UNDER
2026-01-20,PTS,Stephen Curry,28.5,-123.5,-119.5,23.97,16,UNDER,UNDER,OVER,PLAYER,UNDER,true,31.52,24.683,3.07,,-4.53,0.0082,OVER
2026-01-22,PTS,Stephen Curry,27.5,-115,-118,22.54,38,OVER,OVER,OVER,PLAYER,OVER,true,30.68,34.445,3.62,,-4.96,-0.0064,UNDER
2026-01-25,PTS,Stephen Curry,28.5,-112,-135,23.7,26,UNDER,UNDER,OVER,PLAYER,UNDER,true,30.7,27.635,3.64,,-4.8,-0.0462,UNDER
