gameDateEt,market,playerName,line,overPrice,underPrice,projectedValue,actualValue,predictedSide,actualSide,correct,expectedMinutes,actualMinutes,minutesVolatility,starterRateLast10,lineGap,priceLean,favoredSide
2025-10-24,PTS,Victor Wembanyama,28.5,-125,-115,22.29,29,OVER,OVER,true,27.07,32.298,7.49,0,-6.21,0.0207,OVER
2025-10-26,PTS,Victor Wembanyama,28.5,-117.5,-120,22.4,31,OVER,OVER,true,26.9,36.467,7.34,0,-6.1,-0.0052,UNDER
2025-10-27,PTS,Victor Wembanyama,28.5,-120,-125,24.14,24,UNDER,UNDER,true,27.44,30.65,7.82,0,-4.36,-0.0101,UNDER
2025-10-30,PTS,Victor Wembanyama,27.5,-121,-115,24.79,27,UNDER,UNDER,true,26.71,39.688,7.1,0,-2.71,0.0126,OVER
2025-11-02,PTS,Victor Wembanyama,28,-120,-115.5,25.23,9,UNDER,UNDER,true,27.08,34.45,7.65,,-2.77,0.0095,OVER
2025-11-05,PTS,Victor Wembanyama,26.5,-122,-112.5,24.07,19,UNDER,UNDER,true,28.88,32.683,7.02,,-2.43,0.0201,OVER
2025-11-07,PTS,Victor Wembanyama,25.5,-122,-115,23.68,22,OVER,UNDER,false,29.99,37.2,6.65,,-1.82,0.0147,OVER
2025-11-08,PTS,Victor Wembanyama,24.5,-115,-118,23.18,18,OVER,UNDER,false,32.14,32.45,4.94,,-1.32,-0.0064,UNDER
2025-11-10,PTS,Victor Wembanyama,25.5,-125,-110,23.28,38,OVER,OVER,true,32.93,35.917,4.24,,-2.22,0.0317,OVER
2025-11-12,PTS,Victor Wembanyama,25.5,-115,-115,23.99,31,OVER,OVER,true,34.15,36.35,2.99,,-1.51,0,NEUTRAL
2025-11-14,PTS,Victor Wembanyama,26.5,-122.5,-112.5,24.71,26,UNDER,UNDER,true,34.82,38.233,2.64,,-1.79,0.0212,OVER
2025-12-13,PTS,Victor Wembanyama,16.5,-112.5,-123.5,23.89,22,OVER,OVER,true,35.41,20.65,2.67,,7.39,-0.0232,UNDER
2025-12-16,PTS,Victor Wembanyama,19.5,-123.5,-115,23.63,18,UNDER,UNDER,true,33.83,24.893,5.13,,4.13,0.0177,OVER
2025-12-18,PTS,Victor Wembanyama,20.5,-126,-111,23.48,15,UNDER,UNDER,true,33.25,17.3,5.74,,2.98,0.0315,OVER
2025-12-19,PTS,Victor Wembanyama,17.5,-116.5,-125,21.62,26,OVER,OVER,true,31.01,21.467,7.02,,4.12,-0.0174,UNDER
2025-12-21,PTS,Victor Wembanyama,19.5,-115,-127,21.43,14,UNDER,UNDER,true,29.71,21.5,7.45,,1.93,-0.0246,UNDER
