playerName,allEightAt80,targetHitCount,PTS_samples,PTS_acc,PTS_holdout,PTS_hit80,REB_samples,REB_acc,REB_holdout,REB_hit80,AST_samples,AST_acc,AST_holdout,AST_hit80,THREES_samples,THREES_acc,THREES_holdout,THREES_hit80,PRA_samples,PRA_acc,PRA_holdout,PRA_hit80,PA_samples,PA_acc,PA_holdout,PA_hit80,PR_samples,PR_acc,PR_holdout,PR_hit80,RA_samples,RA_acc,RA_holdout,RA_hit80
Aaron Gordon,true,8,24,91.67,50,true,24,87.5,37.5,true,24,95.83,12.5,true,23,91.3,57.14,true,8,100,33.33,true,8,100,33.33,true,8,100,100,true,8,100,33.33,true
Aaron Holiday,false,4,9,100,33.33,true,9,88.89,33.33,true,9,100,33.33,true,3,100,,true,,,,,,,,,,,,,,,,
Aaron Nesmith,true,8,35,82.86,45.45,true,35,97.14,72.73,true,35,85.71,54.55,true,33,90.91,30,true,16,93.75,20,true,16,100,20,true,16,93.75,20,true,15,86.67,60,true
Aaron Wiggins,false,7,43,79.07,38.46,false,42,85.71,69.23,true,41,82.93,69.23,true,33,87.88,30,true,23,95.65,28.57,true,23,95.65,71.43,true,23,91.3,42.86,true,23,86.96,57.14,true
Ace Bailey,false,7,50,82,33.33,true,51,82.35,56.25,true,51,76.47,43.75,false,44,88.64,7.14,true,22,86.36,14.29,true,22,90.91,28.57,true,22,86.36,14.29,true,22,90.91,42.86,true
Adem Bona,false,7,23,91.3,57.14,true,24,87.5,37.5,true,10,100,66.67,true,,,,,11,90.91,50,true,10,90,100,true,14,100,40,true,11,100,50,true
Adou Thiero,false,3,1,100,,true,1,100,,true,1,100,,true,,,,,,,,,,,,,,,,,,,,
AJ Green,false,5,58,77.59,55.56,false,58,63.79,61.11,false,56,82.14,23.53,true,56,78.57,70.59,false,35,91.43,54.55,true,35,85.71,45.45,true,35,94.29,45.45,true,35,85.71,36.36,true
AJ Johnson,false,7,3,100,,true,3,100,,true,3,100,,true,,,,,1,100,,true,1,100,,true,1,100,,true,1,100,,true
Ajay Mitchell,true,8,42,83.33,38.46,true,42,88.1,53.85,true,42,85.71,30.77,true,34,88.24,72.73,true,16,93.75,60,true,16,93.75,60,true,16,100,80,true,16,100,60,true
Al Horford,false,7,38,89.47,41.67,true,37,91.89,50,true,38,73.68,58.33,false,16,93.75,80,true,16,100,40,true,16,93.75,60,true,16,87.5,40,true,16,87.5,40,true
Alex Caruso,true,8,29,89.66,44.44,true,26,92.31,62.5,true,26,92.31,75,true,6,100,,true,7,100,,true,7,100,,true,7,100,,true,7,100,,true
Alex Sarr,false,7,40,87.5,50,true,40,87.5,41.67,true,40,80,41.67,true,,,,,16,100,80,true,16,93.75,40,true,16,87.5,60,true,16,100,80,true
Alperen Sengun,false,5,54,81.48,52.94,true,53,75.47,43.75,false,54,79.63,47.06,false,53,71.7,50,false,36,80.56,18.18,true,36,86.11,63.64,true,36,88.89,63.64,true,36,80.56,18.18,true
Amari Williams,false,2,1,100,,true,1,100,,true,,,,,,,,,,,,,,,,,,,,,,,,
Amen Thompson,false,5,60,81.67,61.11,true,58,70.69,44.44,false,60,81.67,61.11,true,51,80.39,75,true,37,86.49,33.33,true,37,81.08,41.67,true,36,77.78,45.45,false,37,78.38,33.33,false
Amir Coffey,false,4,3,100,,true,3,100,,true,3,100,,true,2,100,,true,,,,,,,,,,,,,,,,
Andre Drummond,true,8,31,87.1,40,true,31,90.32,60,true,31,87.1,50,true,23,86.96,57.14,true,11,100,25,true,11,100,25,true,11,100,25,true,11,100,75,true
Andrew Nembhard,false,7,50,80,73.33,true,50,88,53.33,true,50,80,60,true,49,75.51,53.33,false,24,95.83,62.5,true,24,83.33,62.5,true,24,87.5,62.5,true,24,91.67,62.5,true
Andrew Wiggins,false,5,56,83.93,47.06,true,56,78.57,52.94,false,55,70.91,47.06,false,50,72,40,false,36,88.89,54.55,true,36,94.44,54.55,true,36,88.89,36.36,true,36,88.89,45.45,true
Anfernee Simons,false,5,51,78.43,43.75,false,51,76.47,50,false,51,64.71,62.5,false,43,83.72,46.15,true,23,86.96,42.86,true,23,86.96,28.57,true,23,86.96,71.43,true,23,100,28.57,true
Anthony Black,false,7,58,82.76,44.44,true,58,81.03,61.11,true,58,79.31,33.33,false,51,82.35,43.75,true,26,92.31,25,true,26,92.31,62.5,true,26,96.15,25,true,26,92.31,12.5,true
Anthony Davis,true,8,16,87.5,80,true,17,94.12,66.67,true,17,94.12,66.67,true,16,87.5,20,true,6,100,,true,6,100,,true,6,100,,true,6,100,,true
Anthony Edwards,false,5,52,59.62,62.5,false,52,78.85,68.75,false,52,82.69,56.25,true,47,78.72,40,false,31,80.65,50,true,31,87.1,70,true,31,90.32,60,true,31,90.32,50,true
Anthony Gill,false,6,9,88.89,33.33,true,9,100,66.67,true,8,100,66.67,true,2,100,,true,6,83.33,,true,4,75,,false,6,100,,true,4,75,,false
Ariel Hukporti,false,3,2,100,,true,2,100,,true,2,100,,true,,,,,,,,,,,,,,,,,,,,
Asa Newell,true,8,7,100,,true,6,100,,true,4,100,,true,2,100,,true,5,100,,true,5,100,,true,6,100,,true,5,100,,true
Ausar Thompson,false,5,54,77.78,35.29,false,54,79.63,52.94,false,53,77.36,43.75,false,15,86.67,80,true,29,82.76,77.78,true,29,89.66,33.33,true,29,82.76,44.44,true,29,93.1,55.56,true
Austin Reaves,true,8,36,86.11,81.82,true,36,91.67,72.73,true,36,88.89,63.64,true,32,84.38,30,true,15,100,40,true,15,100,40,true,15,93.33,40,true,15,100,60,true
Ayo Dosunmu,false,7,54,85.19,47.06,true,54,81.48,58.82,true,54,72.22,52.94,false,28,89.29,55.56,true,20,90,33.33,true,20,95,66.67,true,20,80,50,true,20,85,66.67,true
Bam Adebayo,false,5,55,85.45,41.18,true,55,72.73,29.41,false,55,78.18,41.18,false,46,80.43,50,true,38,76.32,41.67,false,38,84.21,50,true,37,89.19,50,true,38,86.84,66.67,true
Baylor Scheierman,true,8,21,90.48,71.43,true,20,95,50,true,20,95,83.33,true,13,84.62,25,true,15,100,40,true,15,93.33,40,true,15,100,20,true,14,92.86,60,true
Ben Saraf,false,6,6,100,,true,6,100,,true,6,100,,true,,,,,4,100,,true,4,100,,true,4,100,,true,4,75,,false
