playerName,PTS_samples,PTS_acc,PTS_holdout,PTS_hit80,REB_samples,REB_acc,REB_holdout,REB_hit80,AST_samples,AST_acc,AST_holdout,AST_hit80,THREES_samples,THREES_acc,THREES_holdout,THREES_hit80,PRA_samples,PRA_acc,PRA_holdout,PRA_hit80,PA_samples,PA_acc,PA_holdout,PA_hit80,PR_samples,PR_acc,PR_holdout,PR_hit80,RA_samples,RA_acc,RA_holdout,RA_hit80
Aaron Gordon,24,91.67,50,true,24,91.67,37.5,true,24,95.83,12.5,true,23,95.65,57.14,true,8,100,33.33,true,8,100,33.33,true,8,100,100,true,8,100,33.33,true
Aaron Nesmith,35,91.43,45.45,true,35,97.14,72.73,true,35,85.71,54.55,true,33,96.97,30,true,16,100,20,true,16,100,20,true,16,100,20,true,15,86.67,60,true
Ajay Mitchell,42,85.71,38.46,true,42,92.86,53.85,true,42,95.24,38.46,true,34,88.24,72.73,true,16,100,60,true,16,93.75,60,true,16,100,80,true,16,100,60,true
Alex Caruso,29,96.55,44.44,true,26,92.31,62.5,true,26,100,87.5,true,6,100,,true,7,100,,true,7,100,,true,7,100,,true,7,100,,true
Andre Drummond,31,93.55,40,true,31,93.55,60,true,31,87.1,50,true,23,95.65,57.14,true,11,100,25,true,11,100,25,true,11,100,25,true,11,100,75,true
Andrew Nembhard,50,90,73.33,true,50,96,53.33,true,50,88,60,true,49,83.67,53.33,true,24,95.83,62.5,true,24,83.33,62.5,true,24,87.5,62.5,true,24,91.67,62.5,true
Andrew Wiggins,56,87.5,47.06,true,56,91.07,47.06,true,55,81.82,47.06,true,50,80,53.33,true,36,91.67,72.73,true,36,94.44,54.55,true,36,91.67,36.36,true,36,94.44,45.45,true
Anthony Black,58,91.38,55.56,true,58,87.93,61.11,true,58,87.93,33.33,true,51,88.24,43.75,true,26,92.31,25,true,26,96.15,75,true,26,96.15,25,true,26,92.31,12.5,true
Anthony Davis,16,87.5,80,true,17,94.12,66.67,true,17,94.12,66.67,true,16,87.5,20,true,6,100,,true,6,100,,true,6,100,,true,6,100,,true
Asa Newell,7,100,,true,6,100,,true,4,100,,true,2,100,,true,5,100,,true,5,100,,true,6,100,,true,5,100,,true
Austin Reaves,36,97.22,81.82,true,36,100,72.73,true,36,88.89,63.64,true,32,84.38,30,true,15,100,40,true,15,100,40,true,15,93.33,40,true,15,100,60,true
Baylor Scheierman,21,90.48,71.43,true,20,95,50,true,20,95,83.33,true,13,84.62,25,true,15,100,40,true,15,93.33,40,true,15,100,20,true,14,92.86,60,true
Ben Sheppard,41,95.12,38.46,true,41,95.12,30.77,true,39,89.74,58.33,true,24,91.67,37.5,true,13,100,50,true,13,92.31,50,true,13,92.31,50,true,13,84.62,25,true
Bennedict Mathurin,39,94.87,41.67,true,40,82.5,50,true,40,85,58.33,true,37,91.89,33.33,true,17,100,66.67,true,17,100,50,true,17,94.12,16.67,true,17,100,66.67,true
Bilal Coulibaly,42,88.1,61.54,true,41,95.12,76.92,true,42,83.33,61.54,true,36,91.67,36.36,true,24,91.67,25,true,24,95.83,37.5,true,23,91.3,85.71,true,24,95.83,50,true
Bogdan Bogdanović,14,100,40,true,12,100,25,true,12,100,50,true,9,100,0,true,1,100,,true,1,100,,true,1,100,,true,1,100,,true
Bones Hyland,18,83.33,83.33,true,15,100,80,true,16,100,20,true,1,100,,true,15,93.33,60,true,15,100,60,true,15,93.33,60,true,15,80,40,true
Brandon Miller,46,93.48,35.71,true,46,89.13,64.29,true,45,86.67,71.43,true,45,80,64.29,true,33,93.94,50,true,33,87.88,50,true,33,84.85,40,true,33,90.91,40,true
Brandon Williams,45,84.44,57.14,true,43,88.37,46.15,true,44,90.91,42.86,true,21,95.24,57.14,true,24,91.67,37.5,true,24,91.67,37.5,true,23,95.65,71.43,true,24,87.5,75,true
Brook Lopez,36,97.22,45.45,true,36,80.56,45.45,true,36,88.89,72.73,true,20,95,33.33,true,27,92.59,33.33,true,26,92.31,62.5,true,27,96.3,66.67,true,27,96.3,33.33,true
Bryce McGowens,14,92.86,40,true,10,100,33.33,true,11,81.82,50,true,2,100,,true,8,100,33.33,true,8,87.5,66.67,true,8,100,33.33,true,6,100,,true
