date,rank,playerId,playerName,market,side,outcome,correct,actualSide,line,actualValue,projectedValue,edge,sources,sourceCount,nonCurrentSourceCount,currentRank,sourceRank,bestSourceScore,selectionScore,vetoReason
2025-10-23,1,cmm6n176s00gldx100vmchldl,Brandin Podziemski,PRA,UNDER,WIN,True,UNDER,25.5,15.0,17.52,7.98,current+honest+memory+optimized+side+slate+walkfwd,7,6,1.0,5.0,7.98,1112.0394,
2025-10-23,2,cmm6n1pj000tpdx10wtjkdm7d,Andrew Nembhard,PRA,UNDER,WIN,True,UNDER,24.5,9.0,16.6,7.899999999999999,current+honest+memory+optimized+side+slate+walkfwd,7,6,2.0,1.0,7.9,1111.037,
2025-10-23,3,cmm6n10xr00c5dx105s5u7omw,Peyton Watson,PA,UNDER,WIN,True,UNDER,15.5,3.0,8.33,7.17,current+honest+memory+optimized+side+slate+walkfwd,7,6,3.0,4.0,7.17,1109.6151,
2025-10-23,4,cmm6n16c200fzdx108xbwhssb,Shai Gilgeous-Alexander,PA,UNDER,LOSS,False,OVER,40.5,60.0,33.6,6.899999999999999,current+honest+memory+optimized+side+slate+walkfwd,7,6,5.0,6.0,6.9,1107.407,
2025-10-23,5,cmm6n10v100c3dx10r8qqlu2w,Jamal Murray,PRA,UNDER,LOSS,False,OVER,36.5,38.0,29.31,7.190000000000001,current+honest+memory+side+slate+walkfwd,6,5,4.0,3.0,0.6562800000000001,1105.6157,
2025-10-23,6,cmm6n1prk00tvdx10okanm8eo,Jarace Walker,PR,UNDER,LOSS,False,OVER,14.5,17.0,8.41,6.09,current+optimized,2,1,6.0,5.0,6.09,1091.1827,
2025-10-24,1,cmm6n22ll0131dx10s7pniyx3,Russell Westbrook,PRA,UNDER,WIN,True,UNDER,31.5,12.0,16.26,15.239999999999998,current+honest+memory+optimized+side+slate+walkfwd,7,6,1.0,1.0,15.24,1112.2572,
2025-10-24,2,cmm6n199o00i3dx10kbqbqkno,Ryan Rollins,PRA,UNDER,WIN,True,UNDER,27.5,20.0,12.84,14.66,current+honest+memory+optimized+side+slate+walkfwd,7,6,2.0,2.0,14.66,1111.0398,
2025-10-24,3,cmm6n1z4l010jdx10l5x2ox6b,Franz Wagner,PA,OVER,WIN,True,OVER,15.5,29.0,29.12,13.620000000000001,current+honest+memory+optimized+side+slate+walkfwd,7,6,3.0,3.0,13.62,1109.8086,
2025-10-24,4,cmm6n1md300rfdx10edlrq91k,Jaylon Tyson,PRA,UNDER,WIN,True,UNDER,21.5,13.0,8.33,13.17,base+current+honest+memory+side+slate+walkfwd,7,6,4.0,5.0,0.6900000000000001,1108.9951,
2025-10-24,5,cmm6n1zo9010xdx10tez4pxcy,Alex Sarr,PRA,UNDER,WIN,True,UNDER,29.5,28.0,17.72,11.780000000000001,current+honest+memory+side+slate+walkfwd,6,5,5.0,6.0,0.6900000000000001,1104.3534,
2025-10-24,6,cmm6n1ivv00oxdx10aozkxaxa,Cooper Flagg,PA,UNDER,LOSS,False,OVER,21.5,24.0,9.26,12.24,current+optimized,2,1,6.0,4.0,12.24,1091.5672,
2025-10-25,1,cmm6n1prk00tvdx10okanm8eo,Jarace Walker,PRA,UNDER,WIN,True,UNDER,30.5,16.0,10.93,19.57,current+honest+memory+optimized+side+slate+walkfwd,7,6,1.0,1.0,19.57,1112.3871,
2025-10-25,2,cmm6n1z4l010jdx10l5x2ox6b,Franz Wagner,PR,OVER,WIN,True,OVER,20.5,24.0,30.46,9.96,current+honest+memory+optimized+side+slate+walkfwd,7,6,2.0,5.0,9.96,1110.8988,
2025-10-25,3,cmm6n0o600031dx10ghoz3e3p,Quentin Grimes,PR,OVER,WIN,True,OVER,11.5,27.0,23.81,12.309999999999999,current+honest+memory+side+slate+walkfwd,6,5,3.0,4.0,0.6900000000000001,1106.7693,
2025-10-25,4,cmm6n0ndu002hdx10pa9vv0le,VJ Edgecombe,PA,OVER,WIN,True,OVER,16.5,23.0,28.23,11.73,current+optimized,2,1,4.0,3.0,11.73,1093.7519,
2025-10-25,5,cmm6n0oh30039dx103bnfhlwe,Joel Embiid,PTS,OVER,WIN,True,OVER,17.0,20.0,25.4,8.399999999999999,current+optimized,2,1,6.0,6.0,8.4,1091.052,
2025-10-25,6,cmm6n1egh00ltdx10je4ezhu2,Javon Small,PR,UNDER,LOSS,False,OVER,17.5,18.0,8.61,8.89,current,1,0,5.0,5.0,0.6395743579987716,1089.2667,
2025-10-26,1,cmm6n13mx00e3dx10pt20ce25,Kon Knueppel,PRA,UNDER,WIN,True,UNDER,30.0,28.0,17.62,12.379999999999999,base+current+honest+memory+optimized+side+slate+walkfwd,8,7,1.0,1.0,12.38,1115.1714,
2025-10-26,2,cmm6n1rjo00v5dx10rsvnnplo,Deni Avdija,PRA,UNDER,WIN,True,UNDER,39.5,35.0,28.37,11.129999999999999,current+honest+memory+side+slate+walkfwd,6,5,2.0,2.0,0.6900000000000001,1107.9339,
2025-10-26,3,cmm6n1prk00tvdx10okanm8eo,Jarace Walker,PRA,UNDER,WIN,True,UNDER,26.5,16.0,15.43,11.07,current+honest+memory+side+slate+walkfwd,6,5,3.0,3.0,0.6900000000000001,1106.7321,
2025-10-26,4,cmm6n199o00i3dx10kbqbqkno,Ryan Rollins,PRA,UNDER,LOSS,False,OVER,23.5,26.0,12.76,10.74,current+honest+memory+side+slate+walkfwd,6,5,4.0,4.0,0.6900000000000001,1105.5222,
2025-10-26,5,cmm6n0wa4008tdx10jhpfi638,Cam Thomas,PRA,OVER,WIN,True,OVER,12.5,42.0,26.06,13.559999999999999,base+current+optimized,3,2,5.0,1.0,13.56,1096.2068,
2025-10-26,6,cmm6n1xig00zddx106hlww0kn,Kawhi Leonard,PR,UNDER,LOSS,False,OVER,36.5,40.0,25.17,11.329999999999998,current+optimized,2,1,6.0,3.0,11.33,1091.7399,
2025-10-27,1,cmm6n1bl400jrdx10jjpx1gjf,Jalen Johnson,PRA,UNDER,WIN,True,UNDER,45.5,34.0,27.01,18.49,current+honest+memory+optimized+side+slate+walkfwd,7,6,1.0,1.0,18.49,1112.3547,
2025-10-27,2,cmm6n0tkw006vdx10m43b9zdj,Derik Queen,PRA,UNDER,WIN,True,UNDER,29.0,15.0,15.51,13.49,base+current+honest+memory+side+slate+walkfwd,7,6,2.0,2.0,0.6900000000000001,1111.2047,
2025-10-27,3,cmm6n176s00gldx100vmchldl,Brandin Podziemski,PRA,UNDER,LOSS,False,OVER,31.5,33.0,20.07,11.43,current+honest+memory+side+slate+walkfwd,6,5,3.0,3.0,0.6900000000000001,1106.7429,
2025-10-27,4,cmm6n1jkw00pfdx10vtmbsjqs,Naji Marshall,PRA,UNDER,WIN,True,UNDER,26.5,13.0,16.36,10.14,current+honest+memory+side+slate+walkfwd,6,5,4.0,4.0,0.6900000000000001,1105.5042,
2025-10-27,5,cmm6n0o600031dx10ghoz3e3p,Quentin Grimes,PR,OVER,WIN,True,OVER,12.75,19.0,26.71,13.96,current+honest+memory+side+slate+walkfwd,6,5,5.0,5.0,0.6900000000000001,1104.4188,
2025-10-27,6,cmm6n16yh00gfdx10tjwsux85,Moses Moody,PR,UNDER,WIN,True,UNDER,22.5,22.0,10.97,11.53,current+optimized,2,1,6.0,3.0,11.53,1091.7459,
2025-10-28,1,cmm6n1xig00zddx106hlww0kn,Kawhi Leonard,PRA,UNDER,WIN,True,UNDER,41.5,25.0,29.45,12.05,current+honest+memory+optimized+side+slate+walkfwd,7,6,1.0,2.0,12.05,1112.1615,
2025-10-28,2,cmm6n149500ejdx1076jbe0va,Ryan Kalkbrenner,PR,OVER,WIN,True,OVER,6.5,16.0,16.62,10.120000000000001,current+honest+memory+optimized+side+slate+walkfwd,7,6,3.0,4.0,10.12,1109.7036,
2025-10-28,3,cmm6n1quo00undx10hpn1qpwe,Pelle Larsson,PRA,UNDER,LOSS,False,OVER,15.5,25.0,5.94,9.559999999999999,current+honest+memory+side+slate+walkfwd,6,5,2.0,1.0,0.68472,1108.0868,
2025-10-28,4,cmm6n0o600031dx10ghoz3e3p,Quentin Grimes,PR,OVER,WIN,True,OVER,17.5,30.0,26.95,9.45,current+honest+memory+optimized+side+slate+walkfwd,7,6,5.0,6.0,9.45,1107.4835,
2025-10-28,5,cmm6n22ll0131dx10s7pniyx3,Russell Westbrook,PRA,UNDER,LOSS,False,OVER,27.5,29.0,18.39,9.11,current+honest+memory+side+slate+walkfwd,6,5,4.0,3.0,0.67932,1105.6733,
2025-10-28,6,cmm6n13pn00e5dx105xkf15se,Miles Bridges,PR,OVER,WIN,True,OVER,20.5,21.0,29.98,9.48,current+honest+memory+side+slate+walkfwd,6,5,6.0,5.0,0.68376,1103.2844,
2025-10-29,1,cmm6n10xr00c5dx105s5u7omw,Peyton Watson,PRA,UNDER,WIN,True,UNDER,27.5,15.0,11.64,15.86,current+honest+memory+optimized+side+slate+walkfwd,7,6,1.0,5.0,15.86,1112.2758,
2025-10-29,2,cmm6n1bl400jrdx10jjpx1gjf,Jalen Johnson,PRA,UNDER,WIN,True,UNDER,40.5,35.0,28.72,11.780000000000001,current+honest+memory+optimized+side+slate+walkfwd,7,6,2.0,1.0,11.78,1111.1534,
2025-10-29,3,cmm6n1jkw00pfdx10vtmbsjqs,Naji Marshall,PRA,UNDER,WIN,True,UNDER,27.0,7.0,15.33,11.67,current+honest+memory+side+slate+walkfwd,6,5,3.0,2.0,0.6900000000000001,1106.9501,
2025-10-29,4,cmm6n1u9g00x1dx10nenlri2v,Ace Bailey,PRA,UNDER,WIN,True,UNDER,23.5,13.0,12.4,11.1,current+honest+memory+side+slate+walkfwd,6,5,4.0,3.0,0.6900000000000001,1105.733,
2025-10-29,5,cmm6n1prk00tvdx10okanm8eo,Jarace Walker,PRA,UNDER,LOSS,False,OVER,25.5,31.0,15.12,10.38,current+honest+memory+side+slate+walkfwd,6,5,5.0,4.0,0.6900000000000001,1104.5114,
2025-10-29,6,cmm6n1kfc00q1dx10abtm8ez2,Brandon Williams,PR,UNDER,LOSS,False,OVER,14.5,27.0,5.46,9.04,current,1,0,6.0,5.0,0.6396147656656594,1088.0712,
2025-10-30,1,cmm6n0yjr00afdx10ymgpl0h9,Kel'el Ware,PRA,OVER,LOSS,False,UNDER,13.5,10.0,23.3,9.8,current+honest+memory+optimized+side+slate+walkfwd,7,6,1.0,3.0,9.8,1112.094,
2025-10-30,2,cmm6n149500ejdx1076jbe0va,Ryan Kalkbrenner,PRA,OVER,WIN,True,OVER,8.5,24.0,17.87,9.370000000000001,current+honest+memory+optimized+side+slate+walkfwd,7,6,2.0,6.0,9.37,1110.8811,
2025-10-30,3,cmm6n13sf00e7dx1034qeibl7,Moussa Diabaté,RA,UNDER,WIN,True,UNDER,12.5,7.0,5.9,6.6,current+honest+memory+optimized+side+slate+walkfwd,7,6,3.0,4.0,6.6,1109.598,
2025-10-30,4,cmm6n1quo00undx10hpn1qpwe,Pelle Larsson,PA,UNDER,WIN,True,UNDER,13.5,8.0,6.57,6.93,current+optimized,2,1,6.0,3.0,6.93,1091.6079,
2025-10-30,5,cmm6n16ev00g1dx106t3gms6v,Isaiah Hartenstein,PR,OVER,WIN,True,OVER,16.5,25.0,22.4,5.899999999999999,current,1,0,4.0,5.0,0.6369276234923505,1090.377,
2025-10-30,6,cmm6n1zo9010xdx10tez4pxcy,Alex Sarr,PA,OVER,WIN,True,OVER,13.5,16.0,19.03,5.530000000000001,current,1,0,5.0,6.0,0.6360891274516217,1089.1659,
2025-10-31,1,cmm6n0o600031dx10ghoz3e3p,Quentin Grimes,PRA,OVER,WIN,True,OVER,11.5,21.0,27.47,15.969999999999999,base+current+honest+memory+optimized+side+slate+walkfwd,8,7,3.0,3.0,15.97,1113.2791,
2025-10-31,2,cmm6n1nwf00sjdx10ktubc5n6,Nikola Vučević,PRA,OVER,WIN,True,OVER,14.5,35.0,31.43,16.93,current+honest+memory+optimized+side+slate+walkfwd,7,6,1.0,2.0,16.93,1112.3079,
2025-10-31,3,cmm6n1bl400jrdx10jjpx1gjf,Jalen Johnson,PA,UNDER,WIN,True,UNDER,31.5,30.0,21.06,10.440000000000001,current+honest+memory+optimized+side+slate+walkfwd,7,6,4.0,5.0,10.44,1108.5132,
2025-10-31,4,cmm6n0qk6004rdx10awr0q9oy,Oso Ighodaro,PRA,UNDER,WIN,True,UNDER,19.5,10.0,9.14,10.36,current+honest+memory+side+slate+walkfwd,6,5,2.0,1.0,0.6900000000000001,1108.1108,
2025-10-31,5,cmm6n1u9g00x1dx10nenlri2v,Ace Bailey,PA,UNDER,WIN,True,UNDER,21.5,9.0,9.65,11.85,base+current+honest+memory+side+slate+walkfwd,7,6,5.0,4.0,0.6900000000000001,1107.7555,
2025-10-31,6,cmm6n1dub00lddx101tbutaee,Cam Spencer,PRA,UNDER,WIN,True,UNDER,28.5,15.0,12.58,15.92,base+current+honest+memory+side+slate+walkfwd,7,6,6.0,6.0,0.6900000000000001,1107.0776,
2025-11-01,1,cmm6n1t9e00wbdx10ksgb3ju6,Nique Clifford,PRA,OVER,LOSS,False,UNDER,9.5,3.0,20.79,11.29,current+honest+memory+optimized+side+slate+walkfwd,7,6,1.0,2.0,11.29,1112.1387,
2025-11-01,2,cmm6n13pn00e5dx105xkf15se,Miles Bridges,PR,OVER,WIN,True,OVER,19.5,38.0,28.18,8.68,base+current+honest+memory+optimized+side+slate+walkfwd,8,7,4.0,6.0,8.68,1111.4604,
