date,picks,wins,losses,accuracyPct,cumulativePicks,cumulativeWins,cumulativeLosses,cumulativeAccuracyPct
2025-10-23,6,4,2,66.67,6,4,2,66.67
2025-10-24,6,6,0,100.0,12,10,2,83.33
2025-10-25,6,6,0,100.0,18,16,2,88.89
2025-10-26,6,5,1,83.33,24,21,3,87.5
2025-10-27,6,5,1,83.33,30,26,4,86.67
2025-10-28,6,4,2,66.67,36,30,6,83.33
2025-10-29,6,5,1,83.33,42,35,7,83.33
2025-10-30,6,4,2,66.67,48,39,9,81.25
2025-10-31,6,6,0,100.0,54,45,9,83.33
2025-11-01,6,4,2,66.67,60,49,11,81.67
2025-11-02,6,4,2,66.67,66,53,13,80.3
2025-11-03,6,5,1,83.33,72,58,14,80.56
2025-11-04,6,4,2,66.67,78,62,16,79.49
2025-11-05,6,4,2,66.67,84,66,18,78.57
2025-11-06,6,6,0,100.0,90,72,18,80.0
2025-11-07,19,17,2,89.47,109,89,20,81.65
2025-11-08,7,6,1,85.71,116,95,21,81.9
2025-11-09,7,6,1,85.71,123,101,22,82.11
2025-11-10,12,8,4,66.67,135,109,26,80.74
2025-11-11,8,8,0,100.0,143,117,26,81.82
2025-11-12,18,16,2,88.89,161,133,28,82.61
2025-11-13,6,3,3,50.0,167,136,31,81.44
2025-11-14,19,13,6,68.42,186,149,37,80.11
2025-11-15,10,3,7,30.0,196,152,44,77.55
2025-11-16,8,8,0,100.0,204,160,44,78.43
2025-11-17,10,9,1,90.0,214,169,45,78.97
2025-11-18,11,11,0,100.0,225,180,45,80.0
2025-11-19,18,17,1,94.44,243,197,46,81.07
2025-11-20,11,11,0,100.0,254,208,46,81.89
2025-11-21,10,8,2,80.0,264,216,48,81.82
2025-11-22,7,7,0,100.0,271,223,48,82.29
2025-11-23,12,6,6,50.0,283,229,54,80.92
2025-11-24,9,6,3,66.67,292,235,57,80.48
2025-11-25,6,2,4,33.33,298,237,61,79.53
2025-11-26,12,11,1,91.67,310,248,62,80.0
2025-11-28,19,19,0,100.0,329,267,62,81.16
2025-11-29,6,4,2,66.67,335,271,64,80.9
2025-11-30,10,9,1,90.0,345,280,65,81.16
2025-12-01,6,3,3,50.0,351,283,68,80.63
2025-12-02,9,8,1,88.89,360,291,69,80.83
2025-12-03,6,5,1,83.33,366,296,70,80.87
2025-12-04,6,4,2,66.67,372,300,72,80.65
2025-12-05,8,7,1,87.5,380,307,73,80.79
2025-12-06,6,6,0,100.0,386,313,73,81.09
2025-12-07,9,5,4,55.56,395,318,77,80.51
2025-12-08,6,5,1,83.33,401,323,78,80.55
