model_action,selected_rank,tier,final_score,player,team,opponent,market,side,line,projected_value,line_gap,model_probability,fair_probability,price_edge,projected_minutes,sample_size,source_pick,source_projection,source_odds,source_book,source_market,source_url,risk_flags,rejection_reason
COVERAGE,,B,0.68215,Aaliyah Edwards,CON,NY,AST,UNDER,1.5,0.637,-0.863,0.68172,0.44944,0.23229,18.44,73,,,,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,missing_source_projection|volatile_minutes,
COVERAGE,,A,0.77433,Aaliyah Edwards,CON,NY,PTS,UNDER,10.5,6.941,-3.559,0.72651,0.5,0.22651,18.44,73,,,,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,missing_source_projection|volatile_minutes,
COVERAGE,,A,0.74855,Aaliyah Edwards,CON,NY,REB,UNDER,6.5,4.985,-1.515,0.7065,0.46691,0.23959,18.44,73,,,,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,missing_source_projection|volatile_minutes,
COVERAGE,,A,0.75323,Aneesah Morrow,CON,NY,AST,UNDER,1.5,0.654,-0.846,0.69849,0.52632,0.17218,21.62,43,,1.36,,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,source_projection_near_line|volatile_minutes,
COVERAGE,,D,0.21838,Aneesah Morrow,CON,NY,PTS,OVER,10.5,11.507,1.007,0.5079,0.51934,-0.01143,21.62,43,,13.47,,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,volatile_minutes,
COVERAGE,,D,0.08897,Aneesah Morrow,CON,NY,THREES,UNDER,0.5,0.494,-0.006,0.5356,0.37037,0.16523,21.62,43,,0.65,,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,source_projection_disagreement|source_projection_near_line|volatile_minutes,
COVERAGE,,D,0.06718,Brittney Griner,CON,NY,AST,UNDER,1.5,1.53,0.03,0.54613,0.55056,-0.00443,17.21,80,,1.89,,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,source_projection_disagreement,
SELECTED,6,B,0.7059,Brittney Griner,CON,NY,PTS,UNDER,12.5,10.207,-2.293,0.64468,0.49439,0.15029,17.21,80,,11.15,,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,,
COVERAGE,,D,0.43535,Brittney Griner,CON,NY,THREES,UNDER,0.5,0.396,-0.104,0.608,0.65479,-0.04679,17.21,80,,0.1,,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,,
COVERAGE,,D,0.26079,Kennedy Burke,CON,NY,AST,OVER,1.5,1.91,0.41,0.52353,0.55995,-0.03641,19.85,88,,2.01,,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,,
COVERAGE,,D,0.1939,Kennedy Burke,CON,NY,PTS,UNDER,7.5,7.285,-0.215,0.53764,0.47769,0.05995,19.85,88,,10.11,,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,source_projection_disagreement,
COVERAGE,,D,0.19449,Kennedy Burke,CON,NY,REB,UNDER,2.5,2.573,0.073,0.53855,0.46691,0.07164,19.85,88,,2.78,,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,source_projection_disagreement,
COVERAGE,,B,0.66893,Kennedy Burke,CON,NY,THREES,UNDER,1.5,1.114,-0.386,0.65586,0.5,0.15586,19.85,88,,1.41,,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,source_projection_near_line,
CANDIDATE,,B,0.6966,Marina Mabrey,CON,NY,AST,OVER,3.5,4.382,0.882,0.63114,0.50891,0.12223,33.57,85,,4.21,,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,,portfolio_full
COVERAGE,,D,0.24865,Marina Mabrey,CON,NY,THREES,OVER,1.5,1.657,0.157,0.52414,0.60382,-0.07968,33.57,85,,1.77,,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,,
COVERAGE,,D,0.11045,Saniya Rivers,CON,NY,AST,UNDER,3.5,3.383,-0.117,0.55149,0.53846,0.01303,26.4,44,,4.04,,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,source_projection_disagreement,
CANDIDATE,,A,0.74481,Saniya Rivers,CON,NY,REB,UNDER,3.5,2.612,-0.888,0.65626,0.55112,0.10514,26.4,44,,3.02,,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,,max_per_market
COVERAGE,,D,0.38997,Saniya Rivers,CON,NY,THREES,UNDER,1.5,1.179,-0.321,0.60261,0.53247,0.07015,26.4,44,,2.22,,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,source_projection_disagreement,
COVERAGE,,C,0.63756,Janelle Salaun,GS,SEA,PTS,OVER,10.5,12.376,1.876,0.61446,0.49477,0.11969,31.84,38,,12.25,,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,,
COVERAGE,,D,0.34079,Janelle Salaun,GS,SEA,THREES,OVER,1.5,1.838,0.338,0.60812,0.47368,0.13444,31.84,38,,1.42,,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,source_projection_disagreement|source_projection_near_line,
COVERAGE,,D,0.40029,Kayla Thornton,GS,SEA,PTS,UNDER,13.5,10.666,-2.834,0.60672,0.5,0.10672,23.21,80,,13.9,,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,source_projection_disagreement|volatile_minutes,
