model_action,selected_rank,tier,final_score,player,team,team_name,opponent,opponent_name,market,side,line,projected_value,line_gap,model_probability,fair_probability,price_edge,projected_minutes,sample_size,source_pick,source_projection,source_odds,source_book,source_market,source_status,team_resolution_status,source_url,risk_flags,rejection_reason
COVERAGE,,D,0.27446,Jordin Canada,ATL,Atlanta Dream,SEA,Seattle Storm,PA,UNDER,17.5,16.527,-0.973,0.53245,0.49505,0.0374,32.64,77,UNDER,15.2,102.0,FanDuel,Pts + Ast,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/seattle-storm-atlanta-dream-scores-odds-picks-props-july-09-2026/15b8be23-7bf8-48a9-9210-c20e9bb9434a,blowout_spread|combo_market_correlation|single_side_price|thin_market_count,below_consensus_probability
COVERAGE,,D,0.42616,Kelsey Mitchell,IND,Indiana Fever,PHX,Phoenix Mercury,PA,UNDER,27.5,25.344,-2.156,0.59917,0.56522,0.03396,32.11,124,UNDER,20.9,-130.0,FanDuel,Pts + Ast,preserved_same_day,source_game_match,https://www.sportsgrid.com/wnba/game/indiana-fever-phoenix-mercury-scores-odds-picks-props-july-09-2026/45e1e37b-faac-4468-8721-022a9a543a27,combo_market_correlation|not_current_source_snapshot|short_rest_or_b2b|single_side_price|thin_market_count,not_current_source_snapshot
COVERAGE,,D,0.31784,Kelsey Mitchell,IND,Indiana Fever,PHX,Phoenix Mercury,PA,UNDER,26.5,25.344,-1.156,0.54567,0.50495,0.04072,32.11,124,UNDER,20.9,-102.0,FanDuel,Pts + Ast,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/indiana-fever-phoenix-mercury-scores-odds-picks-props-july-09-2026/45e1e37b-faac-4468-8721-022a9a543a27,combo_market_correlation|short_rest_or_b2b|single_side_price|thin_market_count,below_consensus_probability
COVERAGE,,D,0.23466,Kelsey Mitchell,IND,Indiana Fever,PHX,Phoenix Mercury,PR,UNDER,26.5,25.001,-1.499,0.55598,0.56522,-0.00924,32.11,124,UNDER,20.4,-130.0,FanDuel,Pts + Reb,preserved_same_day,source_game_match,https://www.sportsgrid.com/wnba/game/indiana-fever-phoenix-mercury-scores-odds-picks-props-july-09-2026/45e1e37b-faac-4468-8721-022a9a543a27,combo_market_correlation|not_current_source_snapshot|short_rest_or_b2b|single_side_price|thin_market_count,not_current_source_snapshot
COVERAGE,,D,0.18046,Kelsey Mitchell,IND,Indiana Fever,PHX,Phoenix Mercury,PR,UNDER,25.5,25.001,-0.499,0.52351,0.5098,0.0137,32.11,124,UNDER,20.4,-104.0,FanDuel,Pts + Reb,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/indiana-fever-phoenix-mercury-scores-odds-picks-props-july-09-2026/45e1e37b-faac-4468-8721-022a9a543a27,combo_market_correlation|short_rest_or_b2b|single_side_price|thin_market_count,below_consensus_probability
COVERAGE,,D,0.29329,Kelsey Mitchell,IND,Indiana Fever,PHX,Phoenix Mercury,PTS,UNDER,23.5,22.471,-1.029,0.54048,0.51456,0.02592,32.11,124,UNDER,18.0,-106.0,FanDuel,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/indiana-fever-phoenix-mercury-scores-odds-picks-props-july-09-2026/45e1e37b-faac-4468-8721-022a9a543a27,short_rest_or_b2b|single_side_price|thin_market_count,below_consensus_probability
CANDIDATE,,B,0.68206,A'ja Wilson,LV,Las Vegas Aces,POR,Portland Fire,PR,OVER,31.5,35.799,4.299,0.64483,0.53271,0.11212,33.42,121,OVER,34.7,-114.0,FanDuel,Pts + Reb,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/las-vegas-aces-portland-fire-scores-odds-picks-props-july-09-2026/0450c2d8-39fb-4ceb-9c87-bb1e8c5ce7f8,combo_market_correlation|single_side_price|thin_market_count,max_per_player
SELECTED,1,S,0.89782,A'ja Wilson,LV,Las Vegas Aces,POR,Portland Fire,REB,OVER,7.5,10.378,2.878,0.73041,0.59677,0.13363,33.42,121,OVER,10.3,-148.0,FanDuel,Rebounds,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/las-vegas-aces-portland-fire-scores-odds-picks-props-july-09-2026/0450c2d8-39fb-4ceb-9c87-bb1e8c5ce7f8,single_side_price|thin_market_count,
COVERAGE,,D,0.31858,Jackie Young,LV,Las Vegas Aces,POR,Portland Fire,PTS,OVER,17.5,18.997,1.497,0.55902,0.55556,0.00346,34.41,128,OVER,20.5,-125.0,FanDuel,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/las-vegas-aces-portland-fire-scores-odds-picks-props-july-09-2026/0450c2d8-39fb-4ceb-9c87-bb1e8c5ce7f8,single_side_price|thin_market_count,below_consensus_probability
COVERAGE,,D,0.0,Natisha Hiedeman,SEA,Seattle Storm,ATL,Atlanta Dream,PA,UNDER,19.5,19.02,-0.48,0.52296,,,27.33,132,OVER,22.8,-120.0,FanDuel,Pts + Ast,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/seattle-storm-atlanta-dream-scores-odds-picks-props-july-09-2026/15b8be23-7bf8-48a9-9210-c20e9bb9434a,blowout_spread|combo_market_correlation|no_price_edge|single_side_price|source_pick_disagreement|source_projection_disagreement|thin_market_count,single_side_price_excluded
COVERAGE,,D,0.13171,Natisha Hiedeman,SEA,Seattle Storm,ATL,Atlanta Dream,PRA,OVER,22.5,22.426,-0.074,0.51726,0.50495,0.01231,27.33,132,OVER,26.5,-102.0,FanDuel,Pts + Reb + Ast,preserved_same_day,source_game_match,https://www.sportsgrid.com/wnba/game/seattle-storm-atlanta-dream-scores-odds-picks-props-july-09-2026/15b8be23-7bf8-48a9-9210-c20e9bb9434a,blowout_spread|combo_market_correlation|not_current_source_snapshot|single_side_price|thin_market_count,not_current_source_snapshot
COVERAGE,,D,0.3053,Natisha Hiedeman,SEA,Seattle Storm,ATL,Atlanta Dream,PTS,OVER,14.5,15.224,0.724,0.56631,0.55556,0.01075,27.33,132,OVER,19.1,-125.0,FanDuel,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/seattle-storm-atlanta-dream-scores-odds-picks-props-july-09-2026/15b8be23-7bf8-48a9-9210-c20e9bb9434a,blowout_spread|single_side_price|thin_market_count,below_consensus_probability
