game_date,player,player_id,team_abbr,opponent_abbr,market,line,over_odds,under_odds,sportsbook_count,source_projection,source_book,source_market,source_url,source_event_id,line_last_updated
2026-05-08,Breanna Stewart,2998928,NY,CON,PTS,20.5,-110,-110,2,21.13,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905880,2026-05-08T23:27:20Z
2026-05-08,Jonquel Jones,2999101,NY,CON,PTS,15.5,-105,-110,2,14.52,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905880,2026-05-08T23:27:20Z
2026-05-08,Satou Sabally,4281929,PHX,LV,PTS,15.5,100,-130,2,0.0,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905880,2026-05-08T23:27:20Z
2026-05-08,Brittney Sykes,2988756,TOR,WSH,PTS,14.5,-110,100,2,15.26,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905650,2026-05-08T23:27:20Z
2026-05-08,Dominique Malonga,5220150,SEA,GS,PTS,14.5,-110,-105,2,14.16,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905840,2026-05-08T23:27:20Z
2026-05-08,Kiki Iriafen,4898384,WSH,TOR,PTS,14.5,102,-120,2,14.04,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905650,2026-05-08T23:27:20Z
2026-05-08,Kayla Thornton,2529622,GS,SEA,PTS,13.5,-112,-112,2,13.9,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905840,2026-05-08T23:27:20Z
2026-05-08,Natisha Hiedeman,3906753,SEA,GS,PTS,13.5,-104,-105,2,13.18,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905840,2026-05-08T23:27:20Z
2026-05-08,Shakira Austin,4398911,WSH,TOR,PTS,12.5,100,100,2,12.8,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905650,2026-05-08T23:27:20Z
2026-05-08,Brittney Griner,2490553,CON,NY,PTS,12.5,-110,-105,2,11.15,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905880,2026-05-08T23:27:20Z
2026-05-08,Gabby Williams,3142328,SEA,GS,PTS,11.5,-115,102,2,12.49,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905840,2026-05-08T23:27:20Z
2026-05-08,Betnijah Laney-Hamilton,2593770,NY,CON,PTS,11.5,-110,-112,2,11.26,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905880,2026-05-08T23:27:20Z
2026-05-08,Tiffany Hayes,1054,GS,SEA,PTS,10.5,-120,-106,2,11.84,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905840,2026-05-08T23:27:20Z
