game_date,player,player_id,team_abbr,opponent_abbr,market,line,over_odds,under_odds,sportsbook_count,source_projection,source_book,source_market,source_url,source_event_id,line_last_updated,team_resolution_status
2026-05-11,Kaila Charles,4065780,GS,PHX,PTS,6.5,-114,-114,2,8.87,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905660,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Jordan Horston,4432830,SEA,CON,PTS,9.5,170,-220,2,5.44,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905680,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Breanna Stewart,2998928,NY,WSH,PTS,20.5,-125,100,2,22.01,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905730,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Jackie Young,4065870,LV,LA,PTS,17.5,-110,-115,2,17.19,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905800,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Nneka Ogwumike,1068,LA,LV,PTS,16.5,100,-105,2,16.37,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905800,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Sonia Citron,4433524,WSH,NY,PTS,15.5,-120,-104,2,15.42,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905730,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Jonquel Jones,2999101,NY,WSH,PTS,15.5,104,-125,2,14.94,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905730,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Alyssa Thomas,2529140,PHX,GS,PTS,14.5,-120,102,2,15.19,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905660,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Kiki Iriafen,4898384,WSH,NY,PTS,13.5,-104,-115,2,14.03,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905730,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Brittney Griner,2490553,CON,SEA,PTS,13.5,102,-120,2,13.49,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905680,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Tiffany Hayes,1054,GS,SEA,PTS,13.5,100,-125,2,0.0,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905660,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Kayla Thornton,2529622,GS,PHX,PTS,12.5,-105,102,2,15.24,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905660,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,DeWanna Bonner,869,PHX,GS,PTS,12.5,100,-115,2,12.15,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905660,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Shakira Austin,4398911,WSH,NY,PTS,12.5,-105,-118,2,13.38,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905730,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Jewell Loyd,2987869,LV,LA,PTS,10.5,-112,-112,2,10.28,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905800,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Jovana Nogic,3906769,PHX,GS,PTS,9.5,100,-112,2,7.99,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905660,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Georgia Amoore,4704180,WSH,NY,PTS,8.5,-122,100,2,8.78,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905730,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,NaLyssa Smith,4398776,LV,LA,PTS,7.5,-105,-110,2,8.74,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905800,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Natasha Mack,4068042,PHX,GS,PTS,7.5,-110,-114,2,6.56,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905660,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Rae Burrell,4398764,LA,LV,PTS,6.5,-145,115,2,8.18,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905800,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Cassandre Prosper,5122345,WSH,NY,PTS,5.5,-112,-112,2,5.46,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905730,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Pauline Astier,5345320,NY,WSH,PTS,4.5,-145,115,2,5.88,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11905730,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Kennedy Burke,3922628,CON,SEA,REB,2.5,100,-125,2,3.11,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905680,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Kaila Charles,4065780,GS,PHX,REB,6.5,104,-138,2,4.16,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905660,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Jordan Horston,4432830,SEA,CON,REB,4.5,-125,100,2,3.47,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905680,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,A'ja Wilson,3149391,LV,LA,REB,11.5,-115,-110,2,10.16,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905800,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Dominique Malonga,5220150,SEA,CON,REB,9.5,-120,100,2,9.47,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905680,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Aneesah Morrow,4684384,CON,SEA,REB,9.5,115,-140,2,9.07,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905680,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Jonquel Jones,2999101,NY,WSH,REB,8.5,-112,-110,2,8.47,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905730,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Shakira Austin,4398911,WSH,NY,REB,7.5,105,-130,2,7.37,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905730,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Breanna Stewart,2998928,NY,WSH,REB,7.5,114,-140,2,7.32,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905730,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Kayla Thornton,2529622,GS,PHX,REB,6.5,102,-125,2,5.56,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905660,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Brittney Griner,2490553,CON,SEA,REB,6.5,100,-115,2,6.68,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905680,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,NaLyssa Smith,4398776,LV,LA,REB,5.5,115,-145,2,5.27,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905800,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Tiffany Hayes,1054,GS,SEA,REB,4.5,-145,115,2,0.0,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905660,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Gabby Williams,3142328,GS,PHX,REB,4.5,-100,102,2,3.83,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905660,2026-05-11T21:00:04Z,historical_fallback
2026-05-11,Stefanie Dolson,2529183,SEA,CON,REB,4.5,-110,105,2,4.4,ScoresAndOdds Best Odds,REB,https://www.scoresandodds.com/wnba/props/rebounds,11905680,2026-05-11T21:00:04Z,historical_fallback
