game_date,player,player_id,team_abbr,opponent_abbr,market,line,over_odds,under_odds,over_book,under_book,sportsbook_count,source_projection,source_book,source_market,source_url,source_event_id,line_last_updated,source_status,team_resolution_status
2026-08-03,A'ja Wilson,3149391,LV,ATL,PTS,26.5,100,-124,hardrock,draftkings,2,26.52,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907790,2026-08-03T16:11:25Z,live_current,current_roster_match
2026-08-03,Jackie Young,4065870,LV,ATL,PTS,19.5,-110,-107,fanduel,draftkings,2,19.2,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907790,2026-08-03T16:11:25Z,live_current,current_roster_match
2026-08-03,Allisha Gray,3058901,ATL,LV,PTS,18.5,-110,-102,hardrock,caesars,2,20.1,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907790,2026-08-03T16:11:25Z,live_current,current_roster_match
2026-08-03,Sydney Taylor,4594786,CHI,PHX,PTS,17.5,100,-110,hardrock,bet365,2,18.77,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907820,2026-08-03T16:11:25Z,live_current,current_roster_match
2026-08-03,Rhyne Howard,4398674,ATL,LV,PTS,16.5,-110,-108,bet365,caesars,2,16.28,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907790,2026-08-03T16:11:25Z,live_current,current_roster_match
2026-08-03,Angel Reese,4433402,ATL,LV,PTS,15.5,105,-109,hardrock,draftkings,2,16.67,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907790,2026-08-03T16:11:25Z,live_current,current_roster_match
2026-08-03,Kamilla Cardoso,4433405,CHI,PHX,PTS,13.5,-105,-118,hardrock,fanduel,2,15.19,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907820,2026-08-03T16:11:25Z,live_current,current_roster_match
2026-08-03,Azura Stevens,3142010,CHI,PHX,PTS,12.5,-131,-101,draftkings,draftkings,2,0.0,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907820,2026-08-03T16:11:25Z,live_current,current_roster_match
2026-08-03,Chelsea Gray,2529122,LV,ATL,PTS,11.5,100,-119,hardrock,draftkings,2,12.19,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907790,2026-08-03T16:11:25Z,live_current,current_roster_match
2026-08-03,DeWanna Bonner,869,PHX,CHI,PTS,10.5,-105,-102,hardrock,fanduel,2,12.05,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907820,2026-08-03T16:11:25Z,live_current,current_roster_match
2026-08-03,NaLyssa Smith,4398776,LV,ATL,PTS,10.5,100,-114,bet365,fanduel,2,9.22,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907790,2026-08-03T16:11:25Z,live_current,current_roster_match
2026-08-03,Jordin Canada,3142250,ATL,LV,PTS,10.5,-105,-108,hardrock,fanduel,2,11.74,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907790,2026-08-03T16:11:25Z,live_current,current_roster_match
2026-08-03,Natasha Cloud,2529137,CHI,PHX,PTS,10.5,105,-120,hardrock,bet365,2,11.06,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907820,2026-08-03T16:11:25Z,live_current,current_roster_match
2026-08-03,DiJonai Carrington,4066548,CHI,PHX,PTS,9.5,-102,-110,fanduel,bet365,2,8.66,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907820,2026-08-03T16:11:25Z,live_current,current_roster_match
2026-08-03,Courtney Vandersloot,981,CHI,PHX,PTS,8.5,-105,-106,hardrock,draftkings,2,8.87,ScoresAndOdds Best Odds,PTS,https://www.scoresandodds.com/wnba/props/points,11907820,2026-08-03T16:11:25Z,live_current,current_roster_match
