game_date,player,player_id,team_abbr,opponent_abbr,market,line,over_odds,under_odds,sportsbook_count,game_total,spread,source_pick,source_projection,source_odds,source_book,source_market,source_url,game_time_et,line_last_updated
2026-05-09,Caitlin Clark,4433403,IND,DAL,THREES,2.5,,118,1,178.5,5.5,UNDER,1.8,118,FanDuel,3 Point FG Made,https://www.sportsgrid.com/wnba/game/dallas-wings-indiana-fever-scores-odds-picks-props-may-09-2026/1e37cd3d-41a4-417d-bd13-500d9267312e,1:00 PM,2026-05-09T16:43:49Z
2026-05-09,Caitlin Clark,4433403,IND,DAL,PTS,19.5,,-130,1,178.5,5.5,UNDER,15.9,-130,FanDuel,Points,https://www.sportsgrid.com/wnba/game/dallas-wings-indiana-fever-scores-odds-picks-props-may-09-2026/1e37cd3d-41a4-417d-bd13-500d9267312e,1:00 PM,2026-05-09T16:43:49Z
2026-05-09,Caitlin Clark,4433403,IND,DAL,PA,28.5,,-120,1,178.5,5.5,UNDER,24.3,-120,FanDuel,Pts + Ast,https://www.sportsgrid.com/wnba/game/dallas-wings-indiana-fever-scores-odds-picks-props-may-09-2026/1e37cd3d-41a4-417d-bd13-500d9267312e,1:00 PM,2026-05-09T16:43:49Z
2026-05-09,A'ja Wilson,3149391,LV,PHX,PTS,23.5,-114,,1,167.5,9.5,OVER,26.6,-114,FanDuel,Points,https://www.sportsgrid.com/wnba/game/phoenix-mercury-las-vegas-aces-scores-odds-picks-props-may-09-2026/6c13be8a-ab72-42d8-88d0-17889606673e,3:30 PM,2026-05-09T16:43:49Z
2026-05-09,A'ja Wilson,3149391,LV,PHX,PA,26.5,-122,,1,167.5,9.5,OVER,30.7,-122,FanDuel,Pts + Ast,https://www.sportsgrid.com/wnba/game/phoenix-mercury-las-vegas-aces-scores-odds-picks-props-may-09-2026/6c13be8a-ab72-42d8-88d0-17889606673e,3:30 PM,2026-05-09T16:43:49Z
2026-05-09,A'ja Wilson,3149391,LV,PHX,PR,33.5,-125,,1,167.5,9.5,OVER,36.8,-125,FanDuel,Pts + Reb,https://www.sportsgrid.com/wnba/game/phoenix-mercury-las-vegas-aces-scores-odds-picks-props-may-09-2026/6c13be8a-ab72-42d8-88d0-17889606673e,3:30 PM,2026-05-09T16:43:49Z
2026-05-09,Allisha Gray,3058901,ATL,MIN,PR,21.5,-122,,1,157.5,4.5,OVER,24.8,-122,FanDuel,Pts + Reb,https://www.sportsgrid.com/wnba/game/atlanta-dream-minnesota-lynx-scores-odds-picks-props-may-09-2026/f88e8fd5-d27c-4709-844b-e24b33649f45,8:00 PM,2026-05-09T16:43:49Z
2026-05-09,Allisha Gray,3058901,ATL,MIN,REB,4.5,-125,,1,157.5,4.5,OVER,6.9,-125,FanDuel,Rebounds,https://www.sportsgrid.com/wnba/game/atlanta-dream-minnesota-lynx-scores-odds-picks-props-may-09-2026/f88e8fd5-d27c-4709-844b-e24b33649f45,8:00 PM,2026-05-09T16:43:49Z
2026-05-09,Courtney Williams,2987891,MIN,ATL,PTS,14.5,102,,1,157.5,4.5,OVER,16.4,102,FanDuel,Points,https://www.sportsgrid.com/wnba/game/atlanta-dream-minnesota-lynx-scores-odds-picks-props-may-09-2026/f88e8fd5-d27c-4709-844b-e24b33649f45,8:00 PM,2026-05-09T16:43:49Z
2026-05-09,Kamilla Cardoso,4433405,CHI,POR,PTS,14.5,-106,,1,161.5,5.5,OVER,18.9,-106,FanDuel,Points,https://www.sportsgrid.com/wnba/game/chicago-sky-portland-fire-scores-odds-picks-props-may-09-2026/7def09d1-d666-4e08-a6d4-213059a7ffe9,9:00 PM,2026-05-09T16:43:49Z
2026-05-09,Kamilla Cardoso,4433405,CHI,POR,PR,23.5,-114,,1,161.5,5.5,OVER,29.0,-114,FanDuel,Pts + Reb,https://www.sportsgrid.com/wnba/game/chicago-sky-portland-fire-scores-odds-picks-props-may-09-2026/7def09d1-d666-4e08-a6d4-213059a7ffe9,9:00 PM,2026-05-09T16:43:49Z
2026-05-09,Rickea Jackson,4433630,CHI,POR,PTS,16.5,,-118,1,161.5,5.5,UNDER,14.2,-118,FanDuel,Points,https://www.sportsgrid.com/wnba/game/chicago-sky-portland-fire-scores-odds-picks-props-may-09-2026/7def09d1-d666-4e08-a6d4-213059a7ffe9,9:00 PM,2026-05-09T16:43:49Z
