game_date,player,player_id,team_abbr,opponent_abbr,market,line,over_odds,under_odds,sportsbook_count,game_total,spread,source_pick,source_projection,source_odds,source_book,source_market,source_url,source_away_abbr,source_home_abbr,game_time_et,line_last_updated,source_status,team_resolution_status
2026-07-07,Skylar Diggins,2491205,CHI,PHX,PA,15.5,-112,,1,174.5,3.5,OVER,19.3,-112,FanDuel,Pts + Ast,https://www.sportsgrid.com/wnba/game/chicago-sky-phoenix-mercury-scores-odds-picks-props-july-07-2026/bc760f9c-c775-4913-8a46-d80fd80b5f0f,CHI,PHX,10:00 PM,2026-07-07T04:52:04Z,preserved_same_day,source_game_match
2026-07-07,Skylar Diggins,2491205,CHI,PHX,PA,14.5,-130,,1,173.5,3.5,OVER,19.3,-130,FanDuel,Pts + Ast,https://www.sportsgrid.com/wnba/game/chicago-sky-phoenix-mercury-scores-odds-picks-props-july-07-2026/bc760f9c-c775-4913-8a46-d80fd80b5f0f,CHI,PHX,10:00 PM,2026-07-07T16:13:43Z,preserved_same_day,source_game_match
2026-07-07,Skylar Diggins,2491205,CHI,PHX,PTS,11.5,102,,1,174.5,3.5,OVER,13.9,102,FanDuel,Points,https://www.sportsgrid.com/wnba/game/chicago-sky-phoenix-mercury-scores-odds-picks-props-july-07-2026/bc760f9c-c775-4913-8a46-d80fd80b5f0f,CHI,PHX,10:00 PM,2026-07-07T04:52:04Z,preserved_same_day,source_game_match
2026-07-07,Skylar Diggins,2491205,CHI,PHX,PTS,10.5,-125,,1,172.5,3.5,OVER,13.9,-125,FanDuel,Points,https://www.sportsgrid.com/wnba/game/chicago-sky-phoenix-mercury-scores-odds-picks-props-july-07-2026/bc760f9c-c775-4913-8a46-d80fd80b5f0f,CHI,PHX,10:00 PM,2026-07-07T20:07:00Z,live_current,source_game_match
2026-07-07,Kahleah Copper,2998938,PHX,CHI,REB,3.5,-114,,1,172.5,3.5,OVER,5.3,-114,FanDuel,Rebounds,https://www.sportsgrid.com/wnba/game/chicago-sky-phoenix-mercury-scores-odds-picks-props-july-07-2026/bc760f9c-c775-4913-8a46-d80fd80b5f0f,CHI,PHX,10:00 PM,2026-07-07T20:07:00Z,live_current,source_game_match
2026-07-07,Kahleah Copper,2998938,PHX,CHI,THREES,1.5,,122,1,172.5,3.5,UNDER,1.1,122,FanDuel,3 Point FG Made,https://www.sportsgrid.com/wnba/game/chicago-sky-phoenix-mercury-scores-odds-picks-props-july-07-2026/bc760f9c-c775-4913-8a46-d80fd80b5f0f,CHI,PHX,10:00 PM,2026-07-07T20:07:00Z,live_current,source_game_match
2026-07-07,Sabrina Ionescu,4066533,NY,DAL,PA,19.5,,-104,1,175.5,4.5,UNDER,14.0,-104,FanDuel,Pts + Ast,https://www.sportsgrid.com/wnba/game/dallas-wings-new-york-liberty-scores-odds-picks-props-july-07-2026/81a0ea38-25cf-423b-8346-0fd5f928eb49,DAL,NY,8:00 PM,2026-07-07T20:07:00Z,live_current,source_game_match
2026-07-07,Sabrina Ionescu,4066533,NY,DAL,PTS,14.5,,100,1,175.5,5.5,UNDER,10.0,100,FanDuel,Points,https://www.sportsgrid.com/wnba/game/dallas-wings-new-york-liberty-scores-odds-picks-props-july-07-2026/81a0ea38-25cf-423b-8346-0fd5f928eb49,DAL,NY,8:00 PM,2026-07-07T04:59:08Z,preserved_same_day,source_game_match
2026-07-07,Sabrina Ionescu,4066533,NY,DAL,PTS,15.5,,-125,1,175.5,4.5,UNDER,10.0,-125,FanDuel,Points,https://www.sportsgrid.com/wnba/game/dallas-wings-new-york-liberty-scores-odds-picks-props-july-07-2026/81a0ea38-25cf-423b-8346-0fd5f928eb49,DAL,NY,8:00 PM,2026-07-07T20:07:00Z,live_current,source_game_match
2026-07-07,Sabrina Ionescu,4066533,NY,DAL,THREES,2.5,,-188,1,175.5,4.5,UNDER,1.5,-188,FanDuel,3 Point FG Made,https://www.sportsgrid.com/wnba/game/dallas-wings-new-york-liberty-scores-odds-picks-props-july-07-2026/81a0ea38-25cf-423b-8346-0fd5f928eb49,DAL,NY,8:00 PM,2026-07-07T20:07:00Z,live_current,source_game_match
