season,game_id,game_date,season_phase,game_time_et,matchup_key,player_id,player,team_abbr,opponent_abbr,is_home,starter,position,minutes,points,rebounds,assists,three_made,three_attempts,turnovers,steals,blocks,oreb,dreb,personal_fouls,fgm,fga,ftm,fta,plus_minus,team_score,opponent_score,PTS,REB,AST,THREES,PRA,PA,PR,RA,source
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,4433402,Angel Reese,CHI,MIN,False,True,F,24.0,13,9,1,0,0,2,2,1,5,4,5,2,8,9,10,-21,81,92,13.0,9.0,1.0,0.0,23.0,14.0,22.0,10.0,espn_site_api
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,2566081,Elizabeth Williams,CHI,MIN,False,True,C,17.0,0,6,1,0,0,1,0,1,2,4,0,0,2,0,0,-10,81,92,0.0,6.0,1.0,0.0,7.0,1.0,6.0,7.0,espn_site_api
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,3058902,Diamond DeShields,CHI,MIN,False,True,G,8.0,0,1,2,0,0,2,0,0,0,1,2,0,1,0,0,-10,81,92,0.0,1.0,2.0,0.0,3.0,2.0,1.0,3.0,espn_site_api
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,3904576,Marina Mabrey,CHI,MIN,False,True,G,23.0,7,0,0,1,6,2,1,1,0,0,1,3,10,0,0,-12,81,92,7.0,0.0,0.0,1.0,7.0,7.0,7.0,0.0,espn_site_api
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,4281190,Dana Evans,CHI,MIN,False,True,G,24.0,13,2,1,2,5,3,2,0,0,2,0,3,9,5,5,-22,81,92,13.0,2.0,1.0,2.0,16.0,14.0,15.0,3.0,espn_site_api
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,4282173,Michaela Onyenwere,CHI,MIN,False,False,F,31.0,11,3,1,1,2,2,0,0,1,2,2,5,8,0,1,-2,81,92,11.0,3.0,1.0,1.0,15.0,12.0,14.0,4.0,espn_site_api
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,4433405,Kamilla Cardoso,CHI,MIN,False,False,C,13.0,6,4,1,0,0,1,1,2,2,2,1,3,5,0,1,+3,81,92,6.0,4.0,1.0,0.0,11.0,7.0,10.0,5.0,espn_site_api
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,3058908,Lindsay Allen,CHI,MIN,False,False,G,22.0,17,4,3,1,1,3,0,0,0,4,1,4,6,8,8,+7,81,92,17.0,4.0,3.0,1.0,24.0,20.0,21.0,7.0,espn_site_api
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,4065820,Kysre Gondrezick,CHI,MIN,False,False,G,9.0,0,1,0,0,2,1,0,0,0,1,1,0,2,0,0,+2,81,92,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,espn_site_api
2024,401649378,2024-05-03,preseason,2024-05-03T20:00-04:00,CHI-MIN,4280892,Chennedy Carter,CHI,MIN,False,False,G,23.0,12,2,1,0,0,3,2,1,1,1,4,6,9,0,0,+9,81,92,12.0,2.0,1.0,0.0,15.0,13.0,14.0,3.0,espn_site_api
