model_action,selected_rank,tier,final_score,player,team,team_name,opponent,opponent_name,market,side,line,projected_value,line_gap,model_probability,fair_probability,price_edge,projected_minutes,sample_size,source_pick,source_projection,source_odds,source_book,source_market,source_status,team_resolution_status,source_url,risk_flags,rejection_reason
CANDIDATE,,D,0.18208,Aaliyah Edwards,CON,Connecticut Sun,MIN,Minnesota Lynx,PR,UNDER,12.5,12.224,-0.276,0.51524,0.50553,0.00971,18.09,87,NAN,11.01,,draftkings,PR,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-rebounds,combo_market_correlation|volatile_minutes,
CANDIDATE,,D,0.1996,Aaliyah Edwards,CON,Connecticut Sun,MIN,Minnesota Lynx,PTS,UNDER,8.5,8.16,-0.34,0.51643,0.52573,-0.0093,18.09,87,NAN,6.96,,draftkings,PTS,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points,volatile_minutes,
CANDIDATE,,D,0.50056,Brittney Griner,CON,Connecticut Sun,MIN,Minnesota Lynx,AST,UNDER,2.5,2.122,-0.378,0.59491,0.53309,0.06182,24.56,92,NAN,2.39,,bet365,AST,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/assists,source_projection_near_line,
CANDIDATE,,D,0.35883,Brittney Griner,CON,Connecticut Sun,MIN,Minnesota Lynx,PA,OVER,13.5,14.234,0.734,0.52901,0.47368,0.05533,24.56,92,NAN,14.58,,bet365,PA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-assists,combo_market_correlation,
CANDIDATE,,D,0.15298,Brittney Griner,CON,Connecticut Sun,MIN,Minnesota Lynx,RA,OVER,7.5,8.008,0.508,0.50175,0.54079,-0.03905,24.56,92,NAN,7.7,,bet365,RA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds-&-assists,combo_market_correlation|source_projection_near_line,
CANDIDATE,,D,0.36522,Brittney Griner,CON,Connecticut Sun,MIN,Minnesota Lynx,REB,OVER,5.5,6.415,0.915,0.54899,0.51456,0.03442,24.56,92,OVER,7.2,-106.0,nan,Rebounds,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/connecticut-sun-minnesota-lynx-scores-odds-picks-props-july-06-2026/eae2a11b-68c6-4bdb-bcf6-340e3583d823,blowout_spread|single_side_price|thin_market_count,
CANDIDATE,,D,0.47658,Leila Lacan,CON,Connecticut Sun,MIN,Minnesota Lynx,PR,UNDER,15.5,14.683,-0.817,0.57246,0.48428,0.08818,28.32,36,NAN,14.63,,bet365,PR,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-rebounds,combo_market_correlation,
CANDIDATE,,D,0.52619,Leila Lacan,CON,Connecticut Sun,MIN,Minnesota Lynx,PTS,OVER,11.5,12.952,1.452,0.57297,0.50796,0.06501,28.32,36,NAN,12.4,,hardrock,PTS,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points,,
CANDIDATE,,D,0.26118,Olivia Nelson-Ododa,CON,Connecticut Sun,MIN,Minnesota Lynx,PR,UNDER,16.5,16.351,-0.149,0.51572,0.47368,0.04204,22.42,102,NAN,15.5,,bet365,PR,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-rebounds,combo_market_correlation|volatile_minutes,
CANDIDATE,,D,0.0,Olivia Nelson-Ododa,CON,Connecticut Sun,MIN,Minnesota Lynx,PTS,OVER,9.5,9.572,0.072,0.5054,0.50445,0.00095,22.42,102,NAN,8.86,,hardrock,PTS,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points,source_projection_disagreement|volatile_minutes,
CANDIDATE,,D,0.22381,Cecilia Zandalasini,GS,Golden State Valkyries,WSH,Washington Mystics,AST,OVER,1.5,1.611,0.111,0.51511,0.55752,-0.04241,18.53,90,NAN,1.78,,hardrock,AST,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/assists,,
CANDIDATE,,D,0.01771,Cecilia Zandalasini,GS,Golden State Valkyries,WSH,Washington Mystics,PRA,UNDER,12.5,11.818,-0.682,0.51339,0.47368,0.0397,18.53,90,NAN,12.64,,fanduel,PRA,live_current,current_roster_match,"https://www.scoresandodds.com/wnba/props/points,-rebounds,-&-assists",combo_market_correlation|source_projection_disagreement|source_projection_near_line,
CANDIDATE,,D,0.22312,Cecilia Zandalasini,GS,Golden State Valkyries,WSH,Washington Mystics,PTS,OVER,8.5,8.204,-0.296,0.51444,0.51163,0.00282,18.53,90,NAN,9.0,,draftkings,PTS,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points,,
CANDIDATE,,D,0.40752,Cecilia Zandalasini,GS,Golden State Valkyries,WSH,Washington Mystics,REB,UNDER,2.5,2.003,-0.497,0.58615,0.60403,-0.01788,18.53,90,NAN,1.86,,hardrock,REB,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds,,
SELECTED,4,C,0.61838,Cecilia Zandalasini,GS,Golden State Valkyries,WSH,Washington Mystics,THREES,UNDER,1.5,1.037,-0.463,0.62987,0.56897,0.0609,18.53,90,NAN,1.4,,bet365,THREES,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/3-pointers,source_projection_near_line,
CANDIDATE,,D,0.1493,Gabby Williams,GS,Golden State Valkyries,WSH,Washington Mystics,AST,UNDER,2.5,2.306,-0.194,0.56784,0.5122,0.05565,25.99,83,NAN,2.62,,bet365,AST,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/assists,single_side_price|source_projection_disagreement|source_projection_near_line|thin_market_count,
CANDIDATE,,D,0.0,Gabby Williams,GS,Golden State Valkyries,WSH,Washington Mystics,PA,UNDER,17.5,17.032,-0.468,0.50153,0.52632,-0.02479,25.99,83,NAN,17.59,,bet365,PA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-assists,combo_market_correlation|source_projection_disagreement|source_projection_near_line,
CANDIDATE,,D,0.43884,Gabby Williams,GS,Golden State Valkyries,WSH,Washington Mystics,PTS,OVER,14.5,14.727,0.227,0.5564,0.5,0.0564,25.99,83,NAN,14.97,,bet365,PTS,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points,,
CANDIDATE,,D,0.45818,Gabby Williams,GS,Golden State Valkyries,WSH,Washington Mystics,RA,UNDER,6.5,5.55,-0.95,0.59661,0.55056,0.04605,25.99,83,NAN,6.28,,bet365,RA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds-&-assists,combo_market_correlation|source_projection_near_line,
CANDIDATE,,D,0.0,Gabby Williams,GS,Golden State Valkyries,WSH,Washington Mystics,REB,UNDER,3.5,3.244,-0.256,0.51878,0.51885,-7e-05,25.99,83,NAN,3.66,,draftkings,REB,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds,source_projection_disagreement|source_projection_near_line,
CANDIDATE,,D,0.51521,Gabby Williams,GS,Golden State Valkyries,WSH,Washington Mystics,THREES,OVER,1.5,1.811,0.311,0.56958,0.51192,0.05766,25.99,83,NAN,1.85,,draftkings,THREES,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/3-pointers,,
CANDIDATE,,D,0.48188,Janelle Salaun,GS,Golden State Valkyries,WSH,Washington Mystics,PR,OVER,13.5,14.847,1.347,0.59873,0.51982,0.07891,20.49,59,NAN,13.69,,fanduel,PR,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-rebounds,combo_market_correlation|source_projection_near_line,
CANDIDATE,,D,0.23012,Janelle Salaun,GS,Golden State Valkyries,WSH,Washington Mystics,REB,OVER,3.5,3.926,0.426,0.57217,0.47391,0.09826,20.49,59,NAN,3.4,,bet365,REB,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds,source_projection_disagreement|source_projection_near_line,
CANDIDATE,,C,0.62563,Janelle Salaun,GS,Golden State Valkyries,WSH,Washington Mystics,THREES,OVER,1.5,1.851,0.351,0.61675,0.55981,0.05694,20.49,59,NAN,1.89,,hardrock,THREES,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/3-pointers,,below_expanded_probability
CANDIDATE,,D,0.46146,Kayla Thornton,GS,Golden State Valkyries,WSH,Washington Mystics,PR,UNDER,13.5,10.872,-2.628,0.57889,0.4899,0.08898,23.73,101,NAN,13.49,,draftkings,PR,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-rebounds,combo_market_correlation|source_projection_near_line,
CANDIDATE,,C,0.61361,Kayla Thornton,GS,Golden State Valkyries,WSH,Washington Mystics,PTS,UNDER,8.5,5.78,-2.72,0.60978,0.53052,0.07926,23.73,101,UNDER,5.8,-113.0,nan,Points,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/golden-state-valkyries-washington-mystics-scores-odds-picks-props-july-06-2026/17f2d3b1-6db1-4b24-911f-09887b4b87bb,single_side_price|thin_market_count,below_expanded_probability
CANDIDATE,,D,0.46322,Kayla Thornton,GS,Golden State Valkyries,WSH,Washington Mystics,REB,UNDER,4.5,3.832,-0.668,0.56056,0.46729,0.09327,23.73,101,UNDER,3.2,114.0,nan,Rebounds,live_current,source_game_match,https://www.sportsgrid.com/wnba/game/golden-state-valkyries-washington-mystics-scores-odds-picks-props-july-06-2026/17f2d3b1-6db1-4b24-911f-09887b4b87bb,single_side_price|thin_market_count,
CANDIDATE,,D,0.32338,Kayla Thornton,GS,Golden State Valkyries,WSH,Washington Mystics,THREES,UNDER,1.5,1.085,-0.415,0.59762,0.5339,0.06372,23.73,101,NAN,1.56,,bet365,THREES,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/3-pointers,source_projection_disagreement|source_projection_near_line,
CANDIDATE,,D,0.48325,Veronica Burton,GS,Golden State Valkyries,WSH,Washington Mystics,AST,UNDER,5.5,4.818,-0.682,0.58265,0.51192,0.07073,27.05,109,NAN,5.46,,fanduel,AST,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/assists,source_projection_near_line,
CANDIDATE,,D,0.19078,Veronica Burton,GS,Golden State Valkyries,WSH,Washington Mystics,PR,UNDER,14.5,14.456,-0.044,0.50825,0.50678,0.00148,27.05,109,NAN,14.0,,bet365,PR,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/points-&-rebounds,combo_market_correlation,
CANDIDATE,,D,0.12714,Veronica Burton,GS,Golden State Valkyries,WSH,Washington Mystics,RA,UNDER,8.5,7.945,-0.555,0.54501,0.48903,0.05599,27.05,109,NAN,8.61,,fanduel,RA,live_current,current_roster_match,https://www.scoresandodds.com/wnba/props/rebounds-&-assists,combo_market_correlation|source_projection_disagreement|source_projection_near_line,
